"","V1"
"1",""
"2","Frau Kollegin Lindholz, Sie können — Sie müssen nicht — antworten."
"3"," Mögen Sie antworten? — Dann haben Sie jetzt das Wort."
"4","Andrea Lindholz:"
"5"," Doch, ich möchte darauf antworten."
"6"," — Nein, nein, es hörte sich nicht anders an."
"7"," ]:"
"8"," Sie kritisieren es selber, Frau Lindholz!) Wir beraten dieses Gesetz schon seit September bzw."
"9"," seit April."
"10","Andrea Lindholz Ich habe ausdrücklich angeboten, dass wir die Sitzung —— — Vielleicht héren Sie einfach mal zu."
"11","Ich habe ausdrücklich angeboten, dass wir mit den Anhörungen zu früheren Uhrzeiten beginnen, dass wir die Ausschusssitzung fortsetzen, damit jeder so viele Fragen stellen kann, wie er will."
"12"," Aber wenn sich die Fraktionen im Obleutegespräch darauf verständigen, dass die Sitzung um 12."
"13","45 Uhr enden soll, dass Nachmittagssitzungen nicht gewünscht werden, und - im Gegenteil — erst vor einigen Wochen eine von mir anberaumte Nachmittagssitzung — um 16 Uhr — zur Abarbeitung von Oppositionspunkten — ausschlieBlich Oppositionspunkte! — moniert wurde und gesagt wurde, wie man so unmöglich sein kann, eine Zusatzsitzung anzuberaumen, dann frage ich Sie, was Sie für ein parlamentarisches Verständnis haben, wenn Ihre Arbeitszeit um 13 Uhr zu Ende ist."
"14"," Präsident Dr.
 Wolfgang "
