"","V1"
"1",""
"2","Jetzt hat der Kollege Korte nach $ 29 Absatz 1 unserer Geschäftsordnung um das Wort gebeten, um einen Antrag zur Geschäftsordnung zu stellen."
"3","Jan Korte:"
"4","Vielen Dank, Herr Präsident."
"5"," — Wir haben es freundlich versucht."
"6"," Ich möchte nach $ 42 der Geschäftsordnung den Bundesfinanzminister herbeirufen lassen."
"7"," Das, was hier stattfindet, ist eine Missachtung des Parlaments."
"8"," Ich bitte, das jetzt durchzuführen."
"9","Danke."
"10","Präsident Dr.
 Wolfgang "
