"","V1"
"1",""
"2"," Vielen Dank."
"3"," — Der Abgeordnete Gehrke von der AfD erhält Gelegenheit für eine Kurzintervention."
"4","Dr."
"5"," Axel Gehrke:"
"6"," Vielen Dank."
"7"," — Frau Kollegin Schmidtke, ich möchte Sie bitten, im Protokoll nachzulesen:"
"8"," Ich habe auf die Rede von Herrn Bundesminister Spahn geantwortet, dass er im Gesetz an allen Ecken und Enden etwas geändert hat, nur an einer Stelle nicht, nämlich bei der angemessenen Betreuung der Patienten durch die Transplantationsbeauftragten."
"9"," Nichts anderes habe ich gesagt — und schon gar nicht eine Wertung gegen Patienten oder gegen Ärzte, so wie Sie es hier darstellen."
"10","Danke.
Vizepräsident Thomas "
