"","V1"
"1",""
"2","Jetzt erteile ich das Wort der Kollegin Antje Tillmann, CDU/CSU."
"3"," Antje Tillmann:"
"4","Herr Präsident! Sehr geehrte Damen und Herren! Liebe Gäste! Wir sollten heute über drei Anträge reden:"
"5"," zwei der AfD und einen der FDP."
"6"," Tatsächlich ist aber der Antrag der AfD zur kalten Progression irgendwo diese Nacht verschwunden."
"7"," Mitten in der Nacht haben wir eine Mail bekommen, wonach dieser Antrag zurückgezogen wird."
"8"," Das ist der Höhepunkt einer aufregenden Woche, in der die AfD uns ganz klar gezeigt hat, dass sie gar nicht weiß, was sie beantragen will."
"9"," Der Antrag zum Abbau der kalten Progression ist 2018 gestellt worden."
"10"," Da habe ich noch gedacht:"
"11"," Na gut, die Kollegen sind neu; sie wissen noch nicht, welche Beschlüsse zur kalten Progression wir gefasst haben."
"12"," — Als der Antrag am Mittwoch in der Ausschusssitzung des Finanzausschusses auftauchte, ist dann auch Ihnen aufgefallen, dass das, was Sie beantragen, völlig veraltet ist."
"13"," Sie haben dann zur Erheiterung beigetragen, als sie angekündigt haben, Ihren eigenen Antrag abzulehnen."
"14"," Sie haben sich dann zumindest noch enthalten; das ist immerhin ein erster Schritt."
"15"," Irgendwann diese Nacht ist der Antrag dann zurückgezogen worden."
"16","Völlig krude wird es dann aber mit Ihrem zweiten Antrag, den wir bis heute noch nicht offiziell zugestellt bekommen haben."
"17"," Wir konnten ihn gestern nach 17 Uhr aus dem Intranet herunterladen."
"18"," Auch das ist eine komische Art für eine Fraktion, die sich immer beschwert, wie wir mit ihr umgehen."
"19"," Ich glaube, wir haben hier einen anderen kollegialen Stil, und würde mich sehr freuen, wenn Sie sich an diesen parlamentarischen Stil, der hier schon lange herrscht, gewöhnen könnten."
"20"," Das mag es auch schon zu Ihren Anträgen gewesen sein; denn selbst der Antrag zum Tarif auf Rädern ist nur vom Bund der Steuerzahler abgeschrieben."
"21"," Diese ArbeitAntje Tillmannhätten Sie sich auch sparen können."
"22"," Ich werde später darauf eingehen."
"23"," Jetzt zur kalten Progression, damit Sie beim nächsten Mal wissen, worüber Sie entscheiden."
"24"," Wir haben bereits 2012 — das erste Mal damals noch in einer Koalition aus CDU/CSU und FDP - ein Gesetz zum Ausgleich der kalten Progression im Bundestag verabschiedet."
"25"," Dieses Gesetz ist leider im Bundesrat gescheitert."
"26"," Wir haben aber nahtlos die Bundesregierung aufgefordert, regelmäßig alle zwei Jahre einen Bericht über die kalte Progression auf den Weg zu bringen, und haben ab 2016 die kalte Progression neutralisiert, für 2014 und 2015 rückwirkend."
"27"," Das tun wir regelmäßig, für 2017 um 0,73 Prozent, für 2018 um 1,65 Prozent, für 2019 um 1,84 Prozent und für 2020 um 1,95 Prozent."
"28","Die Wirkung der kalten Progression tritt definitiv nicht mehr ein; das haben uns auch Sachverständige in der Anhörung zum Familienentlastungsgesetz deutlich bestätigt."
"29"," Der kritischste Beobachter dürfte dabei der Bund der Steuerzahler gewesen sein, der in dieser Anhörung auf die Frage „Gibt es noch eine kalte Progression, oder ist die ausgeglichen?“ ganz klar gesagt hat - O-Ton -:"
"30"," Ja, sie wird ausgeglichen."
"31"," — Auch das Institut der deutschen Wirtschaft bestätigt uns, dass es keine Wirkung der kalten Progression mehr gibt."
"32","Der Sachverständigenrat zur Begutachtung der gesamtwirtschaftlichen Lage weist in seinem Gutachten 2017/18 darauf hin, dass es aus der Phase 2010 bis 2013 wohl noch eine kalte Progression gebe."
"33"," Ich habe eben die Gründe erklärt:"
"34"," An uns hat es nicht gelegen; wir haben im Bundestag eine Abschaffung gefordert."
"35"," Außerdem war das Jahr 2010 kein typisches Jahr; denn in diesem Jahr hatten wir zahlreiche andere Steuererleichterungen, sodass die Steuerquote damals auch ohne Abschaffung der kalten Progression um 0,7 Prozent gesunken ist."
"36"," Also:"
"37"," Das Thema „kalte Progression“ ist erledigt."
"38"," Das wissen auch Wirtschaftsverbände und Steuerberater."
"39"," Wir haben dieses Thema durch Agieren an verschiedenen Stellen abgeräumt."
"40"," Vielleicht, liebe Kollegen der AfD, können wir hier im Deutschen Bundestag weiter so vorgehen, wie wir es verabredet haben, nämlich alle zwei Jahre über Vorlage eines Berichts über die kalte Progression."
"41","Darüber hinaus haben wir zahlreiche andere Entlastungen eingebracht."
"42"," Jetzt komme ich zum Antrag der FDP zum Mittelstandsbauch."
"43"," Lieber Kollege Dürr, im Konzept meiner Rede steht noch eine positive Bewertung Ihres Antrags."
"44","Nachdem Sie aber so eingestiegen sind — ich zitiere Sie, wenn ich darf:"
"45"," „Sie reden darüber; aber das Handeln bleibt aus“ —, muss ich sagen:"
"46"," Dieser Satz von einer Fraktion, die nun so klar gekniffen hat, das ist, glaube ich, schon ein bisschen schizophren."
"47"," — Wenn Sie mir diese Vorlage geben, müssen Sie sich nicht beschweren."
"48"," Eigentlich stand in meinem Konzept:"
"49"," Der Abbau des Mittelstandsbauches ist auch CDU/ CSU-Politik."
"50"," Aber wer so redet, muss sich das gefallen lassen."
"51"," Immerhin - Sie haben ja aus CDU-Reden zitiert — haben wir von den 15 Milliarden Euro Entlastung, die wir versprochen haben, 10 Milliarden Euro umgesetzt."
"52"," Sie haben keinen einzigen Euro Entlastung in Bezug auf den Mittelstandsbauch umgesetzt, weil Sie nämlich keine Lust hatten, in einer Regierung mitzuwirken."
"53"," Also, wer hier redet und nicht handelt, das sind nun ganz klar Sie."
"54"," Da können Sie sich empören; aber das müssen Sie sich sagen lassen."
"55","Sie wissen — das haben Sie ja auch zitiert —, dass mit unserem Koalitionspartner eine Anpassung des Tarifverlaufs über die kalte Progression hinaus nicht möglich ist, ohne den Spitzensteuersatz zu erhöhen."
"56"," Das ist eine Position, die man vertreten kann."
"57"," Das ist nicht unsere Position; aber das war die Grundlage für diesen Koalitionsvertrag."
"58"," Sie können uns beschimpfen, dass wir uns haben in die Pflicht nehmen lassen, diese Regierung zu unterstützen — Sie hätten es ja auch tun können -; aber irgendjemand muss dieses Land ja regieren."
"59"," Wir wissen, dass wir an diesem Punkt mit den Sozialdemokraten nicht vorankommen."
"60","Antje TillmannWir wollen keine zusätzlichen Belastungen für die Leistungsträger und deshalb werden wir „den Mittelstandsbauch“ nur um 10 Milliarden Euro durch den Abbau des Solidaritätszuschlags entlasten."
"61"," Sie schaffen nichts davon."
"62"," An anderer Stelle sind wir mit unserem Koalitionspartner beim Thema Steuerentlastung sehr gut auf dem Weg."
"63"," Mit dem Familienentlastungsgesetz haben wir Familien und Unternehmen um 10 Milliarden Euro entlastet."
"64"," Wir haben das Kindergeld erhöht; wir werden es erneut tun."
"65"," Und, wie gesagt, wir werden den Solidaritätszuschlag für 90 Prozent der Zahlerinnen und Zahler abschaffen."
"66"," Und - ja, ich sage es erneut an dieser Stelle — unser Plan geht darüber hinaus:"
"67"," Wir wollen die vollständige Abschaffung des Solidaritätszuschlags, auch für die übrigen 10 Prozent."
"68"," Wir werden mit der SPD weiter freundschaftlich streiten, dass da zumindest ein Abbaupfad festgelegt wird."
"69"," Manchmal ist Politik das Bohren dicker Bretter."
"70"," Wir sind fest entschlossen, diese Bretter zu bohren, und werden auf jeden Fall auch in dieser Richtung weitermachen."
"71","Aber all diese Entlastungen, die wir zusätzlich erreicht haben, waren gar nicht Gegenstand des Koalitionsvertrags."
"72"," Manchmal ergeben sich auch auf der Strecke der Beratungen Möglichkeiten."
"73"," Diese Möglichkeit haben Sie ungenutzt gelassen, weil Sie keine Lust hatten, die Verantwortung zu übernehmen."
