"","V1"
"1",""
"2","Bevor ich dem nächsten Redner das Wort erteile, gebe ich das von den Schriftführerinnen und, Schriftführern ermittelte Ergebnis der tli g über die Beschlussempfehlung des ee Ausschusses zu dem Antrag der Bundesregierung „Fortsetzung der deutschen Beteiligung an der internationalen Sicherheitspräsenz in Kosovo“ bekannt:"
"3"," abgegebene Stimmenkarten 645."
"4"," Mit Ja haben gestimmt 493, mit Nein haben gestimmt 146, 6 Enthaltungen."
"5"," Die Beschlussempfehlungist damit angenommen."
"6","Dr."
"7"," Thomas Gebhart Alois GerigEberhard Gienger Eckhard Gnodtke Ursula Groden-Kranich Hermann Gröhe Klaus-Dieter Gröhler Michael Grosse-Brömer Astrid Grotelüschen Markus Grübel Manfred GrundOliver Grundmann Monika GrüttersFritz GüntzlerOlav GuttingChristian Haase Florian HahnJürgen HardtMatthias HauerMark HauptmannDr."
"8"," Matthias Heider Thomas Heilmann Frank Heinrich Mark HelfrichRudolf HenkeMichael Hennrich Marc Henrichmann Ansgar HevelingDr."
"9"," Heribert Hirte Christian Hirte Alexander Hoffmann Karl HolmeierErich Irlstorfer Hans-Jürgen Irmer Thomas Jarzombek Andreas Jung Ingmar JungAlois KarlTorbjörn Kartes Volker KauderDr."
"10"," Stefan Kaufmann Ronja Kemmer Roderich Kiesewetter Michael KießlingDr."
"11"," Georg Kippels Volkmar KleinJens Koeppen Markus Koob Carsten Körber Alexander Krauß Gunther Krichbaum Dr."
"12"," Günter Krings Rüdiger Kruse Michael KufferDr."
"13"," Roy KühneDr."
"14"," Dr."
"15"," h."
"16"," c."
"17"," Karl A."
"18"," LamersAndreas G."
"19"," LammelKatharina LandgrafUlrich LangeDr."
"20"," Silke LaunertJens LehmannPaul LehriederDr."
"21"," Katja LeikertDr."
"22"," Andreas LenzDr."
"23"," Ursula von der LeyenAntje LeziusAndrea LindholzDr."
"24"," Carsten LinnemannPatricia LipsNikolas LobelBernhard LoosDr."
"25"," Jan-Marco LuczakDaniela LudwigKarin MaagYvonne MagwasDr."
"26"," Thomas de MaiziéreGisela ManderlaDr."
"27"," Astrid MannesMatern von MarschallHans-Georg von der MarwitzAndreas MattfeldtStephan MayerDr."
"28"," Michael MeisterJan MetzlerDr."
"29"," h."
"30"," c."
"31"," Hans MichelbachDr."
