"","V1"
"1",""
"2","Vielen Dank, Herr Kollege Kühn."
"3"," — Nächster Redner ist der Herr Parlamentarische Staatssekretär Marco Wanderwitz für die Bundesregierung."
"4"," Marco Wanderwitz , Parl."
"5"," Staatssekretär beim Bundesminister des Innern, für Bau und Heimat:"
"6","Herr Präsident! Liebe Kolleginnen und Kollegen! Der Vorteil, wenn man nach Rednern der Opposition spricht, ist, dass man das eine oder andere richtigstellen kann."
"7"," Das will ich gerne tun."
"8","Zunächst möchte ich aber darauf hinweisen, dass ich in der Anhörung deutlich mehr Zustimmung als Kritik von den Sachverständigen wahrgenommen habe."
"9"," — Sie benennen ja auch Sachverständige."
"10"," Jetzt hören Sie mal zu."
"11"," Sieben Minuten sind auszuhalten."
"12","Wenn ich lese und höre, was die Journalistinnen und Journalisten, die sich sehr intensiv mit dieser Branche und dieser politischen Thematik beschäftigen, in den Zeitungen schreiben bzw."
"13"," im Rundfunk und im Fernsehen sagen, dann stelle ich fest, dass wir für diese Wohngeldnovelle ziemlich viel Lob bekommen."
"14"," Ich finde, zu Recht."
"15"," Wir können über vieles, was den Wohnungsmarkt in Deutschland derzeit betrifft, trefflich streiten — das tun wir auch -, aber mit der Wohngeldreform liefern wir jetzt, wie ich glaube, etwas ziemlich Gutes."
"16","Wir erhöhen die Förderkraft des Wohngelds erheblich."
"17"," Führen wir uns einmal die Zahlen vor Augen:"
"18"," Wir, sowohl der Bund als auch die Länder, werden künftig 1,2 Milliarden Euro für das Wohngeld zur Verfügung stellen."
"19"," Damit werden künftig 660 000 und damit 180 000 Haushalte mehr als bisher in den Genuss des Wohngeldes kommen."
"20"," Außerdem heben wir die Höchstbeträge gestaffelt an und führen die neue, schon erwähnte Stufe VII in den Wohnungsmärkten, in denen es besonders pressiert, ein."
"21","Und wir führen eine Dynamisierung ein."
"22"," Künftig wird das Wohngeld alle zwei Jahre angepasst, automatisch, ohne dass wir das jedes Mal mühselig beschließen müssen."
"23"," Ich finde:"
"24"," Da es eine solche Dynamisierung bisher noch nicht gegeben hat, ist das ein wirklich großer Fortschritt."
"25"," Ein kleiner Exkurs an dieser Stelle."
"26"," Wir als Bund waren früher mal zuständig für den sozialen Wohnungsbau."
"27"," Dann gab es eine Föderalismusreform."
"28"," Dann sind die Länder allein zuständig gewesen."
"29"," In dieser Zeit hat sich die Zahl der vorhandenen Sozialwohnungen halbiert, weil die Länder in Summe nicht genügend gemacht haben."
"30"," Einige wenige Länder, wie beispielsweise Hamburg, stechen heraus."
"31"," Das Gros der Länder hat aber bei dieser Aufgabe versagt."
"32"," Deswegen haben wir gemeinsam eine Grundgesetzänderung vorgenommen."
"33"," Deswegen sind wir jetzt wieder mit zuständig."
"34"," Deswegen geben wir jetzt 1 Milliarde Euro Bundesgeld für den sozialen Wohnungsbau."
"35"," Ich glaube, das wird uns erheblich helfen."
"36"," Die 1,5 Milliarden Euro, die in den letzten Jahren bereitgestellt worden sind, sind nicht an der richtigen Stelle angekommen."
"37"," Zwar haben die Länder sie für investive Zwecke verwendet, aber leider nicht für das, wofür sie eigentlich vorgesehen waren, nämlich für den sozialen Wohnungsbau."
"38"," Wir stellen sicher, dass der Bund künftig Jahr für Jahr 1 Milliarde Euro in den sozialen Wohnungsbau investiert, für den er mit zuständig ist."
"39"," Ich glaube, wir sind auf einem guten Weg.
 Vizepräsident Wolfgang "
