"","V1"
"1",""
"2"," Vielen Dank, Dr."
"3"," Bartke."
"4"," — Nächster Redner:"
"5"," für die CDU/CSU-Fraktion Peter Weiß."
"6"," Peter Weiß:"
"7","Frau Präsidentin! Verehrte Kolleginnen und Kollegen! Mit der Neuregelung des Sozialen Entschädigungsrechts schreiben wir, auch wenn es ein bisschen hochgestochen klingen mag, ein Stück deutsche Sozialgeschichte, weil wir zum ersten Mal für die Entschädigung von Opfern — das hat angefangen 1950 mit der Kriegsopferentschädigung -, für die Entschädigung von Opfern von Gewalttaten, von Opfern von Terroranschlägen und von OpfernPeter Weißvon sexualisierter Gewalt, ein gemeinsames Gesetz schaffen:"
"8"," das Sozialgesetzbuch XIV."
"9"," Das ist eine große Aufgabe, die wir in der parlamentarischen Beratung jetzt noch weiter bearbeiten werden."
"10"," Ich finde, wir können wirklich stolz sein, dass wir ein modernes, leistungsfähiges Entschädigungsrecht in Deutschland schaffen, das nicht mehr in verschiedenste Bestimmungen und Gesetze aufgesplittert ist, sondern in einem Sozialgesetzbuch zusammengefasst wird."
"11"," Das ist ein großer Tag."
"12"," Verehrte Kolleginnen und Kollegen, Opferentschädigung ist natürlich nicht mit Geld zu machen."
"13"," Das erlittene Unrecht, das Leid, persönlich und auch für die Familie, ist nicht mit Geld gutzumachen."
"14"," Aber das Entscheidende ist doch:"
"15"," Mit der Opferentschädigung geben wir, das Parlament, geben wir, der Staat, denen, die Schlimmes erlebt und erlitten haben, ein Stück ihrer Würde wieder zurück."
"16"," Und vor allen Dingen:"
"17"," Wir zeigen uns solidarisch mit den Opfern und ihren Familien."
"18"," Das ist der entscheidende Sinn von Opferentschädigung."
"19"," Deshalb ist es eine zusätzliche Grausamkeit und eine Verhöhnung und Verachtung von Opfern, wenn man für Opferentschädigung jenes Wort benutzt, das vorher in einer Rede vorgetragen wurde."
"20"," Ich will es hier nicht mehr wiederholen."
"21"," Liebe Kolleginnen und Kollegen, wir sollten, auch in der Art und Weise, wie wir dieses Thema hier beraten, alle zusammen dafür sorgen, dass Menschen, die Opfer einer Gewalttat geworden sind, wissen können:"
"22"," Ja, diejenigen, die politische Verantwortung in diesem Land tragen, stehen zuallererst an ihrer Seite und wollen ihnen ihre Würde wieder zurückgeben und stehen an der Seite ihrer Familien."
"23"," Diese klare Botschaft sollten wir nach außen senden."
"24"," Dazu gehört auch etwas, was wir in diesem Gesetz ebenfalls regeln:"
"25"," der schnelle Zugang zu fachlich kompetenter Hilfe; es ist bereits von den Vorrednern erwähnt worden."
"26"," Die Traumaambulanzen sind zu nennen."
"27"," Da will ich gerne unterstreichen, dass ich spezialisierte Traumaambulanzen auch für Kinder und Jugendliche für notwendig halte."
"28"," Mit diesen Hilfen schaffen wir die Voraussetzung dafür, dass Opfer die Möglichkeit haben, das, was sie erlitten haben, in einer angemessenen Art und Weise zu verarbeiten und eine neue Lebensperspektive für sich zu entwickeln."
"29"," Opferentschädigung ist auch:"
"30"," eine neue Lebensperspektive für Menschen, die Schlimmes erlitten haben."
"31","Meine verehrten Kolleginnen und Kollegen, zum Opferentschädigungsrecht gehört historisch zuallererst die Kriegsopferentschädigung."
"32"," Auch wenn aufgrund des Alters nur noch wenige Kriegsopfer unter uns leben, schreiben wir mit diesem Gesetz klar und deutlich fest:"
"33"," Das, was wir in der Kriegsopferentschädigung an Leistungen zugesagt haben, bleibt auch für die Zukunft garantiert."
"34"," Unsere Solidarität gilt uneingeschränkt den Menschen, die im Krieg Schlimmes erlebt haben, die für verbrecherische Ziele in den Krieg gezogen sind, die mit Verletzungen und Verwundungen nach Hause gekommen sind."
"35"," Keine Abstriche bei der Opferentschädigung für diejenigen, die in den Krieg gezogen sind! Ein weiterer Punkt ist — darüber haben wir im Vorfeld lange diskutiert -—:"
"36"," Für jemanden, der Opfer einer Gewalttat wird, ist ja vielleicht auch das, was er sich als berufliche Perspektive einmal vorgenommen hat, nicht mehr möglich."
"37"," Deswegen ist ein wichtiger Bestandteil des Opferentschädigungsgesetzes der Berufsschadensausgleich."
"38"," Ich bin sehr froh, dass wir bei diesem Berufsschadensausgleich auch in Zukunft daran anknüpfen:"
"39"," „Welche Prognose für die weitere berufliche Entwicklung hätte bestanden, wenn der Betreffende nicht Opfer dieser Gewalttat geworden wäre?“ und die Opferentschädigung danach bemessen."
"40"," Ich freue mich sehr, dass wir eine klare Regelung zum Berufsschadensausgleich in dieses Gesetz hineingeschrieben haben.
 Vizepräsidentin Claudia "
