"","V1"
"1",""
"2"," Herr Kollege Kühn, möchten Sie antworten?Stephan Kühn:"
"3","Herr Vorsitzender, ich möchte eigentlich nicht, aber tue es trotzdem."
"4"," — Lieber Kollege Jung, wenn Sie meiner Rede aufmerksam zugehört hätten, dann hätten Sie sich an die Einsatzfelder für das Thema E-Fuels, die ich benannt habe, erinnern können."
"5"," Dann hätten Sie auch gemerkt, dass es um eine differenzierte Betrachtung geht."
"6"," Wir haben unterschiedliche Verkehrsträger, für die es unterschiedliche Antworten braucht — übrigens weltweit regional unterschiedlich."
"7","Aber wir müssen die Themen „Kosten“ und „Effizienz“ sowie die Frage, wann bestimmte Technologien verfügbar sind, im Blick behalten."
"8"," Man muss sagen, dass die E-Fuels zur Erreichung der Ziele, die wir bis 2030 im Verkehrsbereich erreichen wollen, keinen Beitrag leisten werden; das ist Fakt."
"9"," Schauen Sie in die Studien, schauen Sie sich die Kostenstrukturen an."
"10"," Wenn Sie die Mobilität nicht teuer machen wollen, dann sind E-Fuels nicht die erste Wahl."
"11"," Für bestimmte Bereiche haben sie eine Bedeutung, aber erst nach 2030."
"12"," Das sagen übrigens auch die Studien, die das Thema E-Fuels puschen wollen.
 Vizepräsident Wolfgang "
