"","V1"
"1",""
"2","Vielen Dank."
"3"," — Ich rufe die Frage 12 von Frau Schreiber auf:"
"4","Welche neuen Erkenntnisse hat die von der KfW in Auftrag gegebene Forschung einer Studiengruppe des Seminars für Ländliche Entwicklung zur sozialen und menschenrechtlichen Situation im und rund um den Nationalpark Lobéké in Kamerun nach Informationen der Bundesregierung zutage gefördert, und wie werden sich diese und andere in jüngster Zeit gesammelten Erkenntnisse zum Komplex Schutzgebietsförderung und Menschenrechtsverletzungen in der Arbeit und den Finanzierungen der Bundesregierung und der KfW in diesem Bereich auswirken?Herr Staatssekretär."
"5","Norbert Barthle, Parl."
"6"," Staatssekretär beim Bundesminister für wirtschaftliche Zusammenarbeit und Entwicklung:"
"7","Vielen Dank."
"8"," — Frau Schreiber, diese Frage beantworte ich Ihnen gerne."
"9","Erste vorläufige Ergebnisse dieser SLE-Studie wurden am 13."
"10"," Dezember 2018 in der KfW - mit Beteiligung von GIZ-Vertretern — vorgestellt."
"11"," Sie bestätigen die sehr komplexe Situation vor Ort und geben Hinweise auf Möglichkeiten zur Verbesserung der Zusammenarbeit mit der lokalen Bevölkerung."
"12","Die Ergebnisse der Untersuchung wurden während des Aufenthaltes vor Ort dem heimischen Forstministerium, dem WWF und der Stiftung Fondation pour le Tri-national de la Sangha — abgekürzt:"
"13"," FTNS — präsentiert."
"14"," Sobald der Bundesregierung die endgültige Studie vorliegt — das wird voraussichtlich im ersten Quartal dieses Jahres sein —, werden wir die Ergebnisse entsprechend bewerten."
"15","Derzeit wird zudem eine gemeinsame Studie von KfW und GIZ durchgeführt, die untersucht, wie der Forderung von Menschenrechten in Naturschutzprojekten im Kongobecken noch besser Rechnung getragen werden kann."
"16"," In diesem Rahmen wird auch der Lobéké-Nationalpark besucht werden.
Vizepräsident Thomas "
