"","V1"
"1",""
"2"," Nächster Redner ist der Kollege Dr."
"3"," Gottfried Curio, fD."
"4"," Dr."
"5"," Gottfried Curio:"
"6","Sehr geehrter Herr Präsident! Geehrte Abgeordnete! Ein Satz vorweg:"
"7"," Wir diskutieren oft gemäß unterschiedlicher gesellschaftlicher Zielvorstellungen — okay."
"8"," Aber vonseiten der Altparteien erleben wir hier leider auch die nackte Arroganz der Macht wie jetzt bei der widerrechtlichen Verhinderung einer demokratischen Auswahl unseres Vizepräsidenten."
"9"," Heute ist ein schwarzer Tag für die Demokratie in Deutschland."
"10"," h1 a i IDieses F gsg ist eine Mogelpackung."
"11"," Es dient gerade nicht dem Zweck, den es zu befördern vorgibt."
"12"," Was lesen wir da? Keine Beschränkung auf Mangelberufe — also egal, ob wir die Leute überhaupt brauchen, Hauptsache mehr fremdkulturelle Zuwanderung."
"13"," Keine Vorrangprüfung - also egal, ob ein Deutscher oder ein Europäer den Job machen könnte, Hauptsache außereuropäische Zuwanderung."
"14"," Kein Nachweis der Gleichwertigkeit einer Qualifikation vor Einreise — ja erst hier Beginn einer Ausbildung."
"15"," Also egal, ob überhaupt Fachkräfte kommen, wenn nur mehr Zuwanderung."
"16"," Kein Arbeitsplatznachweis — erst hier Jobsuche."
"17"," Also egal, ob überhaupt Arbeitskräfte kommen, aber bitte Zuwanderung — und das bei einer europäischen Jugendarbeitslosigkeit von über 20 Millionen."
"18"," Wo sind da die Initiativen der Regierung für die eigene Jugend? Erst die Bildung an die Wand fahren und dann nach Fachkräften rufen."
"19"," Na, danke sehr! Tatsächlich wird das Gesetz die Armutsmigration Unterqualifizierter anheizen."
"20"," Pseudofachkräfte aus Afrika als Reservearmee von Niedriglohnsklaven werden die Arbeitsmarktlage für deutsche Arbeitnehmer weiter verschlechtern."
"21"," Die Folge:"
"22"," Lohndumping im Niedriglohnbereich, Engpass am Wohnungsmarkt."
"23"," Erst Hundertausende Migranten reinlassen und dann Wohnungsmangel beklagen."
"24"," Überlastung der Städte durch Dauerzustrom in die Parallelgesellschaften — so wird die jetzt schon oft abgelehnte Integration immer aussichtsloser."
"25"," Man hat es nicht mehr nötig."
"26"," Das ist unverantwortlich."
"27","Wer nach einem halben Jahr ohne Arbeit bleibt, kann im umgekehrten Spurwechsel Asyl beantragen und dann auf unsere Kosten leben."
"28"," Schon jetzt werden Hunderttausende abgelehnte Asylbewerber nicht abgeschoben."
"29"," Die illegale Einwanderung läuft neben diesem Einwanderungsgesetz massenhaft weiter."
"30"," Das Gesetz öffnet nurDr."
"31"," Gottfried Curioeine weitere Schleuse."
"32"," Aber warum draußen Deutsch lernen, wenn man drinnen nur ein einziges Wort aussprechen können muss? Jetzt sind es sogar zwei Wörter."
"33"," War sonst „Asyl“ das Sesam-Öffne-dich, geht jetzt auch „Fachkraft“."
"34"," Dieses Gesetz ist eine Totgeburt."
"35"," Während Sie auf der Lauer liegen — mit Schmetterlingsnetz ausspähend nach diesem seltenen Geschöpf einer vorbeilaufenden deutschsprechenden Fachkraft aus dem Senegal, die sich hier auf Jobsuche selbst durchschlagen will -, spazieren zugleich Hunderttausende nichtausgebildete, fremdsprachige, fremdkulturelle Nichtfachkräfte illegal über die grüne Grenze, die immer noch völlig ungeschützt ist, und lassen sich hier mit Wohnung, Geld, Integrations- und Sprachkursen und allen Rechten ausstatten."
"36"," Mal Mut zur Wahrheit:"
"37"," Das Modell „Asylbewerber in Deutschland“ ist nın einmal unschlagbar, ist Lebensziel und Migrationszweck für Millionen und schlägt jedes Einwanderungsgesetz."
"38"," Dann setzt die Arbeitsduldung, ja sogar schon Ausbildungsduldung dem Ganzen die Krone auf."
"39"," Dieses Spurwechselgesetz hebelt das schon fehlkonstruierte Einwanderungsgesetz noch einmal aus."
"40"," Nix mehr mit Fachkräften! Abgelehnte Asylbewerber, die gar nicht hier sein dürften, die diesen Staat betrogen haben, sollen über das neue Duldungsticket hierbleiben können."
"41"," Das ist die perfekte Legalisierung des Asylmissbrauchs, ein Zuwanderungsanreiz mit weltweiter Sogwirkung."
"42"," Sie werden nach jahrelangen Widerspruchsverfahren klagen, nach oft fragwürdig erlangten Duldungen ein paar Konditiönchen - ein bisschen Sprache, Ausbildungsbeginn, Jobversuch; der Ali, der den Dönerspieß aus dem Hinterzimmer nach vorne trägt, ist in Ausbildung — nachreichen."
"43"," Sie alle werden zu regulären Einwanderer gemacht — mit voller Aussicht auf Daueraufenthalt und Staatsbürgerschaft."
"44","Spurwechsel als Lohn der Lüge, meine Damen und Herren! Dieses Gesetz hebt zum Schaden Deutschlands die gebotene Trennung von Asyl- und Einwanderungsrecht auf."
"45"," Das dient nicht pragmatisch den Interessen unserer Bürger, sondern missbraucht deren Leistungsfähigkeit für die Wohlfahrt ausländischer Migranten."
"46"," Die AfD wird das beenden."
"47"," Denn der gefährlichste Fachkräftemangel, den wir in Deutschland haben, ist der in der Regierung."
"48","Ich danke Ihnen."
"49","Prasident Dr.
 Wolfgang "
