"","V1"
"1",""
"2"," Bitte."
"3","Svenja Schulze, Bundesministerin für Umwelt, Naturschutz und nukleare Sicherheit:"
"4","Sehr geehrter Herr Abgeordneter, 97 Prozent der Wissenschaftlerinnen und Wissenschaftler sagen uns, dass der Klimawandel menschengemacht ist und wir etwas dagegen tun müssen."
"5","Würden Sie in ein Flugzeug steigen, wenn 97 Prozent der Ingenieure weltweit sagen:"
"6"," „Dieses Flugzeug stürzt ab“? — Nein, natürlich nicht."
"7"," Die Regierung wird an ihren Klimaschutzzielen festhalten."
"8"," Wir werden Klimaschutz machen."
"9"," Wir werden uns um die Menschen in Deutschland und übrigens auch international kümmern und unseren CO,-Ausstoß reduzieren."
"10"," Das ist wichtig, um den Lebensraum der Menschen auf unserer Erde zu erhalten."
"11"," Dazu wird Deutschland einen Beitrag leisten."
"12"," Präsident Dr.
 Wolfgang "
