"","V1"
"1",""
"2","Er hat aber die Frau Bundesminister gefragt."
"3"," — Frau Bundesminister."
"4"," Svenja Schulze, Bundesministerin für Umwelt, Naturschutz und nukleare Sicherheit:"
"5","Herr Abgeordneter, der Erhaltungszustand wird in Europa nach einheitlichen Regeln gemessen und festgelegt."
"6"," Wir haben gemeinsam mit den Ländern ein festgelegtes Verfahren, mit dem wir ermitteln, wie viele Wolfsrudel überhaupt vorhanden sind."
"7"," Ich kann Ihnen keine genaue Zahl aller Wölfe nennen, weil wir nicht wissen, wie viele Tiere zu einem Rudel genau gehören."
"8"," Das ist ein Wildtier, das eher ein scheues Tier ist und sich Menschen für gewöhnlich eben nicht nähert."
"9"," Deswegen kann man auch nicht einfach eine Erhebung machen."
"10"," Wir haben jetzt die Möglichkeit, Tiere zu besendern."
"11"," Das ist erlaubt."
"12"," Dadurch wissen wir etwas mehr darüber, wohin die Wölfe sich bewegen und wie viele Tiere vorhanden sind."
"13"," Aber man kann jetzt hier einfach keine genaue Zahl in den Raum stellen."
"14","Präsident Dr.
 Wolfgang "
