"","V1"
"1",""
"2","Vielen Dank, Frau Kollegin Poschmann."
"3"," — Als nächster Redner hat der Kollege Reinhard Houben, FDP-Fraktion, das Wort."
"4"," — Kollege Dehm ist aufgewacht."
"5"," Reinhard Houben:"
"6","Herr Präsident! Meine Damen und Herren! Mal ehrlich:"
"7"," Was hat diese soziale Marktwirtschaft denn außer Frieden, Wohlstand, Freiheit, Teilhabe und Eigentum eigentlich schon gebracht? Das las ich gestern bei Twitter."
"8"," Ich finde, es trifft den Nagel auf den Kopf."
"9","Aber, meine Damen und Herren, ich muss Ihnen leider mitteilen:"
"10"," Die soziale Marktwirtschaft hat nicht mehr sehr viele Freunde, weder in Deutschland noch in Europa."
"11"," Nicht nur die parlamentarische Demokratie, sondern auch die soziale Marktwirtschaft wird zunehmend von Populisten von rechts und links infrage gestellt."
"12"," Deutschland braucht Fürsprecher und Verteidiger der sozialen Marktwirtschaft."
"13"," Leider sucht man diese in diesem Parlament sehr lange — findet sie manchmal vielleicht noch in der Union —, und auch in der Regierung sucht man sie mehr oder minder vergeblich."
"14","Herr Minister Altmaier, Sie haben uns einmal eine Charta der sozialen Marktwirtschaft versprochen."
"15"," Sie wollten das umsetzen."
"16"," Es sind jetzt ungefähr anderthalb Jahre vergangen."
"17"," Es ist nichts passiert."
"18","Herr Altmaier, ich höre Sie ja häufiger, in verschiedenen Veranstaltungen — ja, genau, ich bin das; ich bin immer da -, und kenne Sie eigentlich als guten Rhetoriker."
"19"," Aber jetzt muss ich einmal festhalten:"
"20"," Frau Teuteberg hat Ihre Nationale Industriestrategie in ihrer Rede überhaupt nicht erwähnt."
"21"," Frau Teuteberg für etwas zu kritisieren, was sie nicht angesprochen hat, und dieses dann zu verteidigen, ist rein rhetorisch schon interessant."
"22"," Ich sage mal, es ist auch schwierig."
"23"," Sie beziehen sich da ja auf Franz Josef Strauß und Airbus."
"24"," Mit dem Ende des A380 fehlen uns aber 80 Millionen Euro im ERP-Sondervermögen."
"25"," Das ist Geld, das im Moment zur Unterstützung der mittelständischen Wirtschaft fehlt."
"26"," Darauf sollten Sie vielleicht einmal eingehen und nicht Airbus und die Ideen von Franz Josef Strauß permanent vor sich hertragen! Alle — Wirtschaftsverbände, Institute, Experten, selbst die FDP - haben gewarnt:"
"27"," Der Boom bleibt nicht ewig."
"28"," — Sie haben sich aber lieber auf den Erfolgen der Wirtschaft und der Menschen in diesem Land ausgeruht."
"29"," Herr Altmaier, Sie haben uns 20 Jahre lang 2 Prozent jährliches Wachstum versprochen."
"30"," Wir sind jetzt quasi kurz vor der Null."
"31"," Sie sollten sich in dieser Frage mal etwas infrage stellen."
"32"," Ich finde es schon etwas arrogant, wenn man so mit Wirtschaftszahlen umgeht."
"33"," Die Koalition hat Zeit vergeudet und keine Mittel eingesetzt, um auf eine abkühlende Wirtschaft einzugehen."
"34"," — Herr Kollege, er hat diese Aussage zum Wachstum getätigt; deshalb muss er auch zu dieser Aussage stehen."
"35"," — Es ist für uns jedenfalls sehr schwer nachvollziehbar, dass man die Möglichkeiten der Hochkonjunktur nicht genutzt hat, um entsprechend Vorsorge zu treffen."
"36","Deutschland braucht eine Agenda der Fleißigen."
"37"," Deutschland braucht eine Agenda der Mutigen."
"38"," Was haben wir bekommen, Herr Altmaier? Wir haben eine Nationale Industriestrategie bekommen."
"39"," Das ist für mich mehr eine Agenda für die Großen."
"40"," Reinhard HoubenSie wollen europäische Champions über Unternehmenseinkäufe orchestrieren."
"41"," Sie wollen, dass gegebenenfalls sogar der Staat Unternehmen kauft."
"42"," Die Schlüssel zum Erfolg jedoch sind Wettbewerb und Innovation."
"43"," Größe ist da keineswegs nötig."
"44"," Das beweist der Mittelstand jedes Jahr."
"45"," Herr Altmaier, Sie sind als neuer Ludwig Erhard angetreten und geben sich jetzt häufig als Franz Josef Strauß."
"46"," Sie haben in Ihrem Beitrag sehr oft „damals“ gesagt."
"47"," Es geht nicht um damals."
"48"," Es geht um den Blick nach vorne, es geht um Zukunft."
"49"," Deswegen:"
"50"," Setzen Sie nicht auf eine Industriepolitik, die mich eher an Günter Mittag, den letzten Wirtschaftsminister der DDR, erinnert! Die sozialdemokratischen Kollegen haben den Namenja vermieden, aber ich könnte mir inzwischen vorstellen,dass man Kevin Kühnert sogar zum Staatssekretär im ium mac Selten, meine Damen und Herren, waren sich Wirtschaftsverbande so einig in der Kritik am Wirtschaftsministerium."
"51"," Die Familienunternehmer haben die Vorschläge „Antimittelstandspolitik“ genannt."
"52"," Die Unternehmensteuerreform, die Bekämpfung des Fachkräftemangels, der Bürokratieabbau, die Abschaffung des Soli, Investitionen statt Wahlgeschenke:"
"53"," Das wären Dinge, die uns nach vorne bringen und uns neue Möglichkeiten in einer abkühlenden Konjunktur geben würden."
"54"," Das geschieht aber nicht."
"55","Herr Minister Altmaier, Sie haben heute in der „Welt“ angekündigt, dass Sie den Soli abschaffen und etwas bei der Körperschaftsteuer sowie den Energiepreisen tun wollen."
"56"," Wenn gleichzeitig Ihr haushaltspolitischer Sprecher, Herr Rehberg, zum gleichen Zeitpunkt in der gleichen Zeitung sagt:"
"57"," „Nein, wir haben überhaupt gar keinen Spielraum für Steuersenkungen“, muss ich Sie doch fragen:
 Sind Sie in Ihrer Fraktion, im Ministerium und in dieser Regierung isoliert? Wie kann es zu solchen Aussagen kommen, die sich so stark widersprechen?Vizepräsident Wolfgang "
