"","V1"
"1",""
"2"," Frau Bundesministerin."
"3","Svenja Schulze, Bundesministerin für Umwelt, Naturschutz und nukleare Sicherheit:"
"4","Herr Abgeordneter, nein, ich teile Ihre Auffassung ausdrücklich nicht."
"5"," Ein Zusammenleben von Wolf und Mensch ist möglich."
"6"," Auch die Weidetierhaltung ist möglich, wenn wir die Weidetiere schützen."
"7"," Dafür gibt es gut erprobte Systeme."
"8"," Auch in unseren Nachbarländern, in denen es mehr Wölfe gibt als bei uns, finden wir Weidetierhaltung vor."
"9"," Genauso wird das auch in Deutschland möglich sein."
"10"," Wichtig ist uns, dass die Weidetiere geschützt werden."
"11"," Dafür werden auch von der Bundesregierung Mittel bereitgestellt."
"12"," Wir haben uns auf der europäischen Ebene dafür eingesetzt, dass wir das dürfen und die Schäfer da unterstützen können."
"13","Präsident Dr.
 Wolfgang "
