"","V1"
"1",""
"2","Frau Bundesminister."
"3","Svenja Schulze, Bundesministerin für Umwelt, Naturschutz und nukleare Sicherheit:"
"4","Herr Abgeordneter, man kann keinen genauen Zahlenwert angeben, jedenfalls jetzt noch nicht."
"5"," Die Wolfspopulation ist im Moment noch stark gefährdet; wir verlieren zurzeit einfach noch eine große Zahl Wölfe — die meisten übrigens durch den Autoverkehr."
"6"," Wölfe werden einfach überfahren."
"7"," Deswegen wird das nach einem genauen Maßstab gemeinsam mit den Ländern gemacht, damit man sieht, ob der Wolf in einem Zustand ist, in dem er nicht mehr gefährdet ist, in dem er sozusagen von sich aus eine Überlebenschance hat."
"8"," Von diesem Zustand sind wir noch weit entfernt."
"9","Sie haben recht:"
"10"," Es gibt unterschiedliche Populationen."
"11"," Wir haben in Deutschland drei verschiedene große Wolfsgebiete."
"12"," Man muss genau schauen, in welchem Zustand die Populationen dort sind."
"13"," Eine genaue Zahl gibt es aber nicht."
"14"," Vielmehr ist der Maßstab:"
"15"," Sind die Wölfe von sich aus überlebensfähig, ohne dass man eingreifen muss? — Davon sind wir noch weit entfernt."
"16","Präsident Dr.
 Wolfgang "
