"","V1"
"1",""
"2","Frau Bundesminister."
"3","Svenja Schulze, Bundesministerin für Umwelt, Naturschutz und nukleare Sicherheit:"
"4","Herr Abgeordneter, das Pariser Klimaschutzabkommen ist eine weltweite Vereinbarung, die dazu beitragen soll, dass Leben auf dieser Erde weiterhin möglich ist, dass wir Lebensräume für Menschen erhalten."
"5"," Dazu wird auch Deutschland einen Beitrag leisten."
"6"," Wir werden in Deutschland unseren CO,-Ausstoß reduzieren müssen."
"7"," Dazu habe ich ein Klimaschutzgesetz vorgelegt, das klare Verantwortlichkeiten für alle Bereiche festlegt."
"8"," Im Rahmen dieser Verantwortlichkeiten kann auch ein CO,Preis eine sinnvolle Lenkungswirkung entfalten."
"9"," Er muss aber sozial gerecht sein."
"10"," Er darf Menschen mit kleinen und mittleren Einkommen, also Mieterinnen und Mieter und Pendler, nicht zusätzlich belasten."
"11"," So ein Modell zu entwickeln, ist möglich."
"12"," Ich arbeite gerade in meinem Haus mithilfe von Forscherinnen und Forschern daran, so ein Modell zu erarbeiten."
"13"," Aber das kann nur ein Baustein sein."
"14","Wir werden im Klimaschutz noch eine ganze Reihe von Dingen tun müssen."
"15"," Das ist übrigens gut für Deutschland; denn wir sind ein Hochtechnologieland."
"16"," Wir sind diejenigen, die Innovationen entwickeln können, die Techniken exportieren können."
"17"," Da bilden die Techniken, die wir beim Klimaschutz brauchen, einen der ganz wichtigen Bereiche."
"18","Präsident Dr.
 Wolfgang "
