"","V1"
"1",""
"2","Vielen Dank, Frau Kollegin Dr."
"3"," Hendricks."
"4"," — Als nächster Redner erhält das Wort der Kollege Dr."
"5"," Anton Friesen, AfD-Fraktion."
"6"," Dr."
"7"," Anton Friesen:"
"8","Sehr geehrter Herr Präsident! Sehr geehrte Damen und Herren Abgeordnete! Liebe Zuhörer! Ende Februar bis Anfang März habe ich als erster Bundestagsabgeordneter nach den Parlamentswahlen im Dezember 2018 Armenien besucht und mir vor Ort ein Bild von der Aufbruchsstimmung nach dem demokratischen und friedlichen Machtwechsel zu Paschinjan machen können."
"9","Das Dreiecksverhältnis zwischen der Europäischen Union, Armenien und Russland kann — vor allem im Vergleich zu anderen Staaten im postsowjetischen Raum, zum Beispiel zur Ukraine — als vorbildlich gelten."
"10"," Armenien ist Mitglied in der Eurasischen Wirtschaftsunion, gleichzeitig aber eng an die Europäische Union angebun en."
"11","Ich will in der Kürze der Zeit auf zwei wichtige Aspekte eingehen:"
"12"," zum einen auf die Bekämpfung der Organisierten Kriminalität und zum anderen auf die Rückführung vollziehbar Ausreisepflichtiger."
"13","Besonders relevant ist das Thema Mafia leider in Thüringen."
"14"," Bei uns im Freistaat Thüringen treiben verschiedene mafiöse Gruppierungen ihr Unwesen, darunter auch die sogenannte armenisch geprägte Mafia."
"15"," Die Landesregierungen Thüringens, egal ob schwarz oder dunkelrot, haben bei der Mafiabekämpfung seitDr."
"16"," Anton FriesenJahrzehnten mindestens ein Auge zugedrückt."
"17"," Umso wichtiger sollte es sein, gemeinsam mit Armenien bei der Bekämpfung der Organisierten Kriminalität zusammenzuarbeiten."
"18"," Stattdessen haben der MDR Thüringen und „Der Spiegel“ sogar den armenischen Botschafter in Deutschland verdächtigt, selbst über Mafiakontakte zu verfügen."
"19"," Dies ist eine ungeheure Verleumdung, die kein Diplomat so über sich ergehen lassen muss."
"20","Es ist daher richtig, dass im Partnerschaftsabkommen die Kooperation bei der Bekämpfung der Organisierten Kriminalität und Korruption in Artikel 16 explizit erwähnt wird."
"21"," Hier spielt auch die Bekämpfung der Veruntreuung bei von internationalen Gebern finanzierten Projekten eine Rolle, auch bei Projekten der Europäischen Union."
"22"," In einer Studie der Stiftung Wissenschaft und Politik heißt es dazu - ich zitiere -:"
"23","Die EU sollte durch eine umsichtige Auswahl auch Vorwürfen im Land begegnen, sie habe in der Vergangenheit mit ihrem Geld staatlich organisierte Pseudo-N unter BEUUO OS &stützt."
"24","Wichtig ist auch die Rückführung illegaler Migranten."
"25"," Bereits seit dem 1."
"26"," J anuar 2014 existiert zwischen der EU und Armenien ein Rückül Zwischen 2014 und 2018 stieg die Anzahl der vollziehbar ausreisepflichtigen armenischen Asylbewerber in Deutschland von 371 auf 1 655."
"27"," Vor etwaigen Fortschritten im Hinblick auf die Visaliberalisierung muss das Rückführungsabkommen effektiv umgesetzt werden."
"28"," Es ist schön und gut, dass das in Artikel 15 Absatz 2 des Partnerschaftsabkommens betont wird."
"29"," Allein auf die Taten kommt es an!Die Europäische Union gewährt Armenien zwischen 2017 und 2020 160 Millionen Euro an finanzieller Unterstützung, orientiert wiederum am Partnerschaftsabkommen und den Partnerschafsprioritäten aus dem Jahr 2018."
"30"," Umgerechnet auf die knapp unter 3 Millionen Einwohner des Landes, sind es ungefähr 55 Euro pro Person."
"31"," Klar ist, dass diese Unterstützung transparent und konditional erfolgen muss."
"32"," Ob dies allerdings bei der real existierenden Europäischen Union der Fall sein wird, da haben wir unsere Zweifel."
"33"," Deswegen werden wir uns bei dieser Abstimmung enthalten."
"34","Vielen Dank.
 Vizepräsident Wolfgang "
