"","V1"
"1",""
"2","Vielen Dank."
"3"," — Wir fahren in der Debatte fort."
"4"," Nächster Redner ist für die Fraktion der SPD der Kollege Michael Gerdes."
"5"," Michael Gerdes:"
"6","Herr Präsident! Meine Damen und Herren! Liebe Kolleginnen und Kollegen der FDP, ich hoffe, Sie hören mir jetzt auch zu."
"7"," Ich halte die Klage über die Dokumentationspflichten beim Mindestlohn für eine Debatte von vorgestern."
"8"," Weder habe ich den Eindruck, dass die deutsche Wirtschaftsleistung aufgrund überzogener Aufzeichnungspflichten nachgelassen hat, noch haben wir an dieser Stelle ein unüberwindbares Bürokratiemonster geschaffen."
"9"," Was für ein Quatsch! Das zeigt auch diese Debatte."
"10"," Da gibt es mit Sicherheit schlimmere verwaltungstechnische Vorgänge."
"11"," Mein Kollege Bernd Rützel und auch Herr Kartes haben darauf hingewiesen und aufgezeigt, wie simpel die Dokumentation tatsächlich ist."
"12","Michael GerdesWas ich Ihnen zugutehalten möchte:"
"13"," Bei der Verabschiedung des Gesetzes zur Stärkung der Tarifautonomie war die FDP-Fraktion nicht Teil dieses Hauses."
"14"," Vor diesem Hintergrund verstehe ich, dass Sie mit dieser Debatte Ihre wirtschaftspolitische Expertise für die Öffentlichkeit dokumentieren wollen."
"15"," Damit haben Sie anscheinend in diesem Haus ein Alleinstellungsmerkmal."
"16","Gerne unterstreiche ich noch einmal die Haltung der SPD."
"17"," Verehrter Herr Kollege Todtenhausen:"
"18"," Ohne klare Aufzeichnung von Arbeitszeiten keine Kontrollmöglichkeit, und ohne Kontrolle keine Fairness bei der Bezahlung."
"19"," Wer Rechnungen stellt, in denen Arbeitsstunden enthalten sind, muss diese ohnehin aufschreiben; das haben wir heute hier schon öfter gehört."
"20","Liebe Kolleginnen und Kollegen, anstatt sich an der Bürokratie zu stören, sollten wir uns lieber darauf konzentrieren, wie wir die Durchsetzung des Mindestlohns verbessern und Umgehungen der Lohnuntergrenze vermeiden."
"21"," Die vorangegangene Debatte zum Gesetz gegen illegale Beschäftigung und Sozialleistungsmissbrauch hat gezeigt, dass Union und SPD genau hier ansetzen:"
"22"," Der Zoll wird mit mehr Personal und neuen Befugnissen ausgestattet, und auf diese Weise schützen wir Arbeitnehmerinnen und Arbeitnehmer besser vor Lohndumping und nicht bezahlten Arbeitsstunden."
"23","Unseriöse Unternehmen werden damit schneller entlarvt."
"24","Problematisch finde ich auch, dass viele Beschäftigte, die nicht regelkonform bezahlt werden oder Verstöße gegen die Aufzeichnung von Arbeitszeiten feststellen, Angst davor haben, ihre Ansprüche einzufordern."
"25"," Hier müssen wir überlegen, wie wir Betroffenen den Rücken stärken."
"26"," Sicherlich kennen die meisten von Ihnen Beispiele aus ihren Wahlkreisen."
"27"," Hinter vorgehaltener Hand kann man dann von Umgehungspraktiken hören."
"28"," Da werden Pausenzeiten nicht gewährt, aber abgerechnet, Leerfahrten nicht bezahlt oder Zielvorgaben so gemacht, dass sie in der Arbeitszeit nicht zu schaffen sind, und so lässt man Stundenlöhne sinken."
"29"," Ein Dialog aus einer Bäckerei:"
"30"," „Uschi, kannst du mal vier Brötchen in deine Kasse eingeben? Ich bin ja noch in der Pause."
"31","“ Das sollte uns nachdenklich machen."
"32"," Liebe Kolleginnen und Kollegen, die Einführung des Mindestlohnes war ein Meilenstein."
"33"," Ich wiederhole noch einmal gerne:"
"34"," Der Mindestlohn ist ein Erfolg, weil alle Horrorszenarien, wonach Mindestlöhne Arbeitsplätze vernichten, ausgeblieben sind, weil er messbare Einkommensverbesserungen gebracht hat, weil vor allem Frauen, prekär Beschäftigte, Arbeitnehmer in kleinen Betrieben und Beschäftigte mit Migrationshintergrund von ihm profitieren und weil mehr sozialversicherungspflichtige Jobs entstanden sind."
"35"," Selbstverständlich wissen wir auch, dass der Mindestlohn allein nicht alle sozialpolitischen Probleme löst, zum Beispiel macht der Mindestlohn die steigenden Mieten nicht wett."
"36"," In seiner jetzigen Höhe schützt er auch nicht angemessen vor Armut."
"37"," Er dient vor allem dazu, dass sich Wettbewerber bei den Löhnen nicht unterbieten und den Preisdruck nicht auf dem Rücken von Arbeitnehmerinnen und Arbeitnehmern austragen."
"38"," Daran müssen wir weiter arbeiten."
"39"," Das beste Mittel für gute Löhne und vernünftige Arbeitsbedingungen sind umfassend geltende Tarifverträge."
"40"," Der Mindestlohn hilft vor allem dort, wo keine Tarifbindung vorhanden ist."
"41"," Eine Diskussion darüber werden wir morgen hier noch führen.
Herzlichen Dank und Glück auf! Vizepräsident Thomas "
