"","V1"
"1",""
"2"," Friedrich Straetmanns, Die Linke, hat jetzt das Wort."
"3"," Friedrich Straetmanns:"
"4","Sehr geehrter Herr Präsident! Sehr geehrte Damen und Herren! Gerade erst vor etwas mehr als zwei Jahren hat die Große Koalition das Strafverfahren neu gestaltet mit der Zielsetzung, es effektiver und praxistauglicher zu machen."
"5"," Jetzt wollen Sie es — in Ihren Worten — „modernisieren“."
"6"," Ein ehrlicherer Titel für diese immer wiederkehrenden Vorhaben wäre aus meiner Sicht:"
"7"," Gesetz zur Beschneidung von Beschuldigten- und Angeklagtenrechten und Reduzierung der Zahl der Fälle, in denen diese verteidigt sind."
"8"," Bevor ich zu den einzelnen Regelungen komme, möchte ich anmerken, dass eine Evaluation der letzten Maßnahmen von vor zwei Jahren von Ihrer Seite nicht erfolgt ist."
"9"," Als Richter finde ich das sehr bedenklich."
"10"," Das ist auch ein schwerwiegender Mangel dieser Vorlage."
"11"," Im Bereich des Strafverfahrens und im Übrigen auch im Gefahrenabwehrrecht halten Sie es insgesamt nicht mehr für nötig, Ihre Reformen im Nachhinein daraufhin zu überprüfen, ob sie auch geeignet sind."
"12"," Denn Sie handeln nach dem Motto:"
"13"," Schärfer geht immer."
"14","Ich komme nun zu einigen kritischen Anmerkungen zu einzelnen Regelungen:"
"15","Die in $ 29 Strafprozessordnung, StPO, geplante Änderung bei Ablehnung eines Richters ist gerade von meinem Vorredner angesprochen worden."
"16"," Wir finden es extrem bedenklich, dass ein unter der Besorgnis der Befangenheit stehender Richter zwei Wochen weiterverhandeln und wichtige Beweise erheben kann."
"17"," DassFriedrich Straetmannsdies so möglich ist, ist ein Einschnitt in die Angeklagtenund Beschuldigtenrechte."
"18"," Folgendes sollte uns interessieren, nämlich:"
"19"," Welche Zahl von missbräuchlich gestellten Befangenheitsanträgen findet sich überhaupt in Strafverfahren? Liefern Sie diese, damit wir darüber fair und vernünftig debattieren können."
"20"," Argumentiert wird hier auch von Ihnen, von der GroK0, mit dem öffentlichen Interesse an einer beschleunigten Verfahrensdurchführung."
"21"," Ich denke, dass wir gerade vor der historischen Verantwortung und den Erkenntnissen, die wir daraus gezogen haben, sehr großes Interesse an einem fairen Verfahren mit einer objektiven Beweiserhebung haben müssen."
"22"," Sie wollen mit Ihrem Gesetzentwurf Beschuldigtenrechte einschränken, alles unter dem Vorwand, es sei zum Besten des Angeklagten."
"23","Ihr Entwurf enthält aber auch eine relativ kuriose Regelung, nämlich das Verbot der Gesichtsverhüllung im neugefassten $ 68 StPO."
"24"," Es handelt sich hierbei um ein reines Politikspektakel und nicht um die Abhilfe eines echten Problems."
"25"," Machen wir es uns doch einfach mal an den Zahlen bewusst, dass lediglich 200 bis 300 Frauen in Deutschland einen sogenannten Nikab tragen."
