"","V1"
"1",""
"2"," Danke, Frau Kollegin Bahr."
"3"," — Als nächste Rednerin hat das Wort die Kollegin Dr."
"4"," Petra Sitte, Fraktion Die Linke."
"5"," Dr."
"6"," Petra Sitte:"
"7","Herr Präsident! Meine Damen und Herren! Ich will mich auf drei Punkte konzentrieren, von denen ich meine, dass sie im Kontext dieses FDP-Antrages auf keinen Fall vergessen werden sollten."
"8","Erstens."
"9"," Nicht nur Bildung, sondern eben auch Weiterbildung sind in Deutschland immer noch Spiegelbild sozialer Ungerechtigkeit und Ungleichheit."
"10"," Hierzulande profitiert von einer Qualifizierung vor allem, wer erwerbstätig ist und gut verdient, wer einen guten Realschulabschluss und einen höheren beruflichen Abschluss hat."
"11"," Erwerbslose, geringqualifiziert Arbeitende oder eben auch Menschen mit Hauptschulabschluss finden hingegen viel schlechter Zugang zu guter Weiterbildung."
"12"," Ähnlich ergeht es auch den 2 Millionen Menschen ohne Schulabschluss und vor allem den 6 Millionen Menschen, die als funktionale Analphabeten gelten."
"13","Der Matthäus-Effekt verstärkt auch hier die Ungleichheiten:"
"14"," Wer sozial und gesellschaftlich ohnehin benachteiligt ist, erlangt deutlich weniger Ressourcen für Bildung und damit gleichermaßen auch für Weiterbildung."
"15"," Das zieht sich sozusagen wie ein schwarzer Faden durch die gesamte Bildungslandschaft."
"16"," Das muss endlich ein Ende haben."
"17"," Mithin lehnt Die Linke auch ab, Wissen für Menschen einseitig nach wirtschaftlicher Verwertbarkeit zu öffnen."
"18"," Lebenslanges Lernen soll für alle Lernen fürs Leben sein."
"19","Zweitens."
"20"," Lernen und Lehren brauchen Qualität."
"21"," Weiterbildungen nach den Sozialgesetzbüchern, beispielsweise mit einer direkten Förderung durch die Bundessagentur für Arbeit, haben viel eher etwas mit einer Beschäftigungstherapie als mit Qualität zu tun."
"22"," Das Prinzip, je billiger, desto besser, kommt aber am Ende alle viel teurer zu stehen, weil diese Weiterbildung weniger nutztund vor allem weil die Betroffenen dadurch unglaublich demotiviert werden."
"23"," Das ist absurd."
"24","Die Folge sind prekäre Beschäftigungsverhältnisse bei den Lehrenden, insbesondere bei Honorarkräften und bei Selbstständigen."
"25"," Sie werden oft nicht tarifgebunden und demzufolge auch deutlich niedriger bezahlt."
"26"," Sie werden befristet eingestellt und hocken meistens unfreiwillig in Honorarverträgen."
"27"," So ist weder eine armutsfeste Altersabsicherung möglich, und, was noch viel entscheidender ist, jene, die Fort- und Weiterbildung anbieten sollen, haben selber gar keine Chance auf Fort- und Weiterbildung."
"28"," Das ist ja sozusagen auch schon der Untergang eines solchen Systems, wenn man diese Basis nicht stärkt."
"29"," Das heißt also, gute Weiterbildung und gute Arbeit sind zwei Seiten einer Medaille."
"30"," Drittens."
"31"," Bildung braucht Zeit."
"32"," Sie braucht Finanzierung."
"33"," Der gesamte Prozess muss auch vertrauensvoll gestaltet sein."
"34"," Anders als im FDP-Antrag ist für uns Weiterbildung mehr als Lernen für beruflichen Aufstieg oder berufliche Umorientierung."
"35"," Weiterbildung umfasst auch persönliche Bildungsansprüche."
"36"," Gerade in Zeiten von Fake News und Demokratiestärkung, von der wir hier immer wieder reden, vertreten wir ein Bildungsverständnis, das statt persönlicher Abhängigkeit mehr Selbstständigkeit, mehr Selbstbestimmung und mehr Gleichstellung ermöglicht."
"37"," Dazu bedarf es in der Tat eines umfassenden Netzes an Weiterbildungsangeboten."
"38"," Die Träger sind verlässlich zu unterstützen, um dann auch ihre eigene Bezahlung und damit auch die Beschäftigungsverhältnisse angemessen zu vergüten."
"39"," Zwingend notwendig ist, sich mit den Konzepten der Gewerkschaften wie Weiterbildungsmentorinnen und -mentoren in Betrieben zu öffnen oder sich das Bildungsfreistellungsgesetz des DGB Sachsen oder die von der GEW geforderten Weiterbildungsfonds anzuschauen."
"40","Abschließend will ich sagen:"
"41"," Auch in Zeiten von Digitalisierung und künstlicher Intelligenz ist Qualifizierung nicht das Allheilmittel zur Lösung von Strukturund Beschäftigungsproblemen.
Vizepräsident Wolfgang "
