"","V1"
"1",""
"2","Damit ist diese Frage beantwortet."
"3"," Die Frage 37 der Abgeordneten Annalena Baerbock wird schriftlich beantwortet."
"4","Dann rufe ich den Geschäftsbereich des Bundesministeriums der Justiz und für Verbraucherschutz auf."
"5"," Zur Beantwortung steht der Parlamentarische Staatssekretär Christan Lange bereit."
"6","Vizepräsident Thomas OppermannIch rufe Frage 38 der Abgeordneten Katrin Werner auf:"
"7"," Welche Personen sind Mitglied der Arbeitsgruppe im Bun desministerium der Justiz und für Verbraucherschutz, die an einer Reform des Unterhaltsrechts arbeitet?Herr Staatssekretär."
"8","Christian Lange, Parl."
"9"," Staatssekretär bei der Bundesministerin der Justiz und für Verbraucherschutz:"
"10","Vielen Dank, Herr Präsident."
"11"," — Liebe Kollegin Werner, ich beantworte Ihre Frage wie folgt:"
"12"," Im Bundesministerium der Justiz und für Verbraucherschutz hat bis 2017 eine Arbeitsgruppe zum Kindesunterhaltsrecht getagt."
"13"," Diese Arbeitsgruppe hat sich mit den unterhaltsrechtlichen Fragestellungen befasst, die sich aus den modernen Formen der Kinderbetreuung ergeben, insbesondere der Mitbetreuung und dem Wechselmodell."
"14","Die Arbeitsgruppe war mit Teilnehmern aus der Rechtsprechung, Vertretern der Anwaltschaft, Professoren und Angehörigen der Bundesministerien besetzt."
"15"," Die Zusammensetzung war wie folgt aufgeschlüsselt:"
"16"," acht Personen aus der Justiz, drei Professorinnen und Professoren, zwei Vertreterinnen der Anwaltschaft und sechs Kolleginnen und Kollegen aus den Bundesministerien, die da waren:"
"17"," unser Haus und das Bundesministerium für Familie, Senioren, Frauen und Jugend.
Vizepräsident Thomas "
