"","V1"
"1",""
"2"," Dazu gibt es eine Nachfrage."
"3"," — Herr Kollege Dr."
"4"," Faber, bitte."
"5","Dr."
"6"," Marcus Faber:"
"7","Vielen Dank, Herr Präsident."
"8"," — Herr Staatsminister, der Bundessicherheitsrat ist ja ein zentrales Organ der Sicherheitspolitik der Bundesregierung."
"9"," Warum flexibilisieren Sie nicht die Geheimhaltungsstufe des Bundessicherheitsrats je nach Anlass, um so die Öffentlichkeit und auch das Parlament stärker an den Beratungen, beispielsweise über kritische Rüstungsexporte, teilhaben zu lassen?Dr."
"10"," Hendrik Hoppenstedt, Staatsminister bei der Bundeskanzlerin:"
"11","Herr Kollege, der Bundessicherheitsrat ist in allererster Linie ein Kabinettsausschuss."
"12"," Die Sitzungen unterliegen grundsätzlich erst einmal der Vertraulichkeit, ım Falle des Bundessicherheitsrates sogar der Geheimhaltung — aus, ich denke, nachvollziehbaren und guten Gründen."
"13"," Deswegen bleiben wir auch dabei, dass der Bundessicherheitsrat geheim tagt.
Vizepräsident Wolfgang "
