"","V1"
"1",""
"2"," Vielen Dank."
"3"," — Herr Schmidt, wollen Sie nachfragen? — Bitte schön."
"4","Stefan Schmidt:"
"5","Ja, das möchte ich."
"6"," Vielen Dank, Frau Präsidentin."
"7"," — Liebe Frau Staatssekretärin, ich möchte zunächst auf das Thema Zentralisierung, das Sie zuletzt angesprochen haben, eingehen."
"8"," Für mich erschließt sich nicht, wieso nicht eine bundeseinheitliche Aufsichtsbehörde, wie es schon häufiger gefordert wurde und wird, besser im Blick hat, wo die Probleme sind, wo vielleicht schwarze Schafe auf dem Markt sind, was die Branche durchaus auch selbst als Problem erkannt hat."
"9"," Ich verstehe nicht, warum eine bundeseinheitliche zentrale Anlaufstelle das nicht lösen könnte."
"10"," Aus meiner Sicht könnte sie es vielleicht sogar besser lösen als die Vielfalt der Aufsichtsbehörden in den Ländern, die nicht so viel miteinander zu tun haben.
Vizepräsidentin Claudia "
