"","V1"
"1",""
"2"," Vielen Dank, Herr Minister."
"3"," — Nächste Nach-/Rückfrage:"
"4"," Kollegin Lemke."
"5","Steffi Lemke:"
"6","Herr Minister, Sie sind ja hier, weil Ihr Staatssekretär eine Frage des Kollegen Luksic nicht beantworten wollte."
"7"," Gekonnt hätte er ja; so lange ist Herr Ferlemann Staatssekretär und hat uns schon oft Rede und Antwort gestanden."
"8"," Da werde ich ja hellhörig, wenn Sie deshalb hierherkommen müssen."
"9"," Deshalb möchte ich da nachhaken."
"10"," Ich möchte von Ihnen keine Auskunft über Daten oder Beteiligte an Gesprächen, sondern darüber, ob die Aussage, dass Eventim Ihnen wann und wo und mit wem auch immer jemals das Angebot gemacht hat, erst nach dem EuGH-Urteil zu unterschreiben, gelogen ist.
Vizepräsidentin Claudia "
