"","V1"
"1",""
"2"," Aber minus."
"3"," Letzter Satz, Herr Kollege."
"4"," Alois Karl:"
"5","Gerade jetzt würde das Spannende kommen, Herr Präsident."
"6"," Ich fasse es in einem letzten Schachtelsatz zusammen."
"7"," — Ich möchte Ihnen, lieber Herr Außenminister, für die stetige Einsatzbereitschaft in unserer Außenpolitik danken."
"8"," Wir haben viele Aufgaben auf der Welt, ich weiß."
"9"," Sie sind nicht der Maas aller Dinge in der Welt, aber wir bemühen uns alle:"
"10"," wir, Sie in der aktuellen Politik und wir in unserem Haushalt."
"11","Vielen herzlichen Dank, lieber Herr Präsident."
"12"," Vizepräsident Dr.
 Hans-Peter "
