"","V1"
"1",""
"2"," Detlef Seif, CDU/CSU, ist der nächste Redner."
"3"," Detlef Seif:"
"4","Sehr geehrter Herr Präsident! Meine Damen und Herren! Liebe Kolleginnen und Kollegen! Get Brexit done! — Das war der Spruch auf dem Tory-Parteitag Anfang des Monats."
"5"," Wir wollen endlich den Brexit vollziehen."
"6"," — Und es gab frenetischen Applaus, wenn Politiker gesagt haben:"
"7"," Am 31."
"8"," Oktober ist Schluss."
"9"," Es folgt keine Verlängerung."
"10","Hier wird eine Dramaturgie aufgebaut, die Johnson dann auch mit seinem Angebot noch mal untermauertDetlef Seifhat."
"11"," Es handelte sich um das erste und einzige Angebot von Johnson vom 2."
"12"," Oktober."
"13"," Er sagte:"
"14"," Das ist mein letztes Angebot."
"15"," Nur auf dieser Grundlage kann ein Abkommen geschlossen werden."
"16","Seit dem Referendum sind fast dreieinhalb Jahre verstrichen."
"17"," Zwei Jahre haben die Briten verplempert."
"18"," Und jetzt kommt Boris Johnson, setzt der EU die Pistole auf die Brust, baut mit seinem Chefberater eine Dramaturgie auf, die uns zwingen soll, im letzten Moment einem Abkommen zuzustimmen."
"19","Meine Damen und Herren, wichtig ist es aber, dass wir trotz dieser Taktik Johnsons nicht daran gehindert sein sollten, einen kühlen Kopf zu bewahren."
"20"," Keine Verhandlungssituation dieser Welt darf dazu führen, dass wir unsere Prinzipien über Bord werfen und im Ergebnis damit der Europäischen Union Schaden zufügen."
"21"," Sicher, für beide Seiten steht viel auf dem Spiel, aber besonders für Großbritannien selbst:"
"22"," Politische Instabilität."
"23"," Die werden in eine handfeste Rezession schlittern."
"24"," Wir alle haben ein Interesse, dass so ein Ergebnis vermieden wird, aber wir dürfen nur einem Abkommen zustimmen, das die Integrität des Binnenmarkts wahrt."
"25"," Wenn, wie vorgeschlagen, Nordirland in einer Zollunion des Vereinigten Königreichs bleibt, gleichzeitig Binnenmarktregeln zur Anwendung kommen, aber keine Kontrollen auf der irischen Insel durchgeführt werden, übersteigt das zunächst mal die Fähigkeit, so einen Schritt nachzuvollziehen."
"26"," Da ist höchste Sorgfalt erforderlich; sonst werfen wir unsere Prinzipien über Bord."
"27"," Es ist sehr bedauerlich — wir wollen das alle nicht -; aber wir verplempern eine Menge unserer Zeit mit dem Brexit-Verfahren und können uns daher nicht mit den wichtigsten Themen der Gegenwart beschäftigen."
"28"," Der mehrjährige Finanzrahmen der Europäischen Union - er wurde mehrfach angesprochen - ist in den letzten Monaten deutlich zu kurz gekommen."
"29","Nach dem vollzogenen Austritt Großbritanniens aus der Europäischen Union ist eine finanzielle Lücke zu schließen."
"30"," Alleine bei der Festlegung von 1 Prozent des Bruttonationaleinkommens als EU-Haushalt wird Deutschland jährlich mit über 10 Milliarden Euro mehr belastet werden."
"31"," Da kann man einfordern — und dabei ist die Bundesregierung zu unterstützen — Sparsamkeit und Solidität in der Haushaltsführung."
"32","Bei dem jetzt vorgelegten Haushalt der Kommission mit einem Ansatz von 1,114 Prozent des Bruttonationaleinkommens hat man den Eindruck:"
"33"," Das ist die Blaupause der vergangenen Jahre — der Fraktionsvorsitzende hat es angedeutet."
"34"," Es gibt keine neuen Ideen, keine Aufgabenkritik, keine Ausgabenkritik."
"35"," Wenn Geld allein deshalb ausgegeben wird, weil es zur Verfügung gestellt wird, aber kein europäischer Mehrwert erkennbar ist, muss man sich die Frage stellen:"
"36"," Würde dieses Projekt in Angriff genommen, wenn eben keine Mittel zur Verfügung gestellt würden? Da ist ein deutliches Sparpotenzial."
"37"," Hier können wir alle von der Kommission erwarten, dass das auch umgesetzt wird."
"38","Vielen Dank! Präsident Dr.
 Wolfgang "
