"","V1"
"1",""
"2"," Herr Krischer."
"3","Oliver Krischer:"
"4","Also, Herr Ferlemann, so geht das hier nicht! Sie haben eine Rechtsgrundlage an der Stelle geschaffen, die auf Geräte abhebt — und das ist damals bei der Anhörung und bei der Verabschiedung auch breitest thematisiert worden -, die es nicht gibt."
"5"," Damals haben Sie gesagt:"
"6"," Diese Geräte wird es in allerkürzester Zeit geben."
"7"," — Jetzt bestätigen Sie die Kritik von damals, dass es diese Geräte nicht geben wird."
"8"," Sie haben somit ein Gesetz geschaffen, das völlig verpufft, das die Länder, wie Sie zugeben, überhaupt nicht umsetzen können, weil es diese Geräte nicht gibt — ganz einfach."
"9","Deshalb meine Frage an Sie:"
"10"," Die Alternative war die Einführung einer blauen Plakette.
 Denkt die Bundesregierung, damit es endlich eine wirksame, umsetzbare Regelung zur Kontrolle von Fahrverboten gibt, nach Jahren Abgasskandal endlich einmal darüber nach, eine blaue Plakette einzuführen?Vizepräsidentin Claudia "
