"","V1"
"1",""
"2","Vielen Dank, Frau Dr."
"3"," Sitte."
"4"," — Als nächste Rednerin hat das Wort die Kollegin Kerstin Andreae, Bündnis 90/ Die Grünen."
"5"," Kerstin Andreae:"
"6","Herr Präsident! Liebe Kolleginnen und Kollegen! Manche haben es schon gesagt:"
"7"," Über dieses Thema diskutieren wir wirklich schon sehr lange, fast über ein Jahrzehnt."
"8"," Ich habe hier unzählige Reden zur steuerlichen Forschungsförderung gehalten und erinnere mich noch an die großen Aufschläge von Heinz Riesenhuber, der immer wieder versucht hat, in seiner Fraktion damit zu werben."
"9"," Es war auch immer eine Auseinandersetzung gar nicht so sehr zwischen den Fraktionen, sondern auch innerhalb der Fraktionen, zwischen den Wirtschaftspolitikern und den Finanzpolitikern."
"10"," Denn die Finanzpolitiker haben durchaus zu Recht gesagt:"
"11"," Es geht um den verantwortungsvollen Umgang mit Steuermitteln."
"12"," — Das darf man nicht kleinreden; da haben sie recht."
"13"," Die Wirtschaftspolitiker hingegen haben immer gesagt:"
"14"," Es geht um die Frage des Standortwettbewerbs und darum, Innovationen zu fördern."
"15","Inzwischen hat sich Gott sei Dank folgende Sichtweise durchgesetzt:"
"16"," Wenn wir eine dynamische Wirtschaftsstruktur haben wollen und diese fördern wollen und wenn wir diese Kreativität und diesen Freigeist, dieses junge Unternehmertun, das vorhanden ist, fördern wollen, dann brauchen wir auch Instrumente, die offen und frei sind."
"17"," Deswegen eine steuerliche Forschungsförderung."
"18"," Das ist am Ende - davon sind wir überzeugt - ein verantwortungsvoller Umgang mit Steuermitteln, weil damit die dynamische Wirtschaft in Deutschland vorangebracht wird."
"19"," Wir Grüne haben Ihnen schon vor Längerem einen Gesetzentwurf vorgelegt, der sich tatsächlich auf die kleinen und mittelständischen Unternehmen konzentriert."
"20"," Wir finden auch nicht besonders gelungen, was jetzt hier aufgemacht wird, weil es doch wieder nur nach dem Prinzip Gießkanne erfolgt und nicht zielgenau gefördert wird."
"21"," Trotzdem können wir sagen, dass mit einer steuerlichen Forschungsförderung jetzt auch viele Unternehmen erreicht werden könnten."
"22"," Wir wissen, dass bei den innovationsaktiven Unternehmen 28 Prozent der Großunternehmen heute schon mit Fördermitteln bedacht werden, aber nur 16 Prozent der KMUs."
"23"," Das heißt, da wollen wir noch mehr herangehen."
"24"," Aber was machen Sie jetzt? Sie machen einen ganz großen Fehler:"
"25"," Sie langen bei der Auftragsforschung nicht richtig zu."
"26"," Wenn Start-ups — diese entstehen oft durch Ausgründungen aus Hochschulen — universitäre Forschungseinrichtungen, zum Beispiel ein Fraunhofer-Institut, beauftragen, dann kann die steuerliche Forschungsförderung nicht greifen, und dann gehen beide leer aus."
"27"," Damit machen Sie den großen Fehler, dass Sie genau diese innovativen, hungrigen jungen Unternehmen, diese Start-ups, diese Ausgründungen, von der steuerlichen Forschungsförderung ausschließen."
"28"," Das geht genau am Ziel, nämlich Innovationen anzureizen, vorbei."
"29"," Lassen Sie diejenigen, die die Mittel brauchen und deren Kreativität wir brauchen, nicht leer ausgehen."
"30"," Deswegen sagen wir:"
"31"," Ändern Sie etwas bei der Auftragsforschung! Das sagen ja nicht nur wir."
"32"," Auch die Bundesforschungsministerin Karliczek drängt auf eine Änderung der geplanten steuerlichen Forschungsförderung."
"33"," Sie müsse auch die innovativen kleinen und mittleren Unternehmen erreichen, die zwar selber keine Forschungsabteilung haben, aber mit Hochschulen und Forschungseinrichtungen zusammenarbeiten."
"34"," Wir bitten Sie wirklich, da noch einmal heranzugehen."
"35"," Wenn dann das Argument kommt, dass das doch bedeuten könnte, dass Forschung nicht in Deutschland, sondern im europäischen Ausland gefördert wird, kann ich nur sagen:"
"36"," Das ist der Grundgedanke des europäischen Binnenmarktes, das ist Europa."
"37"," Ich zitiere immer wieder gerne Richard Florida."
"38"," Richard Florida hat sich die wettbewerbsstärksten Regionen Europas und der Welt angeschaut und sagt, es gibt drei Faktoren, die entscheidend sind:"
"39"," TTT."
"40"," Sie sind nah dran."
"41"," Talente fördern — das erste T."
"42"," Sie fördern junge, kreative Denkerinnen und Denker, Forscherinnen und Forscher; sie fördern Kreativität."
"43"," Technologien voranbringen, Kreativität, Innovationen — das ist das zweite T."
"44"," Und das dritte T ist Toleranz."
"45","Ich sage Ihnen von der AfD:"
"46"," Das war ja eine nette Rede."
"47"," Aber leider sind Sie Mitglied einer Partei, die nationalistisch und völkisch unterwegs ist."
"48"," Damit vergiften Sie nicht nur das Klima in diesem Land, sondern Sie schaden definitiv und nachweisbar auch dem Standort Deutschland."
"49"," „Weltoffenheit und Toleranz“ ist eben derKerstin Andreaedritte Punkt, um wettbewerbsfahig nach vorne zu geen."
"50","Vielen Dank.
 Vizeprasident Wolfgang "
