"","V1"
"1",""
"2","Vielen Dank."
"3"," — Damit schließe ich die Aussprache."
"4","Interfraktionell wird Überweisung der Vorlagen auf den Drucksachen 1910815, 19/9515, 19/11154, 19/11119, 19/10757, 19/10219 und 19/11106 an die in der Tagesordnung aufgeführten Ausschüsse vorgeschlagen."
"5"," Sind Sie damit einverstanden? — Ich sehe, das ist der Fall."
"6"," Dann sind die Überweisungen so beschlossen."
"7","Ich rufe die Tagesordnungspunkte 7 a und 7 b auf:"
"8","a) Beratung des Antrags der Abgeordneten Jan Korte, Matthias Höhn, Dr."
"9"," Gesine Lötzsch, weiterer Abgeordneter und der Fraktion DIE LINKEEinsetzung eines Untersuchungsausschusses zur TreuhandanstaltDrucksache 19/9793Überweisungsvorschlag:"
"10"," Ausschuss für Wahlprüfung, Immunität und Geschäftsordnun;b=Beratung des Antrags der Abgeordneten Jürgen Pohl, Sebastian Münzenmaier, Rene Springer, weiterer Abgeordneter und der Fraktion der AfDEinsetzung eines Untersuchungsausschusses „Treuhand“Drucksache 19/11126Überweisungsvorschlag:"
"11"," Ausschuss für Wahlprüfung, Immunität und Geschäftsord Nach einer interfraktionellen Vereinbarung sind für die Aussprache 60 Minuten vorgesehen."
"12"," — Ich höre hierzu keinen Widerspruch."
"13"," Dann ist das so beschlossen."
"14","Ich eröffne die Aussprache und erteile als erstem Redner dem Kollegen Dr."
"15"," Dietmar Bartsch, Fraktion Die Linke, das Wort."
"16"," Dr."
"17"," Dietmar Bartsch:"
"18","Danke."
"19"," — Herr Präsident! Meine Damen und Herren! Das Thema ist benannt worden."
"20"," Ich werbe seit einiger Zeit öffentlich und jetzt auch hier im Deutschen Bundestag darum, dass wir einen Untersuchungsausschuss einsetzen."
"21"," Ich will hier begründen, warum es aus unserer Sicht notwendig ist, diese Zeit im Osten politisch aufzuarbeiten."
"22","Es wird auch hier sehr gern über den Osten geredet und sich dann hin und wieder gewundert, warum die Frustration über die Politik, über Politikerinnen und Politiker dort besonders ausgeprägt ist."
"23"," Ich sage Ihnen:"
"24"," EinDr."
"25"," Dietmar BartschBaustein, um zu verstehen, woher dieser Frust kommt, ist das Desaster der Treuhandanstalt."
"26"," Die Bundeskanzlerin hat gestern als Antwort auf meinen Kollegen Matthias Höhn faktisch eingestanden, dass da unbedingt eine Aufarbeitung erfolgen muss."
"27"," Das war aber keine wirkliche Antwort, sondern Rumgeeiere."
"28","Dass eine Aufarbeitung der Arbeit der Treuhandanstalt nicht nur von meiner Generation oder noch Älteren gefordert wird, zeigt zum Beispiel die Leipziger Initiative „Aufbruch Ost“."
"29"," Das sind junge Menschen, meist unter 30 Jahren, die explizit für die Aufarbeitung der Treuhandarbeit werben."
"30"," Gerade die jungen Leute haben nämlich bei ihren Eltern und Großeltern erlebt, wie durch die Privatisierung der Treuhand massenhaft Biografien von Menschen gebrochen worden sind."
"31"," 1989 haben die Menschen in der DDR friedlich Demokratie und Freiheit erkämpft."
"32"," Es war ein Geschenk für das ganze Land; keine Frage."
"33"," Doch von der danach erfolgten Schocktherapie durch die Treuhand hat sich der Osten nie mehr ganz erholt."
"34","Frau Teuteberg, die ja hier sitzt, lässt sich mit dem Satz zitieren:"
"35","Die Forderung nach einem weiteren Untersuchungsausschuss ist ein rückwärtsgewandtes Ablenkungsmanöver, das keinen Arbeitsplatz zurückbringt."
"36"," Dazu kann ich nur sagen:"
"37"," Na Donnerwetter! Natürlich bringt das keinen Arbeitsplatz zurück."
"38"," — Sie haben offensichtlich überhaupt nicht verstanden, worum es geht."
"39"," Es geht eben nicht um eine „erinnerungspolitische Bad Bank“ oder darum, die DDR-Wirtschaft zu verklären."
"40"," Nein, es geht um eine seriöse Aufarbeitung der Treuhandarbeit, und zwar — das sage ich ausdrücklich - ergebnisoffen."
"41"," Vielleicht revidiere ich ja meine Meinung."
"42"," Es geht um eine ergebnisoffene Aufarbeitung."
"43","Natürlich war der Zustand der DDR-Wirtschaft vielfach marode, aber keinesfalls so marode, wie immer behauptet worden ist."
"44"," Die Treuhand hat die Wirtschaft nicht auf Vordermann gebracht, sondern einfach massenhaft privatisiert."
"45"," Die Treuhandanstalt hat in einem Jahr hundertmal mehr Betriebe privatisiert als Maggie Thatcher in zehn Jahren; sogar sie ist dagegen eine Antiprivatisierungsaktivistin."
"46"," Die Treuhand hat in großem Umfang deindustrialisiert und damit den Osten bis heute zurückgeworfen."
"47"," Um es mal drastisch zu formulieren:"
"48"," Die Treuhand hat aus dem Osten einen 1-Euro-Laden gemacht."
"49","Und wer hat davon profitiert? 85 Prozent der Unternehmen sind an westdeutsche Investoren gegangen, und nicht einmal die restlichen 15 Prozent sind bei den Ossis geblieben, sondern im Wesentlichen an ausländische Investoren gegangen."
"50"," Bis heute gibt es dieses Missverhältnis in den Führungsetagen, und das hat mit der damaligen Politik zu tun."
"51"," Die Verantwortung dafür trägt auch die damalige schwarz-gelbe Bundesregierung."
"52"," Deswegen wundert mich nicht, dass FDP und die Union gegen einen Untersuchungsausschuss sind."
"53"," Aber genau um diese politische Verantwortung geht es heute."
"54"," Deshalb, liebe Kolleginnen und Kollegen von der SPD, reicht eine Arbeitsgruppe nicht aus."
"55"," Eine Arbeitsgruppe ist gut; aber sie kann die politische Verantwortung nicht aufarbeiten."
"56","Lassen Sie uns mal Revue passieren, was der gesetzliche Auftrag der Treuhand war."
"57"," Ja, die Treuhand sollte auch privatisieren."
"58"," Ich zitiere aus dem Gesetz:"
"59","die Wettbewerbsfähigkeit möglichst vieler Unternehmen herzustellen und somit Arbeitsplätze zu sichern und neue zu schaffenDie Treuhand hat de facto das Gegenteil gemacht:"
"60","Millionen Arbeitslose, plattgemachte Industrie, und die Filetstücke wurden verscherbelt."
"61"," Es gab kaum eine öffentliche Institution, die seit der Gründung der Bundesrepublik Deutschland krasser gegen den gesetzlichen Auftrag verstoßen hat."
"62"," Praktisch jede Familie im Osten ist vom Wirken der Treuhandanstalt betroffen."
"63"," Angesichts der Auswirkungen werbe ich für einen Untersuchungsausschuss."
"64"," Schon der Bundesrechnungshof hat 1993 in seinem Bericht festgestellt, dass das Finanzministerium der politischen und finanziellen Verantwortung nicht gerecht werde."
"65"," Was für ein Urteil! Es ist eine Frage des Respekts gegenüber Millionen Menschen, die damals arbeitslos wurden und deren Lebensleistung über Nacht als marode abqualifiziert wurde, diese Zeit parlamentarisch aufzuarbeiten."
"66","Ich habe auch nichts gegen eine wissenschaftliche Aufarbeitung."
"67"," Klar, die brauchen wir, und das geschieht im Übrigen auch schon."
"68"," Aber es ist im Moment so, dass die Bundesregierung wesentliche Akten gar nicht rausrückt."
"69"," Die bleiben in den Ministerien."
"70"," Im Bundesarchiv sind sage und schreibe acht Mitarbeiter damit befasst."
"71"," EsDr."
"72"," Dietmar Bartschsind aber 170 000 Akten."
"73"," Das würde bis ins nachste Jahrhundert dauern."
"74"," Da muss man doch endlich etwas tun."
"75"," Auch vor diesem Hintergrund ist ein Untersuchungsausschuss wichtig."
"76"," Er hatte auch eine bessere Chance, weil 30 Jahre nach der damaligen friedlichen Revolution endlich die Sperren weggefallen sind, sodass man in alle Akten sehen kann."
"77","Meine Bitte, insbesondere an die Kolleginnen und Kollegen aus dem Osten:"
"78"," Hören Sie in der Sommerpause in Ihren Wahlkreisen genau hin, was die Menschen von unserem Vorstoß halten."
"79"," Viele wollen, dass sich die Politik mit dieser Zeit beschäftigt."
"80"," Fehler müssen als Fehler benannt werden."
"81"," Niemand behauptet, dass Arbeitsplätze zurückkommen; aber die Treuhandwunde klafft bis heute tief."
"82"," Meine Damen und Herren, lassen Sie uns 30 Jahre nach der Einheit die Treuhandaufarbeitung zu unserem Anliegen machen."
"83"," Sie ist notwendig für die emotionale Einheit und den inneren Frieden in unserem Land."
"84","Herzlichen Dank.
Vizepräsident Wolfgang "
