"","V1"
"1",""
"2"," Herr Huber, Sie haben eine Nachfrage."
"3","Johannes Huber:"
"4","Vielen Dank."
"5"," — Ich möchte trotzdem noch einmal nachfragen, wie Sie es denn mit dem Artikel 2 Grundgesetz, mit dem Lebensrecht, halten? 1993 gab es vom Bundesverfassungsgericht ein Urteil, das besagte, dass das Lebensrecht eben nicht erst durch die Annahme seitens der Mutter begründet ist, sondern dem Ungeborenen schon aufgrund seiner bloßen Existenz zusteht."
"6"," Im Sinne von Versorgungslücken:"
"7"," Wie halten Sie es hier mit dem Grundgesetzartikel 2?Dr."
"8"," Franziska Giffey, Bundesministerin für Familie, Senioren, Frauen und Jugend:"
"9","Wir haben hier eine Rechtsgüterabwägung — die hat das Bundesverfassungsgericht auch vorgenommen — zwischen dem Recht und dem Schutz des ungeborenen Lebens, aber auch dem Recht der Frau, über ihren Körper zu entscheiden und in einer Schwangerschaftsnotlage, in einem Schwangerschaftskonflikt entsprechende Informationen und Hilfe zu bekommen."
"10"," Es geht hier um beides."
"11"," Es geht auch um das Recht der Frauen, diese Entscheidung zu treffen, und dafür gibt es rechtliche Reglungen, und zwar in Verbindung zu genau der Abwägung, die das Bundesverfassungsgericht vorgenommen hat."
"12"," Genau in diesem Sinne haben wir auch die Änderung des Schwangerschaftskonfliktgesetzes auf den Weg gebracht."
"13"," Präsident Dr.
 Wolfgang "
