"","V1"
"1",""
"2"," Na ja."
"3"," — Herr Kollege Pasemann, Sie haben das Wort."
"4","Frank Pasemann:"
"5","Danke schén."
"6"," — Seit 2014 gibt es im Rahmen der Beantragung von Fördermitteln die sogenannte Extremismusklausel nicht mehr."
"7"," Die Überprüfung, ob sich ein Förderantrag auf der Grundlage der freiheitlich-demokratischen Grundordnung befindet oder nicht, ist von Frau Ministerin Schwesig damals abgeschafft worden."
"8","Wir als AfD-Fraktion haben damit ein kleines Problem und würden irgendwann gerne eine Wiedereinführung beantragen oder diese wenigstens beraten wollen."
"9"," Mich interessiert Ihre Meinung dazu."
"10"," Wie steht die verantwortliche Ministerin dazu? — Danke."
"11","Dr."
"12"," Franziska Giffey, Bundesministerin für Familie, Senioren, Frauen und Jugend:"
"13","Was Sie ansprechen, ist das Programm „Demokratie leben!“, unser wichtigstes Bundesprogramm für die Unterstützung der Zivilgesellschaft in der Förderung von Demokratie, in der Frage von politischer Bildung und von Jugendarbeit."
"14"," Dabei geht es darum, dass wir Organisationen den Rücken stärken, die sich genau für den Erhalt der Demokratie einsetzen."
"15"," Natürlich ist es wichtig, dass wir ausschließlich Projekte fördern, die auf dem Boden der freiheitlich-demokratischen Grundordnung stehen."
"16","Diese Extremismusklausel, die jeden Träger eines Projektes unter den Generalverdacht stellt, sich gegen die Demokratie zu verhalten, war in der Umsetzung nicht förderlich, weil sie eben einen Vertrauensverlust bedeutet hat und nicht zielführend für das war, worum es auch Ihnen geht, nämlich diejenigen von Förderung auszuschließen, die sich eben nicht auf dem Boden der freiheitlich-demokratischen Grundordnung befinden."
"17","Das können wir durch ganz andere Mechanismen absichern."
"18"," Wir haben eine ganz klare Verfahrensvereinbarung."
"19"," Wenn ein Träger im Verdacht steht, sich nicht an die Grundsätze der Demokratie zu halten, verwehren wir die Förderung oder, sollte er bereits eine Förderung bekommen, stoppen wir die Förderung."
"20"," Es wird geprüft, was an diesem Vorwurf dran ist."
"21"," Dafür gibt es ein festes Verfahren, abgestimmt mit dem Bundesinnenministerium."
"22"," Das hat sich bewährt."
"23","Deshalb ist meine Position dazu ganz klar:"
"24"," Ich möchte nicht, dass wir all die Träger, mit denen wir gut zusammenarbeiten, unter einen Generalverdacht stellen, sondern ich möchte, dass wir die Menschen, die sich in Deutschland für die Demokratieförderung einsetzen, unterstützen."
"25"," Und das machen wir auch."
"26"," Präsident Dr.
 Wolfgang "
