"","V1"
"1",""
"2","Ich sehe, dass zu diesem Themenbereich keine weiteren Nachfragen vorliegen."
"3"," Frau Staatssekretärin, herzlichen Dank."
"4","Wir verlassen den Geschäftsbereich des Bundesministerıums der Finanzen."
"5","Ich rufe den Geschäftsbereich des Bundesministeriums des Innern, für Bau und Heimat auf."
"6"," Zur Beantwortung steht bereit Herr Parlamentarischer Staatssekretär Marco Wanderwitz."
"7","Ich rufe die Frage 11 des Abgeordneten Karlheinz Busen auf:"
"8"," Plant die Bundesregierung baurechtlich die Schaffung einer Privilegierung für das Bauen mit dem nachwachsenden Rohstoff Holz, und soll planungsrechtlich das Bauen mit Holz im Rahmen der Kompensation von Eingriffen in Natur und Umwelt positiv angerechnet werden?Herr Staatssekretär, Sie haben das Wort."
"9","Marco Wanderwitz, Parl."
"10"," Staatssekretär beim Bundesminister des Innern, für Bau und Heimat:"
"11","Vielen Dank, Herr Präsident."
"12"," —- Herr Kollege Busen, die Schaffung einer baurechtlichen Privilegierung für das Bauen mit Holz ist im Bauplanungsrecht des Bundes nicht beabsichtigt."
"13"," Solange es um bauordnungsrechtliche Regelungen zur erweiterten Verwendung von Holz geht, sind hierfür ausschließlich die Länder zuständig.
 Vizepräsident Wolfgang "
