"","V1"
"1",""
"2"," Danke sehr."
"3"," — Dazu eine Nachfrage? — Frau Kollegin Haßelmann, bitte sehr."
"4","Britta Haßelmann:"
"5","Vielen Dank, Herr Präsident."
"6"," — Sehr geehrter Herr Minister, Sie hatten in Ihrem Kommissionsbericht die Idee, dass nicht abgerufene Fördermittel gebündelt und dann für andere Ziele im Rahmen der Kommissionsvorschläge etatisiert und ausgegeben werden sollen."
"7"," Ab welchem Haushaltsjahr soll das passieren, und über welche Größenordnung reden wir da? Und meine zweite Frage:"
"8"," Ab welchem Jahr soll der Gleichwertigkeitscheck, den Sie vorgeschlagen haben, gelten? Ist der Gleichwertigkeitscheck jetzt in jedem Gesetzesvorhaben, das das Kabinett beschließt — wir haben allein schon diese Woche ganz viele Gesetzesvorhaben -, drin, oder soll der auch erst ab 2020 oder 2021 stattfinden?Horst Seehofer, Bundesminister des Innern, für Bau und Heimat:"
"9"," Es ist gut, dass Sie mich darauf hinweisen."
"10"," Ich schaue jetzt noch mal, dass das ab sofort immer bei der Bewertung eines Gesetzes mit berücksichtigt wird."
"11"," Es ist ja wirklich nicht schwer, festzustellen, ob ein Gesetz dem Ziel „gleichwertige Lebensverhältnisse‘“ dient oder nicht; das kann man von allen Ressorts noch verlangen."
"12","Ich darf nur mal darauf hinweisen:"
"13"," Das Ergebnis der bayerischen Strukturpolitik von über 20 Jahren ist:"
"14"," Früher hatten wir — gerade im Winter — eine Spreizung der Arbeitslosigkeit von 15, 20 und 25 Prozent, je nach Region."
"15"," Aktuell ist die Situation so:"
"16"," Die Spreizung bei der Arbeitslosigkeit beträgt noch ein Komma etwas Prozent; das ist der Erfolg dieser Strukturpolitik."
"17"," Es lohnt sich, Universitäten und Behörden in den ländlichen Raum zu verlagern."
"18"," Es lohnt sich auch, wenn Konzerne im ländlichen Raum investieren."
"19"," Das ist das Ziel, und damit kommt auch der gesellschaftliche Zusammenhalt wieder stärker zum Tragen."
"20","Präsident Dr.
 Wolfgang "
