"","V1"
"1",""
"2"," Danke sehr."
"3"," — Jetzt hat der Kollege Daniel Föst eine Frage."
"4","Daniel Föst:"
"5","Vielen Dank, Herr Präsident."
"6"," — Herr Bauminister, nachdem wir jetzt beim Wohnungsbau sind, habe ich eine Nachfrage zum Mietendeckel in Berlin."
"7"," Die Bauindustrie, die Baubranche hat ja gesagt:"
"8"," Der Wohnungsbau in Berlin wird komplett zum Erliegen kommen durch diesen Mietendeckel."
"9"," Mehrere Gutachter, unter anderem der ehemalige Verfassungsrichter Hans-Jürgen Papier, haben festgestellt, der Mietendeckel sei verfassungswidrig, da der Bund die Mietfrage abschließend regelt."
"10"," Das Land Berlin stellt da die Bundesgesetzgebung infrage, ignoriert sie, gibt sich ein eigenes Recht."
"11"," Meine Frage an Sie als Bauminister ist:"
"12"," Wie geht die Bundesregierung mit diesem Affront um? Müsste die Bundesregierung nicht eine Klärung über ein Normenkontrollverfahren herbeiführen oder vielleicht sogar ein Bund-Länder-Streitverfahren initüeren?Horst Seehofer, Bundesminister des Innern, für Bau und Heimat:"
"13","Also, wir leben in einer sozialen Marktwirtschaft, und da müssen beide Pole berücksichtigt werden."
"14"," Ich bin sehr dafür, dass wir ein Konzept haben für Investoren — das haben wir als Regierung, und zwar in einem Umfang wie noch nie — und dass in neue Wohnungen investiert wird, von der steuerlichen Abschreibung über das Baukindergeld, über den sozialen Wohnungsbau etc."
"15"," und auch den Bau von Wohnungen für Bedienstete des Bundes."
"16"," Auf der anderen Seite müssen wir schauen, dass das Mietrecht sozial ausgestaltet ist."
"17"," Ich bin zum Beispiel derjenige, der die Verlängerung des Vergleichszeitraums für den Mietspiegel von vier auf sechs Jahre betrieben hat, weil unser damaliger bayerischer Justizminister der Meinung war, das sei eine sehr wirksame Maßnahme."
"18"," Ich halte allerdings nichts von Begriffen, die da herumgeistern, wie „Enteignung“, „Deckel“ und ,,Moratorium“, weil das die Investoren nur davon abhält, neue Wohnungen zu bauen."
"19"," Und ohne neue Wohnungen werden wir die Wohnungsproblematik nicht lösen."
"20"," Das ist meine Auffassung."
"21","Prasident Dr.
 Wolfgang "
