"","V1"
"1",""
"2"," Herr Kollege Dürr, Sie müssen jetzt Schluss machen, nicht zum Schluss kommen."
"3","Christian Dürr:"
"4","Fürs Protokoll:"
"5"," Alle anwesenden Kolleginnen und Kollegen der CDU/CSU-Fraktion haben gerade erklärt, dass dieses Gesetz verfassungswidrig ist, meine Damen und Herren."
"6","Dann können Sie dem im Dezember nicht zustimmen."
"7"," Das ist Verfassungsbruch mit Ansage."
"8"," Die größte Fraktion des Hauses darf nicht gegen das Grundgesetz der Bundesrepublik Deutschland verstoßen."
"9","Herzlichen Dank."
"10"," Präsident Dr.
 Wolfgang "
