"","V1"
"1",""
"2","Vielen Dank, Nikolas Lébel."
"3"," — Ich bitte die Kolleginnen und Kollegen noch einmal, Platz zu nehmen und dem nächsten Redner jetzt die Aufmerksamkeit zu schenken."
"4","Jetzt redet der Herr Erndl."
"5"," Zu Ihrer Information:"
"6"," Das ist der letzte Redner in dieser Debatte."
"7"," Thomas Erndl:"
"8","Vielen Dank, Frau Präsidentin."
"9"," — Meine sehr geehrten Kolleginnen und Kollegen! Wir debattieren heute die Anträge zur Aufhebung der Sanktionen gegen Russland - so wie AfD und Linke meinen:"
"10"," praktisch zum Nulltarif."
"11"," Wir hören hier in der Debatte ganz neue Aspekte."
"12"," Die Zeitstrafe kenne ich nur aus dem Amateursport."
"13"," Aber Sie wollen die Zeitstrafe auch im Völkerrecht einführen:"
"14"," Nach fünf Jahren kann man sozusagen wieder mitspielen."
"15"," — Das kann nicht der Weg sein, den wir hier gehen wollen."
"16","Thomas ErndlDas gäbe Völkerrechtsbrechern völlig neue Perspektiven."
"17","Meine Damen und Herren, auch wenn die Sanktionen Konsequenzen, wirtschaftliche Auswirkungen, für uns in Deutschland haben:"
"18"," Wir können nicht einfach so hinnehmen, dass seit Ende des Zweiten Weltkrieges die Grenzen in Europa durch Gewalt verschoben wurden."
"19"," Die völkerrechtswidrige Annexion der Krim erforderte eine Antwort Europas, und die Sanktionen der EU waren und bleiben die richtige Antwort auf dieses Vorgehen."
"20"," Die Sanktionen sind aber kein Selbstzweck; das wurde heute auch schon angesprochen."
"21"," Sie sind zielgerichtet, maßvoll, und sie sind ein flexibles Instrument, das direkt an den diplomatischen Prozess gebunden ist."
"22"," Dementsprechend kann man diese Sanktionen selbstverständlich lockern, aber nur, wenn sich die Situation in der Ostukraine verbessert."
"23"," Dazu brauchen wir glaubhafte Fortschritte bei der Umsetzung des Minsker Prozesses, vor allem endlich den Rückzug der schweren Waffen."
"24","Diese Fortschritte, meine Damen und Herren, haben wir bisher nicht gesehen."
"25"," Im Gegenteil:"
"26"," Russland erweist sich immer weniger als konstruktiver Partner."
"27"," Neben der Situation auf der Krim und in der Ostukraine haben wir den MH17-Abschuss, die Unterstützung und Stabilisierung des Kriegsverbrechers Assad in Syrien, die Aufbringung ukrainischer Schiffe im Asowschen Meer, den Giftanschlag in Großbritannien, den Bruch des INF-Vertrags, die Beeinflussung demokratischer Prozesse und Versuche der Destabilisierung — auch bei uns im Land -, um nur einige Beispiele zu nennen."
"28","Liebe Kolleginnen und Kollegen, vor diesen Realitäten können wir nicht die Augen verschließen."
"29"," Da hilft auch keine Empathie, wie es die AfD in ihrem Antrag schreibt."
"30"," Dieses Verhalten kann nicht dadurch belohnt werden, dass wir die Sanktionen gegen Russland aufheben."
"31","Gleichwohl bin ich der festen Überzeugung, dass wir trotz der Differenzen natürlich den Gesprächsfaden mit Russland weiterführen müssen."
"32"," Wir wollen keine Entfremdung zwischen Moskau und Berlin."
"33"," Wir sind Brückenbauer; das Beispiel Europarat wurde hier angesprochen."
"34","Ich habe mich in der vergangenen Woche mit Regional- und Nachwuchspolitikern aus Russland getroffen."
"35"," Als Leiter des Unterausschusses „Auswärtige Kulturund Bildungspolitik“ habe ich bekräftigt, dass gute Beziehungen auf kultureller und wissenschaftlicher Ebene in politisch schwierigen Zeiten selbstverständlich funktionieren können und vor allem sehr wichtig sind."
"36","Wir machen hier wirklich seit vielen Jahren eine ganze Menge."
"37"," Das Deutsch-Russische Themenjahr der Hochschulkooperation und Wissenschaft mit einer Vielzahl von Konferenzen und einem regen Austausch wurde im Dezember 2018 gestartet."
"38"," Von Russland aus begann die russische Kultursaison mit über 300 Veranstaltungen in Deutschland."
"39"," Wir haben 1 000 Hochschulkooperationen, wir haben 11 000 russische Studenten in Deutschland, wir haben 1,5 Millionen Russinnen und Russen, die deutsche Sprachlernangebote wahrnehmen."
"40"," Russland ist eines der Länder mit den meisten DAAD-Stipendiaten pro Jahr."
"41"," Wir machen wirklich eine ganze Menge."
"42","Ein Teilnehmer des Gesprächs letzte Woche hat gesagt:"
"43"," Wir müssen uns in vielen kleinen Schritten wieder aufeinander zubewegen."
"44"," — Ich finde, er hat recht; aber wir werden ohne die großen Schritte nie zu einem wirklich vertrauensvollen Verhältnis kommen."
"45","Liebe Kolleginnen und Kollegen von der Linken - ich komme zum Schluss, Frau Präsidentin —, gegen unseren NATO-Partner Türkei verlangen Sie Sanktionen und Strafmaßnahmen, während Sie Russland einen geopolitischen Freifahrtschein ausstellen möchten."
"46"," Das ist keine verantwortungsvolle Politik."
"47"," Wir sind davon überzeugt, dass die Sanktionen weiterhin richtig sind."
"48"," Deswegen sind die Anträge entschieden abzulehnen."
"49","Herzlichen Dank.
 Vizepräsidentin Claudia "
