"","V1"
"1",""
"2"," Dr."
"3"," Andre Hahn, Die Linke, ist der nächste Redner."
"4"," Dr."
"5"," Andre Hahn:"
"6","Herr Präsident! Meine Damen und Herren! Lassen Sie mich für meine Fraktion, Die Linke, eines gleich zu Beginn festhalten — damit schließe ich an die Ausführungen des Kollegen Hartmann an -:"
"7"," Es gibt keine absolute Sicherheit vor terroristischen Anschlägen, schon gar nicht bei mehr oder weniger spontanen Taten von Einzelpersonen oder kleinen Gruppen."
"8"," Ich füge hinzu:"
"9"," Der Staat darf auch nicht den Anschein erwecken, dass es eine solche absolute Sicherheit vielleicht doch geben könne, schon gar nicht um den Preis eines immer weiter gehenden Abbaus von Grund- und Freiheitsrechten der Bürgerinnen und Bürger."
"10"," Dabei wird Die Linke definitiv nicht mitmachen."
"11"," Ich finde es schon einigermaßen befremdlich, dass gerade die angeblich so liberale FDP nun offenbar genau in diese Richtung marschieren will."
"12"," Liebe Kolleginnen und Kollegen, auch zwei Jahre nach dem furchtbaren Anschlag auf dem Berliner Breitscheidplatz, bei dem 12 Menschen getötet und mehr als 70 verletzt worden sind, sind viele Fragen unbeantwortet."
"13"," Im Kern geht es darum, warum der Attentäter Amri, der geradezu umstellt war von V-Leuten unterschiedlicher Sicherheitsbehörden, nicht rechtzeitig gestoppt werden konnte."
"14"," Ganz offensichtlich bestehen innerhalb der Sicherheitsbehörden und bei deren Zusammenarbeit untereinander eklatante Abstimmungs- und Vollzugsdefizite."
"15"," Brauchen wir deshalb aber eine neue Föderalismusreform, wie es die FDP-Fraktion in ihrem Antrag nahelegt? Würden neue, zentralisierte Sicherheitsstrukturen wirklich helfen, dass unsere Polizeibehörden besser arbeiten? Ich habe da erhebliche Zweifel, zumal die beiden letzten Föderalismusreformen alles andere als eine Erfolgsgeschichte waren."
"16"," Entscheidend ist doch wohl eher, dass die Polizei die ihr vorliegenden Informationen richtig bewertet sowie Gefahrensituationen und Verdächtige zutreffend einschätzt."
"17"," Auf diesem Gebiet lagen doch die zentralen Versäumnisse im Fall von Anis Amri."
"18"," Deshalb ist es unzweifelhaft notwendig, dass wir uns Gedanken machen, wie wir zu einer verbesserten Arbeitsweise der Sicherheitsbehörden kommen können."
"19"," Ich denke, dass wir vor allem eine Reform der inneren Strukturen und der Kommunikationswege in der Polizei und mit ihren Partnern benötigen."
"20","Am Anfang einer solchen Reform muss aus Sicht der Linken die Erkenntnis stehen, dass Fehler gemacht wurden, und es muss der ernsthafte Wille vorhanden sein, aus diesen Fehlern zu lernen."
"21"," Und da, meine Damen und Herren, bin ich doch sehr verwundert über die bei den Behörden vorherrschende Wagenburgmentalität, mit der wir immer wieder kon Dr."
"22"," André Hahnfrontiert sind."
"23"," Es ist ein Unding, dass zahlreiche Sachverhalte auch zwei Jahre nach dem Anschlag auf dem Breitscheidplatz immer noch nicht vollständig aufgeklärt sind."
"24"," Für die Hinterbliebenen der Opfer und die Verletzten des Anschlags ist dies ein unhaltbarer Zustand."
"25"," Hier muss die Bundesregierung endlich liefern."
"26"," Ich war als Mitglied des Parlamentarischen Kontrollgremiums für die Geheimdienste gestern Nachmittag im Bundesinnenministerium, um die beim Militärischen Abschirmdienst und beim Bundesamt für Verfassungsschutz vorliegenden Akten zu möglicherweise existierenden rechtsextremen gewaltbereiten Netzwerken in der Bundeswehr sowie in anderen Sicherheitsbehörden durchzusehen."
"27"," Ich selbst hatte dazu mehrfach parlamentarische Anfragen gestellt, auch in der Fragestunde die Bundeskanzlerin damit konfrontiert."
"28"," Sie erklärte, davon nichts zu wissen, und der Verfassungsschutz behauptete, dazu keine relevanten Erkenntnisse zu haben."
"29","Gestern im Innenministerium kam ich in einen Raum mit über 60 Aktenordnern zu diesem Thema, für deren Studium ich Wochen, wenn nicht Monate bräuchte, zumindest dann, wenn uns Oppositionsfraktionen nicht die Möglichkeit eingeräumt wird, dass auch unsere sicherheitsüberprüften Mitarbeiter diese Akten lesen und uns zuarbeiten können."
"30"," Aber es stellt sich natürlich grundsätzlich die Frage, wie es sein kann, dass die Bundesregierung seit Monaten behauptet, keine Kenntnis von rechtsextremen Netzwerken in der Bundeswehr und in anderen Sicherheitsbehörden zu haben, wenn die eigenen Dienste bereits Tausende Seiten dazu zusammengetragen haben."
"31"," Es ist völlig inakzeptabel, wie man hier mit dem Parlament umgeht."
"32"," Kein Zweifel, die Regierung muss endlich ein deutlich stärkeres Engagement bei der Aufklärung an den Tag legen."
"33"," Vor allem sollte sie nicht länger diejenigen behindern, die zum Beispiel in Untersuchungsausschüssen herausfinden wollen, was tatsächlich schiefgelaufen ist."
"34"," Es ist ein dunkles Kapitel deutschen Behördenversagens, das dort ans Licht kommt."
"35"," Die Bundesregierung blockiert bis heute, auch im Amri-Untersuchungsausschuss, wo sie kann:"
"36"," Akten werden verweigert, Seiten werden geschwärzt, und zu Befragungen kommen Zeugen, die nichts zu sagen haben."
"37"," Linke, FDP und Grüne müssen vor dem Bundesverfassungsgericht klagen, weil die Bundesregierung sich weigert, die Befragung von V-Mann-Führern zuzulassen."
"38"," Das ist mit Sicherheit die falsche Lehre aus den Fehlern im Zusammenhang mit dem Attentat."
"39"," Die FDP-Fraktion möchte, dass die Zuständigkeiten zwischen den Polizeibehörden des Bundes und der Länder neu geregelt werden."
"40"," Der Antrag verkennt jedoch, dass diese bereits klar festgelegt sind:"
