"","V1"
"1",""
"2"," Danke sehr."
"3"," — Die nächste Frage stellt Thomas Ehrhorn, AfD."
"4","Thomas Ehrhorn:"
"5","Vielen Dank, Herr Präsident."
"6"," — Frau Ministerin, meine Frage betrifft den Bereich Verfassungsschutz, also Inneres."
"7"," Es geht um das Gutachten des Bundesamtes für Verfassungsschutz vom 15."
"8"," Januar 2019 zur AfD, welches als Verschlusssache eingestuft wurde."
"9"," Dieses Gutachten enthält eine umfassende Sammlung personenbezogener Daten."
"10"," Der AfD selbst wurde dieses Gutachten bis heute nicht herausgegeben."
"11"," Dennoch zitierten schon unmittelbar nach dem 15."
"12"," Januar 2019 die Medien daraus, zum Beispiel „Der Tagesspiegel“."
"13"," Inzwischen scheint es so zu sein, dass auf der Internetseite „Netzpolitik."
"14","org‘“ dieses Gutachten jedem frei zugänglich ist."
"15"," Deswegen stelle ich meine Frage."
"16","Man kann natürlich nun sehr guten Willens sein und davon ausgehen, dass dieses Gutachten nicht absichtsvoll gestreut wurde, um der Partei AfD zu schaden und diese zu diskreditieren."
"17","Präsident Dr.
 Wolfgang "
