"","V1"
"1",""
"2"," Nachfrage?Dr."
"3"," Christian Jung:"
"4","Sehen Sie die Möglichkeit, dass man diese Stellen besetzen kann? Denn im Logistikbereich stehen auch andere Anbieter vor großen Herausforderungen bei der Rekrutierung von Fachpersonal."
"5"," Es wäre wirklich tragisch, wenn unser Sorgenkind DB Cargo — Sie sprechen nachher noch mit Herrn Dr."
"6"," Lutz darüber — vielleicht zusammenkracht, weil man die Rekrutierungsstrategie nicht verwirklichen kann."
"7","Enak Ferlemann, Parl."
"8"," Staatssekretär beim Bundesminister für Verkehr und digitale Infrastruktur:"
"9","Sehr geehrter Herr Kollege, zusammenkrachen wird die DB Cargo nicht, sondern sie wird ihre Aufgabe weiterhin erfüllen."
"10"," Aber es ist richtig:"
"11"," Wenn wir wirtschaftlicher werden und mehr Angebot bringen wollen, brauchen wir mehr Personal."
"12"," Dem dienen die zusätzlichen Lokführerstellen."
"13","Es ist richtig, was Sie gesagt haben — gar keine Frage -, nämlich dass wir in Konkurrenz zu allen möglichen anderen Logistikbetreibern stehen."
"14"," Im Wesentlichen ist es ein Wettbewerb um junge Menschen, die wir für diese Branche gewinnen wollen."
"15"," Sie wissen, die DB AG hat eine große P gestartet mit,oS wie ich finde, zum Beispiel sehr gut aufgemachten Plakaten, um die jungen Leute auf die zukunftsfahigen Jobs hinzuweisen; denn das sind Jobs mit Zukunft, und das sind auch interessante Jobs."
"16"," Insofern hoffen wir, dass wir alle Stellen besetzen können."
"17"," Ob uns das gelingt, weiß man nicht; denn wir haben in Deutschland in der Tat einen Fachkräftemangel."
"18"," Den gibt es allerorten und leider auch in der Logistikwirtschaft.
Vizepräsident Thomas "
