"","V1"
"1",""
"2","Vielen Dank."
"3"," — Nächster Redner ist der Kollege Dr."
"4"," Michael Espendiller für die Fraktion der AfD."
"5"," Dr."
"6"," Michael Espendiller:"
"7","Sehr geehrter Herr Präsident! Sehr geehrte Damen und Herren! Liebe Zuschauer im Saal und vor den Bildschirmen! Es gibt so Tage in diesem Parlament, da weiß man nicht, auf welchen Unsinn welcher Fraktion man zuerst draufhauen soll."
"8"," Heute ist wieder so ein Tag."
"9"," Wir debattieren jetzt das Thema „Digitalisierung in der Bildung“."
"10"," Es liegen drei Anträge vor:"
"11"," von der Fraktion der Linken, der Grünen und der FDP."
"12","Dr."
"13"," Michael EspendillerFangen wir an bei den ganz Linken."
"14"," Offenbar waren Sie in Ihrem Fünfjahresplan in Sachen Antragsproduktion etwas unter dem Soll."
"15"," Glückwunsch! Sie haben einen lieblosen zweiseitigen Antrag geschrieben."
"16"," Das Wort ,,digital“ kommt da auch irgendwie ein bisschen drin vor."
"17"," Nattirlich kommt diffuse Kapitalismuskritik; Frau Kemmer hat das gerade schon erwähnt."
"18"," Danke, solche Anträge brauchen wir nicht."
"19"," Weg damit! Die Grünen spielen auch mit."
"20"," Sie bringen ihre Oldies „Ganztagsschule“, „Inklusion“ und „Integration“ unter."
"21"," Ihr Antrag ist nichts als Worthtlsenkompott, und Sie wollen mal eben Mehrausgaben im zweistelligen Milliardenbereich erreichen."
"22"," Aber Sie erwähnen in Ihrem Antrag mit keinem Wort, wo das Geld herkommen soll."
"23"," Sie wollen die Steuern dafür sicherlich erhöhen."
"24"," Das ist ein billiges Wahlkampfmanöver."
"25"," Auch damit können wir nichts anfangen."
"26"," Und dann wären da noch unsere Magenta-Sozialisten."
"27"," Ihr Antrag konnte immerhin zeigen, dass die Bundesregierung weder Ahnung von Bildung noch von Digitalisierung hat."
"28"," Die Sau, die Sie hier allerdings wieder durchs Dorf treiben, heißt „Digitalisierung first, Bedenken second“."
"29"," Sie betreiben die Digitalisierung um der Digitalisierung willen."
"30"," Sie machen in Ihrem Antrag aber einen schweren Fehler:"
"31"," Sie wollen nämlich rennen, bevor Sie überhaupt laufen können."
"32","Was meine ich damit? Immer wieder lesen und hören wir, dass Schulen, Universitäten und Ausbildungsbetriebe digitale Kompetenzen vermitteln müssen."
"33"," Aber was Sie alle in Ihrem Digitalisierungswahn vollkommen übersehen, sind die Bedürfnisse und Kenntnisse unserer Schüler."
"34"," Wir haben letzte Woche gehört, dass Schüler sich über eine allzu schwierig empfundene Mathe-Abiturprüfung beschwert und deswegen eine Onlinepetition gestartet haben."
"35"," — Ja, digitale Kompetenz."
"36"," — Traurig ist, dass in dieser Onlinepetition gegen die angeblich zu schwere Abiturprüfung massenweise Rechtschreibfehler enthalten waren."
"37"," Einige Tage später wandte sich dann die Deutsche Mathematiker-Vereinigung mit einem Forderungskatalog an die Politik."
"38"," Wesentlicher Inhalt:"
"39"," Der Mathematikunterricht an deutschen Schulen befähigt nicht mehr zum Studium in einem MINT-Fach oder in den Wirtschaftswissenschaften."
"40"," Merken Sie da was? Auf der einen Seite haben wir überforderte Abiturienten, auf der anderen Seite Studienanfänger, die für die Uni nicht mehr fit sind."
"41","Vorgestern schlug dann noch die Stiftung Handschrift Alarm, dass Kinder nicht mehr richtig schreiben können."
"42"," 51 Prozent der Jungen und 31 Prozent der Mädchen haben Probleme mit der Handschrift."
"43"," Zwei Drittel der Schüler bekommen nach 10 bis 15 Minuten sogar einen Schreibkrampf."
"44"," Und dann haben wir die Ausbildungsbetriebe, die seit langem beklagen, dass Lehrlinge weder richtig rechnen können noch fehlerfrei die deutsche Rechtschreibung beherrschen."
"45"," Werte Kollegen, in Ihren Anträgen lese ich von diesen Problemen rein gar nichts."
"46"," Ja, die Digitalisierung hat Potenzial."
"47"," Aber, liebe FDP, ich habe hier meine Bedenken."
"48"," Fakt ist doch:"
"49"," Bevor wir über digitale Kompetenzen reden, sollten wir erst einmal über den sicheren Erwerb von Grundkompetenzen reden."
"50"," Wenn unsere Schüler nicht fehlerfrei rechnen und schreiben können, was wollen sie dann mit Tablets, digitalen Lernmitteln und Plattformen? Wir sind in Deutschland lange Zeit dem Humboldt’schen Bildungsideal gefolgt."
"51"," Aus unseren Kindern sollen mündige und aufgeklärte Menschen werden."
"52"," Durch den Gebrauch der Vernunft sollen sie lernen, eigenständig zu denken und unabhängig zu werden."
"53"," Und am Ende sollen sie selbstbestimmt und frei über ihren Lebensweg entscheiden können."
"54"," Humboldt war überzeugt, dass die Schule dem Menschen das Rüstzeug hierfür mitgeben muss; aber das machen wir in letzter Zeit immer weniger."
"55"," Ich befürchte, dass wir mit einer allzu stark betriebenen Digitalisierung blind unsere alten erfolgreichen Bildungsideale über Bord werfen."
"56"," Wir konzentrieren uns zu sehr auf Tablets und Apps."
"57"," Am Ende landen wir in einer Gesellschaft, wo das Smartphone smarter ist als der Benutzer."
"58"," Dr."
"59"," Michael EspendillerJa, die Digitalisierung findet statt, und das ist auch gut so."
"60"," Aber wir haben hier Bedenken."
"61"," Lassen Sie uns zunächst einmal den ersten Digitalpakt mit Leben füllen, bevor wir unter dem Deckmantel der Digitalisierung unser restliches Bildungssystem gänzlich in Schutt und Asche legen."
"62"," Unsere Kinder sind keine x-beliebigen Experimentiermasse."
"63"," Bedenken und Vorsicht sind hier durchaus angebracht."
"64","Herzlichen Dank.
Vizepräsident Thomas "
