"","V1"
"1",""
"2","Vielen Dank, Frau Müntefering."
"3"," — Dazu eine Rückfrage von Herrn Dr."
"4"," Hoffmann von der FDP."
"5","Dr."
"6"," Christoph Hoffmann:"
"7","Frau Müntefering, Sie sprachen gerade von der juristischen Aufarbeitung der Handlungen der IS-Schergen gegen die Jesiden im Nordirak und in Syrien."
"8"," Die Kurden haben den Vorschlag gemacht, die noch von Kurden gefangen gehaltenen IS-Kämpfer vor ein UN-Tribunal zu stellen."
"9"," Was meinen Sie dazu?Michelle Müntefering, Staatsministerin im Auswärtigen Amt:"
"10","Ich würde das gerne im Rahmen der nächsten Frage beantworten."
"11"," Wir haben eine weitere Frage zu diesem Thema.
Vizepräsidentin Claudia "
