"","V1"
"1",""
"2","Danke sehr."
"3"," — Liebe Kolleginnen und Kollegen, ich lasse jetzt noch je eine Frage aus der AfD und der FDP zu."
"4"," Dann beenden wir die Regierungsbefragung."
"5","Damit hat Wilhelm von Gottberg die nächste Frage."
"6","Wilhelm von Gottberg:"
"7","Frau Ministerin, eine Frage zu Ihrem Ressort:"
"8"," Inwieweit wird die Bundesregierung hinsichtlich der aktuellen Prognosen, nach welchen die zur Auszahlung der Dürrehilfe benötigten Gelder in einigen Bundesländern nicht ausreichen, den Finanzierungsbedarf aus anderen Mitteln decken? Und die Zusatzfrage:"
"9"," Können wir damit rechnen, dass mindestens 50 Prozent des angemeldeten Schadens auch ausgeglichen werden? — Danke."
"10","Julia Klöckner, Bundesministerin für Ernährung und Landwirtschaft:"
"11","Das Besondere an Prognosen ist, dass sie in die Zukunft gerichtet sind."
"12"," Deshalb kann ich Ihnen nichts zur Verlässlichkeit von Prognosen sagen."
"13"," Ich beziehe mich auf Daten und Fakten."
"14"," Es war auch gut, dass ich mich im vergangenen Sommer nicht auf die Prognosen verlassen habe, wonach man mehrere Milliarden Euro brauchte, sondern auf die Ernteergebnisse."
"15"," Diese waren die Grundlage meiner Entscheidung."
"16"," Auf dieser Grundlage haben wir nach einem gewissen Schlüssel und bestimmten Kriterien die Gelder für die Länder vorgesehen, die Bedarf angemeldet hatten."
"17"," Die Kriterien sind, dass der Verlust über 30 Prozent beträgt und dass dann 50 Prozent ersetzt werden, und zwar unter der Bedingung, dass der betreffende Betrieb existenzgefährdet ist."
"18"," Bisher liegen wir bei den Anträgen bei dem Plafond, den wir vorausgesagt hatten."
"19"," Eine genaue Abrechnung wird es geben, wenn sie möglich ist."
"20"," Dann werden wir Sie gerne informieren."
"21","Präsident Dr.
 Wolfgang "
