"","V1"
"1",""
"2"," Danke sehr."
"3"," — Bernhard Daldrup, SPD, stellt die nächste Frage."
"4","Bernhard Daldrup:"
"5","Frau Bundeskanzlerin, wir sind bei der Grundsteuerreform zum gegenwärtigen Zeitpunkt auf der Zielgeraden und haben nach jahrzehntelangen Diskussionen die Chance, nun ein neues Grundsteuerrecht zu verabschieden."
"6"," Deswegen würde ich gerne wissen, ob Sie meine Auffassung teilen, dass es angesichts der Bedeutung der Grundsteuer für die Kommunen in Deutschland und der Verpflichtung des Bundes, für gleichwertige Lebensverhältnisse in Deutschland zu sorgen, auch weiterhin ein in Gesamtdeutschland geltendes einheitliches Grundsteuerrecht gelten sollte."
"7"," Oder sind Sie eher der Auffassung, dass es eine Öffnungsklausel und damit sozusagen eine unglaubliche Differenzierung des Grundsteuerrechtes in Deutschland geben sollte?Dr."
"8"," Angela Merkel, Bundeskanzlerin:"
"9"," Ich habe durchaus Sympathie für die Vorschläge meiner Fraktion, dass man auch Abweichungen ermöglichen sollte."
"10"," Der Bundesfinanzminister betrachtet das ja auch und bewertet das auch."
"11"," Wichtig ist, dass wir dann zu einer gemeinsamen Regelung kommen."
"12"," Präsident Dr.
 Wolfgang "
