"","V1"
"1",""
"2","Vielen Dank, Frau Kollegin Keul."
"3"," — Als nächster Redner hat das Wort der Kollege Dr."
"4"," Johann Wadephul, CDU/ CSU-Fraktion."
"5"," Dr."
"6"," Johann David Wadephul:"
"7","Lieber Herr Präsident! Meine Kolleginnen und Kollegen! Ich möchte zunächst der Bundesministerin für Verteidigung sehr herzlich gratulieren."
"8"," Sie hat ja in schwierigen Zeiten das Amt übernommen, und das ist von mancher kritischen Nachfrage begleitet gewesen, die sicherlich im damaligen Kontext auch gerechtfertigt gewesen ist."
"9"," Aber wir haben eine Ministerin erlebt, die sich dieser Aufgabe voll und ganz angenommen hat, die bei den Soldatinnen und Soldaten ankommt, weil sie merken, dass diese Frau persönlich für die Soldatinnen und Soldaten und für zivile Beschäftigte engagiert ist und mutig sicherheitspolitische Diskussionen in Deutschland anführt."
"10"," Deswegen, Frau Ministerin, herzlichen Glückwunsch! Das war ein guter Auftakt in diesem neuen Amt."
"11"," Das hat der Bundesregierung und das hat vor allen Dingen der Bundeswehr unseres Landes sehr gutgetan."
"12","Wir diskutieren heute tiber die Finanzen."
"13"," Die Finanzausstattung der Bundeswehr richtet sich nattirlich nach den Anforderungen, denen sie sich zur Verteidigung unseres Landes gegenübersieht, nicht nach irgendwelchen abstrakten Zahlen oder Zusagen — so wichtig sie auch sind —, die wir im internationalen Rahmen gemacht haben."
"14"," Da gibt es ganz neue Herausforderungen."
"15","Herr Lucassen, in der heutigen Zeit ist natürlich die Frage des Frontstaates nicht mehr wie in den 80er-Jahren zu beantworten."
"16"," Was den Cyberraum angeht, muss man sich die Frage stellen, wer denn eigentlich Frontstaat und wer rückwärtiger Raum ist."
"17"," Diese klassischen Fragestellungen bilden nur noch einen Teil der sicherheitspolitischen Herausforderung ab."
"18"," Die Vereinigten Staaten von Amerika richten ein neues Kommando für den Weltraum ein."
"19"," Auch da kommen wir mit dem Bild von Frontstaat und rückwärtigem Raum nicht mehr weiter."
"20"," Es gibt ganz neue Herausforderungen."
"21"," Die Bundesregierung in ihrer Gesamtheit hat mit dem Weißbuch darauf reagiert und natürlich auch auf das feindliche Verhalten Russlands mit der Annexion der Krim und der im Übrigen andauernden Intervention in der Ostukraine."
"22"," Daraus ist die Konzeption der Bundeswehr und daraus ist das Fähigkeitsprofil der Bundeswehr entwickelt worden."
"23","Meine liebe Kolleginnen und Kollegen, ich erwarte von allen Kollegen, auch von denen der Opposition, die hier über Finanzmittel streiten und die behaupten, es sei zu viel Geld, oder die erklären, wie die Grünen, sie würden den Verteidigungsetat nicht mittragen — das muss ich hier wirklich kritisieren —:"
"24"," Schauen Sie sich das Fähigkeitsprofil der Bundeswehr an! Wenn wir bis 2023 ein Brigadeäquivalent und einen gemischten Einsatzverband „Luft“ — nur um zwei wichtige Beispiele zu nennen — haben wollen, wenn wir die Digitalisierung schaffen wollen, dann brauchen wir dringend diese Verstärkung der Mittel im Verteidigungsetat."
"25"," Darauf ist die Bundeswehr dringend angewiesen."
"26"," Das sind nicht irgendwelche Luftbuchungen, sondern das sind konkrete Ausplanungen."
"27","Das muss ich auch dazusagen, Herr Kollege Lindner:"
"28"," Man kann nicht auf der einen Seite sagen, da bleibe ja Geld liegen, das könne nicht richtig ausgegeben werden, und auf der anderen Seite dann wieder Beschaffungsvorhaben nicht transparent ausgestalten wollen oder wie die Kollegin Keul hier sagen, es seien alles überflüssige Beraterverträge."
"29"," So platt kann man das Thema nicht erledigen."
"30"," Natürlich müssen wir Beraterverträge hinterfragen, aber es gibt viele wichtige, notwendige Beratungen, die die Bundeswehr in Anspruch nimmt,Dr."
"31"," Johann David Wadephuldie sie gerade braucht, um auf Augenhöhe mit der Industrie Verträge zu verhandeln und Beschaffungsvorhaben durchzuführen."
"32"," Da gibt es auch viele ganz, ganz notwendige Beraterverträge."
"33"," Was wirklich nicht geht, ist, auf der einen Seite von uns zu verlangen, dass es ein rechtsstaatliches, kompliziertes Beschaffungsverfahren gibt — und wenn da irgendwas schiefgeht, gibt es gleich einen Untersuchungsausschuss —, und auf der anderen Seite zu beklagen, dass Geld liegen bleibt."
"34"," Diese Rechnung geht nicht auf, und das lassen wir Ihnen nicht durchgehen."
"35","Ein weiterer Punkt ist:"
"36"," Wenn hier beklagt wird, dass die Einsatzbereitschaft nicht hinreichend hoch ist, dann muss man eben in der Tat dazusagen:"
"37"," Auch dazu braucht die Bundeswehr mehr Geld."
