"","V1"
"1",""
"2"," Vielen Dank, Herr Bundesminister."
"3"," — Für die AfD hat jetzt das Wort der Kollege Markus Frohnmaier."
"4"," Markus Frohnmaier:"
"5","Herr Präsident! Meine Damen und Herren! 3 Billionen US-Dollar flossen seit den 60er-Jahren als Entwicklungshilfe in die gesamte Welt."
"6"," 2 Billionen davon gingen alleine nach Afrika."
"7"," Das Resultat:"
"8"," Das Geld ist versickert, die Schweiz ist die größte Bank Afrikas."
"9","Die neuen afrikanischen Eliten investieren lieber in westliche Luxuslimousinen, aber nicht in das Wohlergehen ihrer Volker."
"10","Und lernt die Bundesregierung daraus? Nein."
"11"," Ihre Politik ist die Politik eines Süchtigen."
"12"," Sie sind süchtig danach, die Schuld der gesamten Welt auf die Schultern der Industriestaaten zu laden als Buße für die drei Ks, die drei Säulen der weißen Schuld:"
"13"," Kolonialismus, Kapitalismus und — neuerdings — Klimawandel."
"14"," Herr Müller und seine Heerscharen von Helfern sind süchtig danach, die Welt zu vergewohltätigen."
"15"," Dabei wird die größte Herausforderung unserer Zeit von Ihnen völlig ausgeblendet."
"16"," Bis 2050 wird sich die Bevölkerung in Afrika auf 2,5 Milliarden Menschen verdoppeln."
"17"," Und was machen Sie? Sie überweisen lieber Steuergeld für Solarzellen auf marokkanischen Moscheen."
"18"," Schon heute gelten zwei Drittel der 1,3 Milliarden Afrikaner als ausreisewillig."
"19"," Wo sind denn Greta Thunberg, Hannah Blitz, Nike Mahlhaus und die ganzen anderen weißen privilegierten Fräuleins von Fridays for Future, um auf die Folgen für den Planeten und die Umwelt hinzuweisen? Wo ist Frau Merkel, die sagt:"
"20"," „Wenn ihr weiter ungebremst Kinder produziert, sprengt ihr euren Kontinent in die Luft“? Lieber verspricht die Kanzlerin 1 Milliarde Euro Steuergeld an Indien."
"21"," Indien, Wirtschaftsgigant; Indien, die Atommacht; Indien, mit eigenem Raumfahrtprogramm."
"22"," Die Kollegen von der CDU/CSU haben auch eines, aber das von Indien ist etwas ernstzunehmender."
"23"," Der deutsche Steuerzahler darf jetzt also in Indien solarbetriebene Metrostationen und batteriebetriebene Rikschas finanzieren, wie uns die Medien in den letzten zwei Wochen über das, was Merkel dort an deutschem Steuergeld versprochen hat, berichtet haben."
"24","In meiner Heimatgemeinde — vorhin wurde über Schulen gesprochen — hat man kein Geld für die Sanierung eines Grundschulgebäudes."
"25"," Es regnet oben zum Dach rein."
"26"," Sie schicken Geld nach Indien, während in Deutschland auch im Winter dieses Jahres 300 000 Familien der Strom abgedreht wird."
"27"," Meine Damen und Herren, das ist soziale Perversion."
"28"," Deshalb wollen wir 4 Milliarden Euro in Ihrem Etat, Herr Müller, einsparen."
"29"," Geld, das in Deutschland gebraucht wird."
"30"," Geld, das hier investiert werden muss."
"31"," Geld, dashlbei unserem Bürger hier in Deut mussMarkus Frohnmaier Vielen Dank."
"32"," Vizepräsident Dr.
 Hans-Peter "
