"","V1"
"1",""
"2"," Nächster Redner ist der Kollege Marc Bernhard, AfD."
"3"," Marc Bernhard:"
"4","Herr Präsident! Sehr geehrte Kollegen! Ihre Klimahysterie wirkt, und zwar extrem negativ auf unser soziales Klima in Deutschland."
"5","Unsere Automobilindustrie ist das erste Opfer Ihrer verantwortungslosen grünen Wahnsinnspolitik."
"6"," Mit der Verteufelung des Autos zerstören Sie Hunderttausende von Arbeitsplätzen in Deutschland."
"7"," Die direkte Folge Ihrer Politik ist, dass internationale Konzerne wie Daimler, von Ihnen bejubelt und beklatscht, ankündigen, in Zukunft in Deutschland CO ,-neutral produzieren zu wollen."
"8"," Und was ist die einfachste Méglichkeit, CO2neutral zu produzieren? — Das Werk in Deutschland zu schließen und in China wiederzueröffnen."
"9"," Dort kann Daimler dank Ihres Pariser Klimaabkommens bis 2030 völlig unbegrenzt CO; ausstoßen, die Mitarbeiter hier entlassen und dort zu einem Viertel der Kosten neue einstellen."
"10","Die Meldungen über Firmenschließungen und Stellenabbau überschlagen sich:"
"11"," Daimler 10 000, Bosch 15 000, VW 19 000, Conti 20 000, um nur einige wenige zu nennen."
"12"," Insgesamt stehen eine ganze Großstadt und die Existenz vieler Tausender Familien auf der Kündigungsliste Ihrer verantwortungslosen Politik."
"13"," Durch Ihre vermurkste Energiewende haben wir die höchsten Energiepreise in Europa."
"14"," Bis 2025 wird jede deutsche Familie insgesamt rund 25 000 Euro allein für diesen Irrsinn bezahlt haben."
"15"," Und was macht die Regierung? — Sie rennt in panikartigem, blindem Aktionismus einem 16-jährigen Schulmädchen hinterher."
"16"," Selbst der Bundesrechnungshof urteilt über Ihr Klimapaket - wörtlich -:"
"17"," „Nachteile für Geringverdiener“, „Belastung für Rentner“, „ungerecht“ und „unsozial“."
"18"," Der Mieterbund rechnet für einen durchschnittlichen Haushalt mit einer Mieterhöhung von 200 Euro pro Monat und zusätzlich einer Steigerung der Heizkosten um mehr als 20 Prozent."
"19","Ihr Mogelpaket für die Menschen erhebt Steuern für alles, aber wirklich für alles:"
"20"," fürs Arbeiten, fürs Wohnen, fürs Essen und sogar fürs Atmen, denn fast 10 Prozent des menschengemachten CO; entsteht nur durch das Atmen."
"21"," Sie spielen hier den Weltenretter, versagen aber im eigenen Land in jedem Bereich:"
"22"," innere Sicherheit, Migration, Rente, Bundeswehr und Wohnungsnot."
"23"," Retten Sie doch erst mal Deutschland, indem Sie endlich zurücktreten! Präsident Dr.
 Wolfgang "
