"","V1"
"1",""
"2","Guten Morgen, liebe Kolleginnen und Kollegen! Bitte nehmen Sie Platz."
"3"," Die Sitzung ist eröffnet."
"4","Ich rufe den Tagesordnungspunkt 21 auf:"
"5"," Vereinbarte Debatte Internationaler FrauentagNach einer interfraktionellen Vereinbarung sind für die Aussprache 60 Minuten vorgesehen."
"6"," — Ich höre keinen Widerspruch."
"7"," Dann ist das so beschlossen."
"8","Ich eröffne die Aussprache und erteile das Wort für die Bundesregierung der Bundesministerin Dr."
"9"," Giffey."
"10"," Dr."
"11"," Franziska Giffey, Bundesministerin für Familie, Senioren, Frauen und Jugend:"
"12","Sehr geehrter Herr Präsident! Meine sehr verehrten Damen und Herren! Vor 100 Jahren wurden 37 Frauen als Abgeordnete in die Nationalversammlung gewählt."
"13"," Das war ein Anteil von 8,7 Prozent."
"14"," Heute liegt der Frauenanteil bei 30,7 Prozent."
"15"," Wenn es in diesem Tempo weitergeht, dann brauchen wir bei 22 Prozentpunkten in 100 Jahren weitere 100 Jahre bis zur Parität."
"16"," Ich muss Ihnen sagen:"
"17"," Mir dauert das, ehrlich gesagt, ein bisschen zu lange."
"18"," Deshalb finde ich es richtig, dass jetzt ein bisschen Bewegung in die Sache kommt und Frauen aus den Fraktionen der SPD, der CDU/CSU, der Grünen, der Linken und der FDP sich zu einer Initiative zusammenschließen, die für etwas eintritt, was eigentlich logisch ist, nämlich dass, wenn 50 Prozent der Bevölkerung aus Frauen bestehen, dann auch 50 Prozent der Volksvertretung aus Frauen bestehen sollte."
"19"," 9."
"20","00 UhrDas ist eine gute Initiative, und ich möchte Sie ausdrücklich dabei unterstützen."
"21"," Es geht um viele Themen."
"22"," Wir haben am nächsten Montag den Equal Pay Day, den Tag, an dem, immer wieder aufs Neue, seit mehreren Jahren daran erinnert wird, dass wir eben keine Lohngerechtigkeit von Männern und Frauen haben."
"23"," Die Lohnlücke liegt bei 21 Prozent und die daraus folgende Rentenlücke bei 53 Prozent."
"24"," Das ist nicht akzeptabel."
"25"," Deshalb ist es gut, wenn für die gleiche Bezahlung von Männern und Frauen gestritten wird und dafür, dass die sozialen Berufe aufgewertet werden."
"26"," 80 Prozent derjenigen, die in sozialen Berufen arbeiten, sind Frauen."
"27"," Wenn das Gehalt nicht stimmt, gibt es eben weniger Männer, die in diese Berufe gehen."
"28"," Wenn wir wollen, dass sich das ändert, dann müssen wir die sozialen Berufe aufwerten."
"29"," Es geht aber genauso um die Frage von Frauen in Führungspositionen."
"30"," Nach wie vor gibt es da einen erheblichen Unterschied."
"31"," Seit das Gesetz für die gleichberechtigte Teilhabe von Frauen und Männern an Führungspositionen gilt, finden Unternehmen qualifizierte Frauen für die Aufsichtsräte; es sind immerhin 31 Prozent."
"32"," Die feste Quote wirkt."
"33"," In den Vorständen sieht es ganz anders aus."
"34"," Da sehen wir 94 Prozent Männer und 6 Prozent Frauen."
"35"," Es wäre schön, wenn dies anders wäre."
"36"," Wir haben mehr Thomasse und Michaels in den Vorständen der deutschen Unternehmen als Frauen."
"37"," Das ist schon bemerkenswert."
"38"," Die Frage ist:"
"39"," Wie kann man das ändern? Es geht darum, dass wir eben nicht nur unverbindliche Empfehlungen aussprechen, sondern auch sagen:"
"40"," Unternehmen, die sich nicht auf den Weg machen und eine Zielgröße 0 für Frauen in Vorständen nicht einmal begründen, müssen vielleicht auch mal damit rechnen, dass es dafür eine Sanktion gibt."
"41"," Da sind wir dran; das werden wir entsprechend auf den Weg bringen."
"42","Bundesministerin Dr."
"43"," Franziska GiffeyWenn wir über die Chancen von Frauen, in Führungspositionen zu kommen, sprechen, ist mir wichtig, auch darüber zu reden, wie Familie und Beruf miteinander zu vereinbaren sind."
"44"," Es geht hier um das Thema Vereinbarkeit."
"45"," Es geht um Rollenbilder und auch um die Frage, wie die Kinderbetreuung partnerschaftlich aufgeteilt werden kann und wie die Vereinbarkeit von Pflege und Beruf möglich ist."
"46"," Da wollen wir etwas tun."
"47"," Wir haben mit dem Gute-Kita-Gesetz, mit der Stärkung der Kinderbetreuung entscheidende Schritte gemacht, um überhaupt zu ermöglichen, dass Frauen Familie und Beruf miteinander vereinbaren können."
"48"," Das ist die Voraussetzung dafür, dass sie einen gleichberechtigten Weg und gleichberechtigte Bezahlung erreichen können."
"49"," Ein letztes Thema, das mir sehr wichtig ist:"
"50"," Wir dürfen nicht nur über Frauen in Führungspositionen reden."
"51"," Wir müssen auch über die Frauen reden, die sich in einer schwierigen Lage befinden."
"52"," Dazu gehören vor allen Dingen diejenigen, die von häuslicher Gewalt, von Zwangsheirat, von Zwangsprostitution, vielleicht sogar von Menschenhandel betroffen sind."
"53"," Das sind genauso frauenpolitische Themen."
"54"," Deshalb ist es richtig, dass wir als Bundesregierung in diesem Jahr das Aktionsprogramm gegen Gewalt an Frauen starten."
"55"," Denn Frauen, die sich in einer solchen Lage befinden, können eben nicht gleichberechtigt am gesellschaftlichen Leben und auch nicht am Arbeitsleben teilhaben."
"56"," Deswegen müssen wir uns dafür starkmachen."
"57"," Unser Leitsatz im Frauenministerium ist:"
"58"," Frauen können alles, und da, wo sie es noch nicht können, müssen wir dafür sorgen, dass sie es können."
"59"," Wir müssen die Rahmenbedingungen schaffen."
"60"," Die Geschichte lehrt, dass Frauenrechte niemals vom Himmel fallen."
"61"," Sie sind nie von allein gekommen."
"62"," Sie sind immer erkämpft worden."
"63"," Wenn wir heute 100 Prozent Gleichstellung wollen, dann müssen wir auch etwas dafür tun."
"64"," Unverbindliche Empfehlungen reichen nicht."
"65"," Ich finde es supergut, dass so viele in diesem Parlament genau für diese Themen streiten, dass sie für bessere Löhne, für bessere Aufstiegschancen, für mehr Frauen in Parlamenten und für die Vereinbarkeit von Familie und Beruf kämpfen."
"66"," Dafür eine herzliche Ermutigung von meiner Seite!Vielen Dank."
"67"," Präsident Dr.
 Wolfgang "
