"","V1"
"1",""
"2","Vielen Dank."
"3"," — Nächste Rednerin ist die Kollegen Katrin Helling-Plahr für die Fraktion der FDP."
"4","Katrin Helling-Plahr:"
"5","Sehr geehrter Herr Präsident! Meine Damen und Herren! Die Wertgrenze in Höhe von 20 000 Euro für Nichtzulassungsbeschwerden zum Bundegerichtshof lehnen wir ab."
"6"," Die Bedeutung einer Rechtssache ist nicht allein durch den wirtschaftlichen Wert determiniert oder durch diesen limitiert."
"7"," Wir sollten die Möglichkeit zu Nichtzulassungsbeschwerden vielmehr auch vor dem Hintergrund der meist herausragenden Wichtigkeit der Entscheidungen für die Beteiligten auch auf familiengerichtliche Verfahren ausweiten."
"8","Und trauen Sie sich endlich, die missglückte Regelung zur Möglichkeit der Zurückweisung von Berufungen durch Beschluss nach $ 522 Absatz 2 und 3 ZPO zu streichen, und eröffnen Sie den Parteien endlich wieder die Möglichkeit, stets mit dem Berufungsgericht zu kommunizieren."
"9"," Und, Herr Kollege Hoffmann, wenn Sie hier über angeblich hohe Hürden sprechen, dann werfen Sie doch mal einen Blick auf die Fallzahlen."
"10"," Auf die Zahlen der Fälle, in denen diese hohen Hürden tatsächlich fallen."
"11"," Und wenn Sie hier Sachverständige zitieren, dann werfen Sie mal einen Blick darauf, welche Perspektive die haben und wo die beruflich tätig sind."
"12"," Dann wird das Ganze vielleicht etwas klarer."
"13"," Die Streichung des $ 522 Absatz 2 und 3 ZPO ist längst überfällig."
"14"," Sogar die Präsidentin des BGH wäre damit zwischenzeitlich einverstanden."
"15","Aber Gelegenheit dazu, Ihnen, sehr geehrte Kollegen von der Großen Koalition, all das mitzugeben, hatte ich in dieser Wahlperiode eigentlich bereits genug."
"16"," Damit Ihnen und mir nicht langweilig wird, möchte ich gerne auf das Thema Digitalisierung eingehen, das Sie auch im Rahmen dieser ZPO-Reform wieder einmal komplett verschlafen."
"17","Unser Antrag „Zivilprozesse modernisieren — Für ein leistungs- und wettbewerbsfähiges Verfahrensrecht“ steht ja heute auch hier zur Debatte."
"18"," Sinn und Zweck der Justiz ist, den Bürgern zu dienen."
"19"," Dann muss sie aber auch niederschwellig zugänglich sein."
"20"," Dazu bietet Digitalisierung die Chance! Die rechtliche Möglichkeit, mündliche Verhandlungen mittels moderner Kommunikationsmethoden wie zum Beispiel Videostream durchzuführen, gibt es bereits."
"21"," Sie wird aber kaum genutzt, weil die Gerichte nicht über die entsprechende Technik verfügen."
"22"," Legen wir einen Digitalpakt für die Justiz auf und ändern das! Katrin Helling-PlahrWarum muss das Einreichen zum Beispiel von Klageschriften so kompliziert sein? Wieso trauen wir uns nicht zum Beispiel an einfache Onlineeingabemasken heran? Und schließlich:"
"23"," Warum schaffen wir nicht ein komplettes Onlineverfahren, das ermöglicht, geringwertige Forderungen niedrigschwellig, schnell und kostengünstig gerichtlich geltend zu machen? Der gesamte Verfahrensablauf, vom Eingang der Klageschrift bis zum Urteil, könnte elektronisch erfolgen."
"24"," Die Parteien könnten bei der Durchführung des Verfahrens zum Beispiel durch vorgefertigte Eingabemasken, über die die wesentlichen Verfahrensschritte durch Frage-Antwort-Systeme abgefragt werden, unterstützt werden."
"25","Hören Sie auf, die Debatten der Vergangenheit zu führen, und trauen Sie sich endlich an die Zukunft.
 Vizepräsident Thomas "
