"","V1"
"1",""
"2"," Frau Klöckner, erlauben Sie eine weitere Zwischenfrage oder -bemerkung von der FDP-Kollegin?Julia Klöckner, Bundesministerin für Ernährung und Landwirtschaft:"
"3"," Ja."
"4"," Carina Konrad:"
"5"," Vielen Dank, Frau Klöckner, dass Sie die Zwischenfrage zulassen."
"6"," Sie wissen, dass ich es liebe, wenn Sie die Probleme der Grünen benennen und die Widersprüche der grünen Partei in der Agrarpolitik aufzeigen."
"7"," Aber ich wundere mich schon, dass Sie es hier versäumen, die Widersprüche in der Agrarpolitik der Koalition aufzuzeigen."
"8"," Das Problem in dieser Koalition sind eben richt die Grünen, sondern das Problem ist die SPD, die mit ihrer Ministerin das Bundesumweltministerium besetzt und dort verantwortlich ist für genau die Punkte, die Sie eben genannt haben:"
"9"," für die Umsetzung der Düngeverordnung und dafür, ob neue Züchtungsmethoden in Deutschland zur Anwendung kommen oder nicht."
"10"," Ich würde mir wünschen, eine Antwort darauf zu bekommen, wie Sie diesen Zielkonflikt in der eigenen Regierung auflösen."
"11"," Julia Klöckner, Bundesministerin für Ernährung und Landwirtschaft:"
"12","Danke schön, Frau Konrad."
"13"," — Da Sie gerade bei den Widersprüchen der anderen sind, fange ich erst mal bei den Widersprüchen der FDP an."
"14","Bundesministerin Julia KlöcknerDas ist ja so wunderbar an der FDP:"
"15"," Sie sagen immer, Sie stehen an der Seite der Landwirte und sehen darin Ihre große Chance, versprechen aber wider besseres Wissen Dinge, die Sie so gar nicht umsetzen könnten."
"16"," Ich finde es hochinteressant, dass Sie just dort an die Wurzel gehen wollen, wo es unsere Landwirte am meisten trifft:"
"17"," wenn sie nämlich krank sind, alt sind oder Unfälle haben."
"18"," Für unsere landwirtschaftliche Sozialversicherung geben wir 4,1 Milliarden Euro."
"19"," Das will die FDP ändern."
"20"," Die FDP will diese abschaffen und in die übrige Sozialversicherung eingliedern."
"21"," Das würde massive Kosten verursachen."
"22"," Das ist für mich ein Widerspruch, den Sie erst mal auflösen müssen."
"23"," Kommen wir zu Ihrer grundsätzlichen Frage."
"24"," Darauf antworte ich sehr gerne und bedanke mich dafür sehr herzlich."
"25"," Dass wir einen Insektenrückgang haben, ist unbestritten."
"26"," Oder gehört die FDP auch bald zu denen, die Klimawandel leugnen und dann auch Insektenrückgang leugnen? Weiß ich jetzt nicht, ob das so ist."
"27"," Ich hatte den Eindruck - deshalb."
"28"," Wir haben einen Insektenrückgang."
"29"," Es gibt Bienen-Begehren in ganz Deutschland, so auch in den Bundesländern Baden-Württemberg und Bayern."
"30"," Deshalb werden wir ganz klar beziffern:"
"31"," Was kostet das? Es geht übrigens auch um die Frage:"
"32"," Wer ist am Insektenschwund noch schuld? Als Stichworte sind zu nennen:"
"33"," Lichtverschmutzung, die „Vorgärten des Grauens“, wo es nur Steine gibt, und die Versiegelung der Landschaft."
"34"," All das gehört dazu."
"35"," Ich freue mich, wenn sich Ihre FDP in Rheinland-Pfalz endlich auch mal darum kümmert und nicht nur darüber redet, Frau Konrad."
"36"," Ich möchte auf einen wichtigen Punkt zu sprechen kommen:"
"37"," das Ehrenamt."
"38"," Ich danke in diesem Zusammenhang meiner Fraktion; denn die CDU/CSU-Fraktion hat von Anfang an Wert darauf gelegt, dass das Ehrenamt das Herz des ländlichen Raumes ist."
"39"," Kein Buchstabe eines Gesetzes und kein Geldschein können das ersetzen, was Ehrenamtliche leisten."
"40"," Aber wir merken eines, nämlich dass immer weniger in Vereinen den Vorsitz übernehmen wollen, weil es zu bürokratisch ist, beispielsweise wegen der Datenschutz-Grundverordnung."
"41"," Viele andere rechtliche und finanzielle Fragen machen den Ehrenamtlern und den Vereinen Sorgen."
"42"," Deshalb bringen wir gemeinsam etwas auf den Weg, das es so noch nicht gegeben hat:"
"43"," Wir finanzieren über unser Programm BULE das Vorhaben „Hauptamt stärkt Ehrenamt“."
"44"," Warum? Damit Ehrenamt bleiben kann."
"45"," Mit einem Projekt in 18 Landkreisen zeigen wir, wie wir das in die Praxis überführen können."
"46"," Das ist Zukunft für den ländlichen Raum."
"47"," Liebe Kolleginnen und Kollegen, ich will mit dem Thema Ernährung enden."
"48"," Man könnte heute so vieles sagen."
"49"," Zielkonflikte sind da, aber man löst sie nicht, indem man sie liegen lässt."
"50"," Es kann nicht darum gehen, sich schnellen und billigen Applaus zu holen."
"51"," Vielmehr muss man zu einer Lösung kommen, damit die Landwirtschaft vor die Welle kommt und nicht in der Rechtfertigungsecke bleibt."
"52"," Hier braucht es Augenmaß und Unterstützung."
"53","Lassen Sie mich also abschließend einen Schwerpunkt im Bereich Ernährung ansprechen."
"54"," Wir wollen die gesunde Ernährung zur einfachen Ernährung machen."
"55"," Der Nutri-Score ist in Arbeit."
"56"," Die Reduktions- und Innovationsstrategie für weniger Zucker, Salz und Fette ist in Arbeit, wir kommen voran."
"57","Außerdem haben wir die älteren Menschen im Blick."
"58"," Sie liegen uns am Herzen; nicht nur die ersten 1 000 Tage im Leben von Neugeborenen."
"59"," Dass Ernährung und Demenzerkrankung miteinander zu tun haben, ist klar, aber es gibt noch viele Forschungslücken."
"60"," Unser Ministerium und ich als Ministerin gehen da rein, und wir erforschen das, um Menschen ein besseres Leben zu gewährleisten, um ihnen zur Seite zu stehen."
"61"," Das ist unsere Politik der Großen Koalition."
"62"," Das ist ein Haushalt der Zusage, der Zuversicht und der Perspektive."
"63","Herzlichen Dank.
Vizeprasidentin Claudia "
