"","V1"
"1",""
"2"," Andreas Schwarz, SPD, ist der nächste Redner."
"3"," Andreas Schwarz:"
"4","Sehr geehrter Herr Präsident! Liebe Kolleginnen und Kollegen! Meine sehr verehrten Damen und Herren! Ich muss feststellen:"
"5"," Der Haushalt ist wirklich so gut, dass die Opposition mittlerweile im Haushaltsmärchenland angekommen ist."
"6","Ich gehe als Berichterstatter für den Haushaltsplan 08 gerne auf das Zahlenwerk ein und beginne mit einem Zitat eines britischen Politikers, der sagte:"
"7"," „Regieren besteht im Festsetzen von Prioritäten."
"8","“ Prioritäten hat dieser Haushalt."
"9"," Es ist darin eine ganz klare Handschrift zu erkennen."
"10"," Wir steigern auch den Einzeletat des Bundesfinanzministeriums auf 8 Milliarden Euro."
"11"," Das ist gut angelegtes Geld."
"12","Ich verrate Ihnen mit Sicherheit kein Geheimnis, wenn ich Ihnen sage, was die Menschen in unserem Land von einer Finanzverwaltung wollen."
"13"," Sie wollen, dass Steuergerechtigkeit in diesem Land herrscht."
"14"," Das schaffen wir."
"15","Andreas SchwarzWie schaffen wir das? Wir schaffen das, indem wir zum Beispiel den Zoll starken."
"16"," Das ist ein Weg, den wir bereits seit einigen Jahren gemeinsam mit dem Finanzminister Olaf Scholz gehen."
"17"," Warum gehen wir diesen Weg? Der Zoll besorgt die Hälfte der Einnahmen des Bundeshaushalts."
"18"," Er bekommt immer mehr Aufgaben."
"19"," Damit ist es notwendig und auch Pflicht, den Zoll entscheidend mit Personal auszustatten."
"20"," Mehr als 5 000 Stellen haben wir geschaffen, um die Bedingungen für die Zollbeamtinnen und -beamten zu verbessern."
"21","Ich darf zwei Dinge festhalten:"
"22"," Erstens."
"23"," Dieser Weg ist zwar mit Sicherheit noch nicht zu Ende; aber unsere Richtung stimmt."
"24"," Das ist auch die Rückmeldung, die ich aus vielen Zollverwaltungen in der Republik bekomme."
"25"," Zweitens."
"26"," Mit dem Zoll kämpfen wir in Zukunft noch stärker gegen Schwarzarbeit, Sozialmissbrauch und illegale Beschäftigung."
"27"," Wir sorgen damit für ein großes Mehr an sozialer Gerechtigkeit, wie es dieser Haushalt auch insgesamt tut."
"28","Lieber Olaf Scholz, lieber ehrliche Steuerzahler in unserem Land, genau diesen Weg gehen wir konsequent weiter."
"29"," Mit der Taskforce gegen Steuergestaltungsmodelle am Kapitalmarkt kommt unser Finanzminister einer Forderung nach, die wir als SPD schon in der letzten Legislatur auf dem Schirm hatten."
"30"," Ich selbst war Obmann im Untersuchungsausschuss zu den Cum/Ex-Geschaften, die das Land mit Sicherheit erschüttert haben; denn der Fall hat gezeigt, welches kriminelle Gebaren es an den Finanzmärkten gibt."
"31","Eine Erkenntnis war für mich damals, dass wir eine Art Finanz-FBI in Deutschland brauchen, eine Spezialeinheit, die Betrügereien an den Finanzmärkten aufdeckt und so für eine schnellere Bestrafung sorgt, als dies bei Cum/Ex der Fall war."
"32"," Bis heute laufen Gerichtsverfahren, die die illegalen Machenschaften Stück für Stück aufklären und das Steuersubstrat wieder dem Steuerzahler zurückbringen."
"33"," Liebe ehrliche Steuerzahler in unserem Land, was wollen wir gemeinsam erreichen? Die kriminellen Akteure, die teilweise in Banken und Kapitalgesellschaften und auf Finanzmärkten unterwegs waren und auch noch sind, sollen zukünftig den kalten Atem des Bundesfinanzministeriums im Nacken spüren."
"34"," Damit, dass dies nun ,, Taskforce“ und nicht „Finanz-FBI“ heißt, kann man, glaube ich, leben."
"35"," Wichtig sind das Ziel und der Weg, den wir gemeinsam gehen."
"36"," Darin sind wir uns einig."
"37"," Klasse, dass wir das hinbekommen haben."
"38"," So gestaltet man eine gerechte Zukunft in unserem Land."
"39","Danke schön."
"40","Prasident Dr.
 Wolfgang "
