"","V1"
"1",""
"2","Vielen Dank, Herr Kollege."
"3"," — Als letzter Rednerin erteile ich das Wort der Kollegin Dr."
"4"," Astrid Mannes, CDU/ CSU-Fraktion, mit der Bitte an das Auditorium, die Gespräche einzustellen."
"5"," Von den Damen wäre es einfach nett, der Kollegin zuzuhören, von den Herren wäre es höflich."
"6"," Ich werde den einen oder anderen, den ich hier erkenne, nur einmal bitten, der Kollegin zuzuhören."
"7","Frau Kollegin, Sie haben das Wort."
"8","Dr."
"9"," Astrid Mannes:"
"10","Vielen Dank."
"11"," — Sehr geehrter Herr Präsident! Meine Damen und Herren! Die Behörde für Staatssicherheit in der DDR war ab 1950 ein selbstständiges Ministerium, über das von der Stasi die Überwachung, Kontrolle, Beeinflussung, Gängelung und Unterwanderung der DDR-Bevölkerung organisiert wurde."
"12","In den 1980er-Jahren waren über 100 000 hauptamtliche und rund 600 000 inoffizielle Mitarbeiter für die Stasi tätig."
"13"," Angelegt wurden 40 Millionen Karteikarten und Akten."
"14"," Es geht aber heute nur indirekt um diese Karteikarten."
"15"," Vielmehr geht es um die persönlichen Schicksale, die mit diesen Karten verbunden sind."
"16"," Diese oft quälenden Fragen, die sich so viele DDR-Bürger stellten und zum Teil immer noch stellen:"
"17"," Wurde ich auch bespitzelt? Was hat man über mich gewusst und ausspioniert? Wie weit ist man in meine Privatsphäre eingedrungen? Wer hat mich bespitzelt? Wurde ich auch von Freunden oder gar von Familienmitgliedern ausgehorcht?Wir feiern in diesem Jahr 30 Jahre Friedliche Revolution, und es gehört unzweifelhaft zu den großartigen Momenten jener Tage, dass Menschen durch überaus mutiges und beherztes Eingreifen viele Stasiakten vor der Vernichtung bewahren konnten."
"18"," Wir erleben auch 30 Jah Dr."
"19"," Astrid Mannesre nach dem Mauerfall immer noch ein sehr grofes Interesse und große Nachfrage nach den Stasiakten."
"20"," Noch immer bitten viele Bürger um Einsicht in ihre Akte."
"21"," Und noch immer sind wir diesen Betroffenen größtmögliche Transparenz und Unterstützung schuldig."
"22"," Dem wollen wir Rechnung tragen."
"23","Mitarbeiter im öffentlichen Dienst stehen in einem besonderen Treueverhältnis zum Staat."
"24"," Mit der Verlängerung der Dauer der Möglichkeit, auf Stasitätigkeit im öffentlichen Dienst zu überprüfen, setzen wir einen weiteren Punkt aus dem Koalitionsvertrag um."
"25"," Es ist wichtig, dass auch die Stasiopfer ein Grundvertrauen in den Staat und in staatliches Handeln haben."
"26","Der Zugang zu den Stasiakten bleibt weiterhin auf Grundlage des Stasiunterlagengesetzes uneingeschränkt erhalten."
"27"," Mit dem neuen Konzept zur Zukunft der Stasiunterlagen geht es uns um die Sicherung der Unterlagen auch für künftige Generationen."
"28"," Es geht uns zweitens um die Anerkennung der Opferschicksale, und drittens geht es uns darum, durch die Integration dieser Aktenbestände ins Bundesarchiv dafür zu sorgen, dass dieses Thema als gesamtgesellschaftliche Aufgabe in Deutschland verstanden wird, welche sich eben nicht nur auf die DDR bzw."
"29"," das ehemalige Staatsgebiet der DDR bezieht."
"30"," Es wird künftig einen verbesserten Aktenzugang für die Opfer geben sowie eine verbesserte und modernere Aktennutzung."
"31","Die Opferverbände wurden in diese Überlegungen miteinbezogen."
"32"," Es gibt — das will ich nicht verschweigen, und das kam hier auch schon zu Wort - einige kritische Stimmen."
"33"," Ich bin mir sicher, dass wir in Kürze, wenn das Konzept umgesetzt ist, diese Sorgen durch die gelebte Realität ausräumen können."
"34"," Die Anträge zur Einsichtnahme in die Stasiakten sollen schneller bearbeitet werden, und die Grundlagenforschung im Stasiunterlagenarchiv bleibt bestehen."
"35","Uns ist der Opferschutz weiter wichtig."
"36"," Daher bitte ich um Zustimmung für dieses Gesetz."
"37","Vielen Dank.
 Vizepräsident Wolfgang "
