"","V1"
"1",""
"2"," Ich habe sie auch schon angehalten."
"3","Helge Lindh:"
"4"," — deshalb gestatte ich selbstverständlich eine Zwischenfrage."
"5"," Petr Bystron:"
"6","Vielen Dank, Herr Kollege."
"7"," — Sie haben ein beeindruckendes Paradoxon vollbracht."
"8"," Sie haben gesagt, die Antifa sei demokratisch."
"9"," Könnten Sie aufklären, wie Sie das meinen? Ist vielleicht das Anzünden von Autos, das Plündern von Geschäften, das Verprügeln von Polizisten, das Bewerfen von Polizisten mit Kot demokratisch? Das soll demokratisch sein? — Danke."
"10"," Ich bin sehr gespannt."
"11"," Helge Lindh:"
"12"," War das die Frage? Meine Gegenfrage lautetHelge Lindh— ich werde die Frage auch noch beantworten -:"
"13"," Sie stellen, wenn ich das richtig gelesen habe, einen anti-extremistischen Antrag."
"14"," Wie können Sie den stellen? Sie sind doch selbst eine extremistische Partei, also stellen Sie einen Antrag gegen sich selbst."
"15"," Im Ubrigen habe ich nicht von der organisierten Antifa gesprochen."
"16"," Solche billigen Spiele funktionieren mit anderen, aber nicht mit mir, nicht mit uns."
"17"," Ich habe vom antifaschistischen Denken gesprochen."
"18"," Wenn der Widerspruch gegenüber dem Faschismus nicht demokratisch ist, dann weiß ich auch nicht weiter."
"19"," Kommen wir wieder zum Dreisatz."
"20"," Die erste Stufe waren Bruchstellen des Bürgerlichen, die zweite Stufe waren die Verängstigung der Gesellschaft, Desavouierung, Sabotage der antifaschistischen demokratischen Strukturen."
"21"," Die dritte Stufe ist:"
"22"," Ablenkungsmanöver."
"23"," Wir sind nun wahrlich in einem Land, in dem der Mord an Lübcke, der Rechtsterrorismus und die systematische Unterwanderung vieler Strukturen durch den Rechtspopulismus hinein in die Mitte der Gesellschaft das Problem sind."
"24"," Genau in diesem Moment kommen Sie dazu, die Antifa als das zentrale Problem dieses Landes darzustellen."
"25"," Das können Sie gerne machen, aber so blöd sind wir nicht, uns auf diese Täuschung, auf dieses Ablenkungsmanöver einzulassen."
"26"," Ich habe versprochen, das an einem Beispiel deutlich zu machen."
"27"," Wir machen jetzt Textarbeit bei Ihnen."
"28"," Sie warnen unter Punkt eins vor Polarisierung."
"29"," Das ist ungefähr so, als wenn der Brandstifter anmahnt, dass ein Brand gesetzt worden ist."
"30"," Das nenne ich — mit einem guten deutschen Wort — Heuchelei."
"31"," Aber es endet nicht damit."
"32"," Sie beschwören nicht nur die angeblich schlimmen Polarisierungen, nein, Sie treten auch noch auf als angebliches Gegenmittel gegen die Polarisierung, wo Sie doch selbst diese Polarisierung maßgeblich erzeugen."
"33"," Das ist so, als ob der Brandstifter ein paar Stunden später als Feuerwehrmann erscheint."
"34"," Das nenne ich arglistige Täuschung."
"35","Und als ob das nicht genug wäre! Sie kommen dann auch noch an und gebärden sich als Lehrmeister der Demokratie."
"36"," Sie sind ja zum Teil auch in der Innenpolitik sehr aktiv."
"37"," Wir kennen das unter anderem aus der Migrationspolitik.
Vizepräsident Wolfgang "
