"","V1"
"1",""
"2"," Guten Morgen, liebe Kolleginnen und Kollegen! Bitte nehmen Sie Platz."
"3"," Die Sitzung ist eröffnet."
"4","Vor Eintritt in die Tagesordnung gratuliere ich nachträglich dem Kollegen Dr."
"5"," Georg Kippels und der Kollegin Christine Aschenberg-Dugnus zu ihren jeweiligen 60."
"6"," Geburtstagen sowie dem Kollegen Dr."
"7"," Roland Hartwig zu seinem 65."
"8"," Geburtstag."
"9"," Alle guten Wünsche im Namen des ganzen Hauses! Jetzt müssen wir zuerst die Wahl eines Vertreters der Bundesrepublik Deutschland zur Parlamentarischen Versammlung des Europarates durchführen."
"10"," Die Fraktion Die Linke schlägt vor, als Nachfolgerin der Kollegin Katrin Werner die Kollegin Cornelia Möhring als ordentliches Mitglied zu berufen."
"11"," Sind Sie damit einverstanden? — Das ist offensichtlich der Fall."
"12"," Dann ist die Kollegin Möhring als ordentliches Mitglied der Versammlung gewählt."
"13"," — Können Sie es nicht hören? Dann fange ich noch mal von vorne an."
"14","Guten Morgen, liebe Kolleginnen und Kollegen! Um es abzukürzen:"
"15"," Wir haben eben die Kollegin Cornelia Möhring von der Fraktion Die Linke als Nachfolgerin der Kollegin Katrin Werner zum ordentlichen Mitglied der Parlamentarischen Versammlung des Europarats berufen."
"16","Jetzt müssen wir gemäß $ 93b Absatz 8 unserer Geschäftsordnung auf Vorschlag der Fraktionen deutsche Mitglieder des Europäischen Parlaments berufen, die an den Sitzungen des Ausschusses für die Angelegenheiten der Europäischen Union teilnehmen können und dabei unter anderem befugt sind, Auskünfte zu erteilen und Stellungnahmen abzugeben."
"17"," Ihre Anzahl und Verteilung müssen nach Wahlen zum Europaparlament oder zum Deutschen Bundestag jeweils neu festgelegt werden."
"18","9:"
"19","00 UhrDie Fraktionen haben sich nach der im Mai stattgefundenen Wahl zum Europäischen Parlament auf insgesamt 17 mitwirkungsberechtigte Mitglieder verständigt."
"20"," Nach dem Wahlergebnis entfallen auf die CDU/CSU sechs Mitglieder, auf Bündnis 90/Die Grünen vier Mitglieder, auf die SPD drei Mitglieder, auf die AfD zwei Mitglieder und auf die FDP und die Linke jeweils ein Mitglied."
"21"," Sind Sie auch damit einverstanden? — Dann ist auch das so beschlossen."
"22","Für die heutige 115."
"23"," und die morgige 116."
"24"," Sitzung konnte zwischen den Fraktionen im Ältestenrat keine Tagesordnung vereinbart werden."
"25"," Die Fraktion der AfD hat dem Vorschlag der anderen Fraktionen widersprochen."
"26"," Ich habe daher den Bundestag mit der vorgeschlagenen Tagesordnung einberufen."
"27"," Nach $ 21 Absatz 3 der Geschäftsordnung ist für die Genehmigung der Tagesordnung ein Plenarbeschluss erforderlich."
"28","Die Koalitionsfraktionen beantragen, die vorgeschlagene Tagesordnung um die in der Zusatzpunkteliste aufgeführten Punkte zu erweitern:"
"29","ZP 1 Aktuelle Stundeauf Verlangen der Fraktion BUNDNIS 90/DIE GRUNENHaltung der Bundesregierung zur Eskalation in der GolfregionZP 2 Vereinbarte Debatte Klimaschutz 2030ZP 3 Beratung der Beschlussempfehlung und des Berichts des Ausschusses für Ernährung und Landwirtschaft zu dem Antrag der Abgeordneten Heidrun Bluhm-Forster, Dr."
"30"," Kirsten Tackmann, Dr."
"31"," Gesine Lötzsch, weiterer Abgeordneter und der Fraktion DIE LINKESoforthilfemaßnahmen für die deutsche Forstwirtschaft Präsident Dr."
"32"," Wolfgang SchäubleDrucksachen 19/10287 , 19/11301Beratung des Antrags der Abgeordneten Peter Felser, Stephan Protschka, Franziska Gminder, weiterer Abgeordneter und der Fraktion der AfDWaldbesitzer unterstützen — Wald nachhaltig umbauenDrucksache 19/13528Überweisungsvorschlag:"
"33","Ausschuss für Ernährung und LandwirtschaftAusschuss für Umwelt, Naturschutz und nukleare Sicherheit Erste Beratung des von den Abgeordneten Dr."
"34"," Julia Verlinden, Oliver Krischer, Lisa Badum, weiteren Abgeordneten und der Fraktion BÜNDNIS 90/DIE GRÜNEN eingebrachten Entwurfs eines Gesetzes zur Änderung des Erneuerbare-Energien-Gesetzes — EEG 2017Drucksache 19/13517Überweisungsvorschlag:"
"35","Ausschuss für Wirtschaft und EnergieAusschuss für Umwelt, Naturschutz und nukleare Sicherheit Beratung des Antrags der Abgeordneten Stefan Schmidt, Daniela Wagner, Stephan Kühn, weiterer Abgeordneter und der Fraktion BUNDNIS 90/DIE GRUNENUmweltfreundliche Mobilitat fordern — Luftverkehr gerecht besteuern und Subventionierung beendenDrucksache 19/13078Uberweisungsvorschlag:"
"36","FinanzausschussAusschuss für Wirtschaft und EneAusschuss für Verkehr und digitale TnfrastrukAusschuss für Umwelt, Naturschutz und nukleare Sicherheit Ausschuss für TourismusAusschuss für die Angelegenheiten der Europäischen Union HaushaltsausschussWeitere Überweisungen im vereinfachten Verfahren a) Erste Beratung des von der Bundesregierung eingebrachten Entwurfs eines Gesetzes zur Durchführung der Eurojust-VerordnungDrucksache 19/13451Überweisungsvorschlag:"
"37"," Ausschuss für Recht und Verbraucherschutzb) Beratung des Antrags der Abgeordneten Matthias Höhn, Heike Hänsel, Sevim Dagdelen, weiterer Abgeordneter und der Fraktion DIE LINKEDeutsches Moratorium für autonome Waffensysteme erklären und völkerrechtliches Verbot auf den Weg bringen Drucksache 19/9342Überweisungsvorschlag:"
"38"," Verteidigungsausschuss Auswärtiger Ausschuss Ausschuss Digitale Agendac) Beratung des Antrags der Abgeordneten Anke Domscheit-Berg, Dr."
"39"," Petra Sitte, Doris Achelwilm, weiterer Abgeordneter und der Fraktion DIE LINKEÖffentliches Geld - Öffentliches Gut - Öffentlich finanzierte Daten und Werke frei zur Verfügung stellenDrucksache 19/12633Überweisungsvorschlag:"
"40","Ausschuss für Inneres und HeimatAusschuss Digitale AgendaAusschuss für Bildung, Forschung und Technikfolgenabschät zung Federführung strittigd) Beratung des Antrags der Abgeordneten Dr."
"41"," Ingrid Nestle, Dr."
"42"," Julia Verlinden, Lisa Badum, weiterer Abgeordneter und der Fraktion BÜNDNIS 90/DIE GRÜNENÖffentlichen Einfluss auf das Stromnetz stärkenDrucksache 19/9564Überweisungsvorschlag:"
"43"," Ausschuss für Wirtschaft und Energiee) Beratung des Antrags der Abgeordneten Erhard Grundl, Margit Stumpp, Katja Dörner, weiterer Abgeordneter und der Fraktion BÜNDNIS 90/DIE GRÜNENVerhandlungen über Kulturgüter mit den Hohenzollern und deren historische Unterstützung des NationalsozialismusDrucksache 19/13545Überweisungsvorschlag:"
"44"," Ausschuss für Kultur und Medien Ausschuss für Inneres und Heimatf) Beratung des Antrags der Abgeordneten Canan Bayram, Katja Keul, Luise Amtsberg, weiterer Abgeordneter und der Fraktion BÜNDNIS 90/DIE GRÜNENModernisierung des Strafverfahrens durch digitale Dokumentation der HauptverhandlungDrucksache 19/13515Überweisungsvorschlag:"
