"","V1"
"1",""
"2"," Vielen Dank."
"3"," — Als Nächster spricht für die Fraktion der SPD der Kollege Bernd Westphal."
"4"," Bernd Westphal:"
"5","Sehr geehrter Herr Präsident! Liebe Kolleginnen und Kollegen! Meine sehr verehrten Damen und Herren! Meine Vorredner haben darauf hingewiesen:"
"6"," Ja, wir haben eine sehr gute konjunkturelle, wirtschaftliche Lage."
"7"," Deutschland ist ein innovativer Wirtschaftsstandort, wo viele Investitionen getätigt werden und es viele engagierte Unternehmerinnen und Unternehmer gibt."
"8"," Aber den Wohlstand haben wir vor allem den fleißigen Arbeitnehmerinnen und Arbeitnehmern zu verdanken, die im Schichtdienst — Nacht- und Mittagschicht — sind, die in Pflegeheimen arbeiten, in Verwaltungen oder Unternehmen tätig sind."
"9"," Sie haben die erfolgreichen Kennzahlen erzeugt."
"10"," Vielen Dank dafür! Nun wurden unsere Politik und die verschiedenen Maßnahmen, die wir auf den Weg bringen, viel kritisiert."
"11"," Das ist das gute Recht der Opposition."
"12"," Da hier die komplizierte Bürokratie im Zusammenhang mit dem Mindestlohn kritisiert wurde — der Kollege Komning hat gesagt, dass wir gerade eine große Administration für den Mindestlohn aufbauen -, will ich Ihnen ganz ehrlich sagen:"
"13"," Dieser Wirtschaftsstandort ist nicht trotz, sondern wegen des Mitbestimmungsrechts, der sozialen Standards und des Umweltschutzes so erfolgreich."
"14"," Aber genau das kritisieren Sie."
"15"," Wenn ich Unternehmen besuche und frage, warum Wachstum nicht realisiert werden kann, dann höre ich als ersten Grund:"
"16"," weil die Fachkräfte fehlen."
"17"," Das ist ein wachstumsbegrenzender Faktor, an dessen Beseitigung wir dringend arbeiten müssen."
"18"," Dafür gibt es gute Vorschläge."
"19"," Arbeitsminister Hubertus Heil ist bei der Zuwanderung entsprechend tätig geworden."
"20"," Wir tätigen Investitionen in Bildung und dort, wo Kommunen und Länder Verantwortung tragen."
"21"," Ich wünsche mir, dass wir im Vermittlungsausschuss, gerade wenn es um Digitalisierung im Bildungs- und Schulbereich geht, vorankommen."
"22"," Das heiBt, wir müssen jeden mobilisieren und dem Anspruch gerecht werden, dass keiner bei Bildung und Qualifizierung zurückbleibt."
"23"," Wir müssen gerade jungen Familien die Vereinbarkeit von Familie und Beruf ermöglichen und auch ein Einwanderungsgesetz schaffen, das Fachkräften erleichtert, an den Standort Deutschland zu kommen."
"24"," Wenn es um Innovationen geht, haben wir für die Wirtschaft zu identifizieren, wo sich die Kernbereiche der Zukunft befinden, in welchen Bereichen wir wachsen wollen."
"25"," Wir haben eine sehr innovative Start-up-Szene."
"26"," In diesem Zusammenhang müssen die Möglichkeiten, Risikokapital zu erhalten, erweitert werden."
"27"," Wir haben hier erste Schritte beispielsweise bei der KfW gemacht."
"28"," Das müssen wir weiter fördern."
"29"," Wir brauchen aber auch, wenn es um die Grundlagenforschung geht, eine bessere Übertragung der Ergebnisse in die Unternehmen."
"30"," Die Bildungs- und Forschungsministerin muss dafür sorgen, dass die Rahmenbedingungen zu wettbewerbsfähigen Produkten führen."
"31"," Wir brauchen eine steuerliche Forschungsförderung gerade für mittlere und kleine Unternehmen, die zwar Ambitionen haben, aber wegen fehlender Anreize ihre Projekte nicht verwirklichen können."
"32"," Die langjährige Forderung der SPD nach einer entsprechenden steuerlichen Förderung setzen wir nun um."
"33"," Damit sichern wir Steuereinnahmen für die Zukunft."
"34"," Bernd WestphalDie Basis für unseren wirtschaftlichen Erfolg ist eine industrielle Produktion."
"35"," Wir brauchen Langzeitstrategien und entsprechende Schwerpunktsetzungen."
"36"," Der in der letzten Woche erzielte Kompromiss bei der Energiewende zeigt, dass wir Akteure haben, die willens sind, politisch handlungsfähig zu sein."
"37"," So haben sie sich zu diesem Kompromiss durchgerungen."
"38"," Das ist eine gute Basis, auf der wir aufbauen können."
"39"," Wir brauchen jetzt aber auch die Entwicklung neuer Antriebe im Mobilitätssektor."
"40"," Wir brauchen nicht nur die Batteriezellenproduktion; der Wirtschaftsminister versucht ja sehr erfolgreich, auf europäischer Ebene ein entsprechendes Batteriezellen-Konsortium zu organisieren."
"41"," Daneben brauchen wir aber auch die Wasserstofftechnologie."
"42"," Hier können wir weltweit Vorreiter sein."
"43"," Hier gibt es Wachstums- und Innovationspotenziale, die wir wirtschaftlich nutzen können."
"44"," Gleiches gilt für den Maschinenbau, für Elektrolyseanlagen, für neue Technologien, für Werkstoffe, die aus der Chemieindustrie kommen, und natürlich auch für den Bereich der Digitalisierung und der künstlichen Intelligenz."
"45"," Genau das werden unsere Zukunftsoptionen sein."
"46"," Auf dem Jahreswirtschaftsbericht ist das Wir unterstrichen."
"47"," Herr Bundeswirtschaftsminister, ich finde das gut, weil es natürlich zeigt und bekräftigt, dass wir mit diesem wirtschaftlichen Erfolg auch gesellschaftlichen Zusammenhalt organisieren wollen."
"48"," Hier gibt es noch einige Defizite zwischen Ost und West, an denen wir arbeiten müssen."
"49"," Man muss sich auch einmal das Stadt-Land-Gefälle anschauen."
"50"," Wir wollen dem ländlichen Raum durch den Ausbau neuer Technologien, den Ausbau von 5G und Breitband eine wirtschaftliche Perspektive geben."
"51"," An diesem Kurs werden wir festhalten und weiterhin erfolgreich arbeiten."
"52","Herzlichen Dank.
 Vizepräsident Thomas "
