"","V1"
"1",""
"2"," Für die SPD-Fraktion hat das Wort der Kollege Dr."
"3"," Rolf Mützenich."
"4","Dr."
"5"," Rolf Mützenich:"
"6","Sehr geehrter Herr Präsident! Liebe Kolleginnen und Kollegen! Die uns bekannte internationale Ordnung steht seit Jahren unter Druck, nicht alleine wegen der Entscheidungen und des Verhaltens der russischen Regierung."
"7"," Gleichwohl ist die gewaltsame Aneignung der Krim und die einseitige Parteinahme im syrischen Bürgerkrieg ein tiefer Einschnitt, und darüber werden wir nicht hinwegsehen können."
"8"," Das Verhalten Russlands im Hinblick auf diese beiden Ereignisse der letzten zwei Jahre wird weiterhin zu Belastungen zwischen Deutschland und Russland führen."
"9","Die Frage muss lauten:"
"10"," Was folgt daraus? Entweder absolute Konfrontation oder zumindest der Versuch, die Belastungen abzubauen und die Spannungen so gut wie möglich einzuhegen."
"11"," Wir Sozialdemokraten entscheiden uns für Letzteres."
"12"," Das ist keine Prinzipienlosigkeit, sondern es ist kluge Politik:"
"13"," Einsicht in das Machbare und insbesondere die Einsicht, dass Druck allein keine Verhaltensänderungen bewirken kann."
"14"," Es ist die Einsicht in die Erfahrungen aus der deutsch-russischen Geschichte, und es ist für uns insbesondere die Einsicht in die Notwendigkeit der Entspannungspolitik, die geholfen hat, auf der einen Seite die deutsche Teilung zu überwinden und auf der anderen Seite Europa ein Gesicht als Friedensmacht zu geben."
"15"," Und schließlich, angesichts der Europawahl:"
"16"," Wenn wir über Europa nachdenken, müssen wir, finde ich, Russland mitdenken."
"17"," Deswegen sind die Bundesregierung und die Koalitionsfraktionen der festen Überzeugung:"
"18"," Wir müssen immer wieder, tagtäglich versuchen, Spannungen abzubauen und Bereitschaft zur Kooperation zeigen."
"19"," Das haben insbesondere die Reisen des deutschen Außenministers im Zusammenhang mit der Krise um den INF-Vertrag deutlich gemacht."
"20"," Einen weiteren Aspekt, den ich nennen möchte, richte ich insbesondere an die Antragsteller."
"21"," Es ist ein sozialdemokratisches Prinzip, dass Wandel durch Annäherung immer eine zweifache Aufgabe war und ist."
"22"," Darin unterscheiden wir uns fundamental."
"23"," Wer nämlich zu Unfrieden und Hass im Innern anstiftet, kann keinen Frieden nach außen gründen."
"24"," Das ist doch die Essenz, die gerade Willy Brandt in seiner ersten Regierungserklärung 1969 gezogen hat:"
"25","Wir wollen ein Volk der guten Nachbarn sein und werden im Inneren und nach außen."
"26","Deswegen ist das Prinzip der Sozialdemokratischen Partei und Kern einer sozialdemokratischen Entspannungspolitik, durch soziale Gerechtigkeit, die Anerkennung der Menschenrechte sowie die Achtung des Einzelnen Respekt einzufordern; denn nur so können wir Friedens Dr."
"27"," Rolf Mützenichpolitik nach auBen, insbesondere auch gegentiber Russland, realistisch formulieren und umsetzen."
"28"," Liebe Kolleginnen und Kollegen, dennoch machen wir uns keine Illusionen über die russische Politik."
"29"," Repressionen und Intoleranz im Innern auf der einen Seite und auf der anderen Seite das Handeln nach dem Prinzip „Verunsicherung“ außerhalb der russischen Grenzen, weil sie glauben, den russischen Staat dadurch sicherer zu machen — das wird auf lange Sicht nicht funktionieren."
"30"," Ich glaube, das muss man den russischen Gesprächspartnern letztlich auch sagen, wenn sie denn zum Gespräch bereit sind."
"31","Wir verkennen auch nicht:"
"32"," Die Zustimmungsraten für Präsident Putin sind hoch."
"33"," Dennoch müssen wir feststellen:"
"34"," Es gibt Proteste und insbesondere eine Skepsis — ich denke zum Beispiel an die Rentenpolitik und vieles andere — gegenüber russischer Politik."
"35"," Das eröffnet uns, glaube ich, Wege, hier in Richtung der Zivilgesellschaft das ein oder andere zu versuchen, was zu einer Modernisierung beiträgt."
"36","Deswegen, meine Damen und Herren:"
"37"," Die Vorschläge der SPD-Bundestagsfraktion liegen auf dem Tisch, und wir wollen sie innerhalb unserer Regierungsbeteiligung auch verwirklichen."
"38"," Auf der einen Seite glaube ich schon, dass es notwendig ist, erneut zu versuchen, gemeinsame Sicherheit wie während des kalten Krieges durch eine gesamteuropäische Konferenz herzustellen."
"39"," Ob es gelingt, weiß ich nicht."
"40"," Aber zumindest die Idee in die Diskussion einzubringen, ist schon lohnenswert."
"41","Auf der anderen Seite ist es notwendig, vielleicht auch regionale Kooperationen stärker zu denken; denn wir sind innerhalb der Europäischen Union stark verankert, die Nachfolgestaaten der Sowjetunion aber sind in eine andere regionale Kooperation eingebunden."
"42"," Es lohnt sich, auch das zu diskutieren."
"43"," Vizepräsident Dr.
 Hans-Peter "
