"","V1"
"1",""
"2"," Jetzt ist der Herr Weiß dran."
"3","Peter Weiß:"
"4"," Das ist ein dynamischer Freibetrag in der Krankenversicherungspflicht."
"5","Ich finde, jetzt ist es höchste Zeit, dass wir mit diesem Angebot in Zukunft eine Verpflichtung schaffen, damit jeder eine Form der zusätzlichen Altersversorgung erhalten kann."
"6"," Wir werden die Geringverdiener in diesem starken Maß fördern, so wie wir es in der Koalition miteinander verabredet haben."
"7","Ein dritter Punkt ist in der Tat das Projekt Grundrente."
"8"," Wir wollen, dass derjenige, der lange in das System eingezahlt hat, im Alter besser dasteht als derjenige, der nicht eingezahlt hat."
"9"," Deswegen ist es folgerichtig, und darin sind wir uns einig - in der Ausgestaltung sind vielleicht viele Fragen noch strittig —:"
"10"," Wir wollen, dass der Peter Weißjenige, der 35 Jahre in das System der gesetzlichen Rente eingezahlt hat, besser dasteht als derjenige, der nie eingezahlt hat, und damit die Chance hat, deutlich über das Grundsicherungsniveau zu kommen."
"11"," Meine sehr geehrten Damen und Herren, man kann vieles beklagen und auch skandalisieren."
"12"," Die Frage ist:"
"13"," Handeln wir? Wir haben beim Thema „betriebliche Altersvorsorge für jeden Geringverdiener möglich machen“ gehandelt."
"14"," Wir werden beim Thema „Alterssicherung der Selbstständigen“ handeln — wir sind in der Vorbereitung der entsprechenden Gesetzentwürfe —, und wir werden beim Thema Grundsicherung handeln."
"15"," Am Handeln der Großen Koalition soll es nicht fehlen, um Altersarmut in Zukunft zu vermeiden."
"16","Vielen Dank.
 Vizepräsidentin Claudia "
