"","V1"
"1",""
"2"," Vielen Dank."
"3"," — Frau Kollegin, Sie haben eine Nachfrage."
"4"," Diese lasse ich jetzt auch noch zu."
"5"," Bitte schön."
"6","Dr."
"7"," Eva Högl:"
"8","Sehr gerne, Herr Präsident."
"9"," Schön, dass Sie sie zulassen."
"10"," — Frau Bundeskanzlerin, ich würde gerne fragen, da auch die deutschen Sicherheitsbehörden die Zusammenarbeit mit Österreich nach den letzten Entwicklungen durchaus mit einem Fragezeichen versehen, ob Sie in künftigen Fällen, wenn ein hoher Spitzenbeamter, insbesondere aus sicherheitspolitisch so relevanten Bereichen, in Regierungen als Berater wechselt oder anderweitig zur Verfügung steht, um seine bisherigen Kenntnisse anzuwenden und einzubringen, das nicht kritisch bewerten müssen und ob Sie nicht vielleicht bei künftigen Fällen anders entscheiden würden, wenn etwa zu rechtspopulistischen oder rechtsextremen Regierungen oder Parteien gewechselt wird, die es auch in Europa durchaus gibt."
"11","Dr."
"12"," Angela Merkel, Bundeskanzlerin:"
"13","Also, in diesem Falle würde ich meine Entscheidung nicht anders treffen."
"14"," Aber ich gebe natürlich zu, oder ich sage natürlich — da brauche ich gar nichts zuzugeben —, dass wir uns in jedem Einzelfall genau anschauen müssen:"
"15"," Was sind die deutschen Interessen? Können die deutschen Interessen gewahrt werden? Um welche Person handelt es sich? Wie ist der Charakter der Zusammenarbeit? Deshalb gibt es keine Aussage ‚In jedem Fall würde man das genau so wiedermachen“; in diesem Falle allerdings ja.
Vizepräsident Wolfgang "
