"","V1"
"1",""
"2","Vielen Dank, Frau Kollegin."
"3"," — Liebe Kolleginnen und Kollegen, ich wollte die Rednerin in ihrer Rede nicht unterbrechen."
"4"," Ich möchte aber trotzdem darauf hinweisen:"
"5"," Zwischenrufe sind zulässig und auch erwünscht in einerVizepräsident Wolfgang Kubickilebhaften Debatte."
"6"," Aber wenn Zwischenrufe zu einem Massenphänomen werden, können sie weder vom Protokoll wahrgenommen werden, noch dient das der Debatte."
"7"," Also bitte ich darum, den Redner anzuhören, selbst wenn es dem einen oder anderen schwerfällt."
"8"," Das ist ja der Sinn unserer parlamentarischen Debatte ier."
"9"," Noch einmal, liebe Kolleginnen und Kollegen:"
"10"," Wir haben eine gemeinsame Geschäftsordnung."
"11"," An die sollten wir uns halten, und zwar gegenüber jedermann."
"12"," Die Meinungsfreiheit im deutschen Parlament ist ein hohes Gut."
"13"," Die sollte man bewahren."
"14"," Ich verstehe die Erregung mancher."
"15"," Aber noch einmal:"
"16"," Bei einer solchen Vielzahl von Zwischenrufen können sie nicht wahrgenommen werden."
"17"," Damit verlieren sie ihren Sinn."
"18"," Sie sind nur noch eine negative Geräuschkulisse."
"19"," Liebe Kolleginnen und Kollegen, als Nächstes hat für die SPD-Fraktion der Kollege Rene Röspel das Wort."
"20"," René Rospel:"
"21","Herr Prasident! Meine sehr verehrten Damen und Herren! Es ist schon eine seltene Gabe, glaube ich, andere Menschen am helllichten Tag in eine Geisterbahn zu versetzen."
"22"," Vielleicht kann man das kommerzialisieren."
"23","Ich danke ganz herzlich für diesen Antrag."
"24"," Ich freue mich immer, wenn man tiber Forschung reden kann."
"25"," Der Klimawandel ist tatsächlich ein weltweit wissenschaftlich unumstrittener Fakt, über den wir, glaube ich, nicht lange zu diskutieren brauchen."
"26"," Beides gehört zusammen."
"27"," Deswegen will ich den Grünen ganz herzlich dafür danken, dass wir heute noch einmal darüber diskutieren."
"28"," Das haben wir vor zwei Jahren im Zusammenhang mit einem ziemlich ähnlichen Antrag schon mal gemacht."
"29"," Ich finde den Antrag in vielen Punkten gut; ich glaube, auch weil die meisten Punkte in der Breite vermutlich unumstritten sind."
"30"," Ich habe aber schon vor zwei oder drei Jahren gesagt — ich weiß nicht mehr genau -, dass viele dieser Punkte schon erledigt sind."
"31"," Die Fragen, die von Kai richtigerweise gestellt worden sind, sind ja auch wichtig:"
"32"," Wie gehen wir vor Ort mit dem immer global diskutierten Klimawandel um? Wir sehen ja, dass die Zahl der Extremwetterereignisse zunimmt."
"33"," Auch wer mit offenen Augen durch den Wald geht, wird feststellen, dass sich da in den letzten Jahren viel verändert hat."
"34"," Ich habe im Sauerland in einem April noch nie einen so trockenen Wald erlebt wie letztes Jahr."
"35"," Das ist nicht besser geworden."
"36"," Auch wenn man in dieser Jahreszeit durch den Wald geht, stellt man, wie ich finde, fest:"
"37"," Der Waldzustand ist nicht besser geworden."
"38","Die Frage ist tatsächlich:"
"39"," Wie wirkt sich das vor Ort aus? Die Forderung, regionale und sektorale Aspekte stärker zu berücksichtigen, ist richtig."
"40"," Das gibt es aber schon."
"41"," Wenn man den ersten Fortschrittsbericht zur Deutschen Anpassungsstrategie liest — er ist beim Umweltministerium abrufbar —, sieht man zum Beispiel eine Karte der Bundesrepublik Deutschland, auf der regionenscharf eingezeichnet ist:"
"42"," Wie wird sich eigentlich das Klima verändern, zum Beispiel in Mecklenburg-Vorpommern? Die Ostseeurlauber merken ja schon, dass man dort mittlerweile Urlaub wie in Spanien machen kann."
"43"," Wird es zunehmend Versteppungstendenzen geben? Was bedeutet das für die Landwirtschaft? Was bedeutet es für andere Regionen, wenn sich das Klima vor Ort verändert?Einen Beitrag haben inter- und transdisziplinäre Forschungsverbünde, die in dem Antrag auch gefordert werden, geleistet, zum Beispiel der Helmholtz-Verbund Regionale Klimaänderungen, kurz REKLIM."
"44"," Er befasst sich über verschiedene Institute hinweg mit der Frage:"
"45"," Was bedeuten Klimaveränderungen vor Ort? Es gibt seit einigen Jahren auch — die Forschungspolitiker haben das mal bei einem Frühstück vorgestellt bekommen — das Climate Service Center Germany, das GERICS, das ausdrücklich Ansprechpartner für Entscheidungsträger in Politik, Wirtschaft und Kommunen ist."
"46"," Die Kommunen stehen natürlich vor der Frage:"
"47"," Können wir Abwasserkanäle noch bauen wie in den 80er- oder 70er-Jahren, wo man die Regenmengen kannte? Da war das Jahrhunderthochwasser das Ereignis, das man als Maß nahm."
"48"," Das hat sich deutlich verändert."
"49"," Das sind die Ansprechpartner für die Frage:"
"50"," Worauf muss man sich tatsächlich praktisch einstellen, um solchen Veränderungen entgegenwirken und damit vernünftig umgehen zu können?René RéspelLangzeitmessungen wurden auch gefordert."
"51"," Sie finden statt von Helgoland bis zur Zugspitze."
"52"," An beiden Orten kann man sich das anschauen."
"53"," Es macht SpaB, da mal hinzufahren."
"54"," Man lernt viel dabei."
"55","Einen Stich muss ich machen:"
"56"," Während der Jamaika-Verhandlungen habe ich nichts gehört von einer deutschen Allianz für Meeresforschung."
"57"," Wir haben sie in den Koalitionsvertrag geschrieben und beginnen, das umzusetzen."
"58"," Deswegen sage ich:"
"59"," Viele Forderungen sind grundsätzlich richtig, aber in Teilen schon erledigt oder auf den Weg gebracht."
"60","Ausdrücklich will ich sagen:"
"61"," Wir haben es ja auch schon mal erleben müssen, in der Opposition zu sein."
"62"," Regieren macht übrigens viel mehr Spaß, wenn es auch schwieriger ist."
