"","V1"
"1",""
"2","Vielen Dank, Herr Kollege Löbel."
"3"," — Ich darf an dieser Stelle, liebe Kolleginnen und Kollegen, auf der Ehrentribüne Seine Exzellenz, den Botschafter Georgiens, Herrn Khokrishvili, ganz herzlich begrüßen."
"4"," Herr Botschafter, schön, dass Sie heute bei uns sind! Die nächste Rednerin für die Fraktion der FDP:"
"5"," die Kollegin Renata Alt."
"6"," Renata Alt:"
"7","Sehr geehrter Herr Präsident! Liebe Kolleginnen und Kollegen! Sehr geehrte Damen und Herren! Bis 2004 schaute mein ehemaliges Heimatland, die Slowakei, von außen auf die EU."
"8"," Daher weiß ich, was es bedeutet, in einem Transformationsland zu leben."
"9"," Heute ist die Slowakei, gemessen an der Bevölkerungszahl, der größte Automobilhersteller weltweit."
"10"," Für mich ist daher die Ostliche Partnerschaft eines der bedeutendsten Instrumente der europäischen Außenpolitik."
"11"," Sie hält Europa zusammen."
"12"," Wir Freie Demokraten wollen eine vertiefte Kooperation mit den östlichen Nachbarn der EU, auch und gerade nach dem zehnjährigen Bestehen der Östlichen Partnerschaft."
"13","Liebe Bundesregierung, es ist richtig, die Ostliche Partnerschaft zur Priorität der deutschen EU-Ratspräsidentschaft zu machen; aber sie darf kein Leuchtturmprojekt sein."
"14"," Ihrem Antrag fehlt die Antwort aufeine zentrale Frage:"
"15"," Wo soll die Östliche Partnerschaft in zehn Jahren sein? Wir brauchen eine Strategie über 2020 hinaus."
"16"," Für uns gibt es drei Prioritäten:"
"17"," Assozüerungs- und Freihandelsabkommen, neue Kooperationsformate und eine differenzierte Partnerschaft mit den Ländern."
"18"," Mit der Ukraine, Moldau und Georgien bestehen Assozüerungs- und Freihandelsabkommen."
"19"," Sie sind erfolgreiche Ergebnisse der Östlichen Partnerschaft."
"20"," Die Ukraine beweist es:"
"21"," Nahezu alle Zölle sind abgeschafft."
"22"," Alleine 2017 wuchsen die ukrainischen Exporte in die EU um über 27 Prozent."
"23"," Zahlreiche deutsche Firmen sind in der Ukraine aktiv und stellen über 30 000 Arbeitsplätze."
"24"," Wir brauchen mehr solcher Assozüerungs- und Freihandelsabkommen."
"25"," Wir brauchen aber auch innovative Kooperationsformen."
"26"," Gerade bei der Digitalisierung ist die EU der einzige Partner, der die richtigen Impulse für eine Modernisierung bieten kann."
"27","Lieber Herr Wiese, lieber Herr Löbel, das Gießkannenprinzip ist überholt, und es freut mich, dass Sie das erkannt haben."
"28"," Denn die Östliche Partnerschaft lebt von dem individuellen Potenzial ihrer Teilnehmerstaaten."
"29"," Jedes Land braucht maßgeschneiderte Forderungen und Förderungen."
"30"," Das CEPA-Abkommen mit Armenien ist dafür das beste Beispiel:"
"31"," Es erweitert passgenau den Radius der Kooperation auf die Bereiche, die für Armenien wichtig sind:"
"32"," Bekämpfung der Korruption, Bekämpfung der Kriminalität und Förderung regionaler Stabilität."
"33","Meine Damen und Herren, die Visegrad-Gruppe traf sich gerade am Montag zum neunten Mal mit den Ländern der Östlichen Partnerschaft."
"34"," Für unsere mitteleuropäischen Freunde hat die Östliche Partnerschaft längst außenpolitische Priorität, auch jenseits einer EU-Ratspräsidentschaft."
"35"," Folgen wir deshalb diesem Beispiel!Ihr Antrag, liebe Kolleginnen und Kollegen der Großen Koalition, geht uns nicht weit genug."
"36"," Wir werden ihm deshalb nicht zustimmen."
"37","Vielen Dank."
"38"," Vizepräsident Dr.
 Hans-Peter "
