"","V1"
"1",""
"2"," Nächster Redner ist der Kollege Michael Brand, CDU/ CSU."
"3"," Michael Brand:"
"4","Sie haben gedroht, meine Mutter zu töten, wenn die Aufnahmen über ihre Aussagen zu den Lagern in der Provinz Xinjiang veröffentlicht werden."
"5","Das, lieber Herr Präsident, liebe Kolleginnen und Kollegen, berichtet der Menschenrechtsaktivist Ferkat Jawdat der „New York Times“ aktuell."
"6"," Seine Mutter war, auch wegen seines Einsatzes in den USA, mehrfach in Lagern inhaftiert, hat Schreckliches erlebt und gesehen."
"7"," In der „New York Times“ sind ihre mutigen Aussagen über ein Konzentrationslager, „concentration camp“, wie er es nennt, nachzulesen."
"8"," Sie ist bereit, für die Wahrheit mit ihrem Leben zu bezahlen."
"9"," Was die schwer gezeichnete Mutter berichtet, lässt einem das Blut in den Adern gefrieren:"
"10"," totale Überwachung bis in den Schlaf, überfüllte Zellen mit bis zu 20 Personen ohne sanitäre Möglichkeiten, Verweigerung medizinischer Hilfe, Schläge, Anketten der Häftlinge, Vergewaltigungen, Folter — ein echtes Horrorszenario."
"11"," Es gibt Berichte über Zwangssterilisierungen wie zu dunkelsten deutschen Zeiten."
"12"," Das alles kann nur ein Ziel haben:"
"13"," dass es möglichst bald keine Uiguren mehr gibt."
"14","Man kann sich vor der Tapferkeit dieser Frau, die ihrem Sohn sagte, er solle ihre Aussagen trotz der Drohungen veröffentlichen, nur verneigen."
"15"," Diese Frau spricht offen über die Verbrechen des Regimes."
"16"," Auch wir als Deutscher Bundestag fordern die chinesische Führung auf:"
"17"," Stoppen Sie die Drohungen gegen diese schwerkranke Frau! Und vor allen Dingen:"
"18"," Stoppen Sie die unmenschliche Verfolgung von Millionen von Unschuldigen! Wir werden zu diesen Verbrechen hier nicht schweigen."
"19","Wir werden hier Zeugen von nichts weniger als systematischem staatlichen Terror gegen bis zu 3 Millionen unschuldige Zivilisten, die nur ein Verbrechen begangen haben:"
"20"," Sie gehören der Minderheit der Uiguren an."
"21"," Der Chef der KP in der Provinz Xinjiang, der für die operative Umsetzung dieser Vernichtungsstrategie steht, hat schon den Vernichtungsfeldzug gegen die 4 000 Jahre alte einzigartige Kultur der Tibeter geführt."
"22"," Ihr einziges Verbrechen war im Übrigen, Tibeter zu sein."
"23"," Die dynamisch wachsende Minderheit von derzeit über 80 Millionen Christen wird ebenfalls brutal unterdrückt."
"24"," Die Lage der Menschenrechte wird immer schlimmer."
"25"," Es ist eindeutig:"
"26"," Dieses neue chinesische Regime hat eine neue Qualität."
"27"," Das Regime will auch keinen Dialog mehr über Menschenrechte."
"28"," Der staatliche Terror zeigt, wie sehr Xi persönlich die Menschenrechte verachtet."
"29","Der Menschenrechtsdialog zwischen Deutschland und China, den Peking in den letzten Jahren regelmäßig abgesagt hat, ist für China auch einfach geworden, Herr Außenminister; denn Probleme werden in der Tat angesprochen, aber ohne jede Konsequenz und Wirkung."
"30"," Liebe Kolleginnen und Kollegen, entweder man führt den Dialog offen und über alle relevanten Fragen, oder man beugt sich der Blockade."
"31"," Ein reines Feigenblatt bringt für Menschenrechte null."
"32"," Das ist die bittere Wahrheit."
"33"," Liebe Kolleginnen und Kollegen, die „China Cables“ sind nur die Spitze des Eisberges."
"34"," China ordnet weltweit die meisten Hinrichtungen an."
"35"," Ein schlimmes Kapitel ist der illegale Organhandel durch den Staat."
"36"," Man muss die Berichte ernst nehmen."
"37"," Auch die Existenz der Lager wurde abgestritten, bis es nicht mehr anders ging."
"38"," Menschen werden termingerecht regelrecht ausgeschlachtet."
"39"," Darüber wird bei uns kaum gesprochen, im Übrigen auch nicht im aktuellen Menschenrechtsbericht — jedenfalls nicht substanziell —, obwohl das darin ein Schwerpunktthema sein soll."
"40","Das alles hat System."
"41"," China installiert einen Totalitarismus 2."
"42","0:"
"43"," totale Unterdrückung und mittelalterliche Brutalität."
"44"," Andere Regime — auch das gehört zur Wahrheit — von Russland bis Saudi-Arabien sind an diesem Totalitarismus made in China bereits interessiert."
"45"," China, liebe Kolleginnen und Kollegen, ist ein Testfall für die Zukunft der Menschenrechte global."
"46","Das Regime Xi testet seinen Kurs immer wieder, auch uns gegenüber."
"47"," Leider werden wir leiser, treten zu leise auf."
"48"," Das Motto wurde:"
"49"," Leise, leise, nur nichts provozieren."
"50"," Die Menschen in der DDR hätten null Chance auf Freiheit gehabt, wenn die freie Welt damals — in deutlich gefährlicherer Lage - so leise geblieben wäre, wie wir es heute gegenüber China sind."
"51"," Wir haben den Kalten Krieg gegen eine totalitäre Gefahr gewonnen."
"52"," Nun dürfen wir nicht nachträglich verlieren, weil wir nicht mehr die Kraft haben, für unsere Werte und unsere Ideale von Menschenrechten einzutreten."
"53"," Nicht nur bei dieser aktuellen Debatte, sondern imMichael Brandaußenpolitischen und wirtschaftspolitischen Tagesgeschaft brauchen wir eine strategische Neuorientierung."
"54"," Weiter leisezutreten, ist angesichts der Bedrohung von China, Russland und anderen autoritären Staaten keine Option mehr."
"55","Es geht auch nicht alleine um China."
"56"," Es geht auch um uns."
"57"," Wir verteidigen nicht mehr genug das, was uns eigentlich ausmacht:"
"58"," Grundrechte, Freiheit und Demokratie."
"59"," Es ist für die Zukunft unseres Landes wichtig, dass wir diesen Test bestehen."
"60"," Nehmen wir uns diese tapfere Frau zum Beispiel."
"61"," Lassen wir uns unsere Standhaftigkeit nicht abkaufen."
"62"," Menschen in aller Welt schauen auf die, die als freie Welt gelten."
"63"," Wir dürfen sie nicht enttäuschen."
"64"," Präsident Dr.
 Wolfgang "
