"","V1"
"1",""
"2"," Vielen Dank, Frau Freudenstein."
"3"," — Damit schlieBe ich die Aussprache."
"4","Wir kommen zum Antrag der Fraktion Die Linke auf Drucksache 19/15776 mit dem Titel „Tarifverträge bescheren Weihnachtsgeld — Allgemeinverbindlichkeit erleichtern“."
"5"," Die Fraktion Die Linke wünscht Abstimmung in der Sache, die Fraktionen der CDU/CSU und SPD wünschen Überweisung zur federführenden Beratung an den Ausschuss für Arbeit und Soziales."
"6","Wir stimmen nach ständiger Übung zuerst über den Antrag auf Ausschussüberweisung ab."
"7"," Ich frage deshalb:"
"8"," Wer stimmt für die beantragte Überweisung? — Wer stimmt dagegen? — Enthaltungen? — Sehe ich keine."
"9"," Dann ist die Überweisung so beschlossen."
"10"," Zugestimmt haben die Fraktionen von SPD, Bündnis 90/Die Grünen, CDU/ CSU und FDP, dagegengestimmt haben die Fraktion der Linken und die Fraktion der AfD."
"11"," Die Überweisung ist so beschlossen."
"12"," Damit stimmen wir heute über den Antrag auf Drucksache 19/15776 nicht in der Sache ab."
"13","Tagesordnungspunkt 21 b."
"14"," Wir kommen zur Abstimmung über die Beschlussempfehlung des Ausschusses für Arbeit und Soziales zum Antrag der Fraktion Die Linke mit dem Titel „Tarifbindung stärken“."
"15"," Der Ausschuss empfiehlt in seiner Beschlussempfehlung auf Drucksache 19/14415, den Antrag der Fraktion Die Linke auf Drucksache 19/8963 abzulehnen."
"16"," Wer stimmt für diese Beschlussempfehlung? — Wer stimmt dagegen? — Wer enthält sich? — Die Beschlussempfehlung ist angenommen."
"17"," Zugestimmt haben die Fraktionen von SPD, CDU/ CSU, FDP und AfD."
"18"," Dagegengestimmt hat die Fraktion der Linken, und enthalten hat sich die Fraktion von Bündnis 90/Die Grünen."
"19","Ich rufe die Tagesordnungspunkte 22 a und 22 b sowie die Zusatzpunkte 10 und 11 auf:"
"20","22 a) Beratung des Berichts des Ausschusses für Recht und Verbraucherschutz gemäß $ 62 Absatz 2 der Geschäftsordnung zu dem Antrag der Abgeordneten Renate Künast, Dr."
"21"," Konstantin von Notz, Tabea Rößner, weiterer Abgeordneter und der Fraktion BÜNDNIS 90/ DIE GRÜNEN Netzwerkdurchset gsgesetz weiterentwickeln - Nutzerrechte stärken, Meinungsfreiheit in sozialen Netzwerken sicherstellenDrucksachen 19/5950, 19/14350b) Beratung des Berichts des Ausschusses für Recht und Verbraucherschutz gemäß $ 62 Absatz 2 der Geschäftsordnung zu dem von den Abgeordneten Christian Lindner, Stephan Thomae, Dr."
"22"," Marco Buschmann, weiteren Abgeordneten und der Fraktion der FDP eingebrachten Entwurfs eines Gesetzes zur Stärkung der BürgerrechteDrucksachen 19/204, 19/15735 ZP 10 Beratung des Berichts des Ausschusses für Recht und Verbraucherschutz gemäß $ 62 Absatz 2 der Geschäftsordnung zu dem von den Abgeordneten Dr."
"23"," Petra Sitte, Anke Domscheit-Berg, Simone Barrientos, weiteren Abgeordneten und der Fraktion DIE LINKE eingebrachten Entwurfs eines Gesetzes zur Teilaufhebung des Netzwerkdur t tDrucksachen 19/218, 19/15780ZP 11 Beratung des Berichts des Ausschusses für Recht und Verbraucherschutz gemäß $ 62 Absatz 2 der Geschäftsordnung zu dem von den Abgeordneten Stephan Brandner, Marcus Bühl, Joana Eleonora Cotar, weiteren Abgeordneten und der Fraktion der AfD eingebrachten Entwurfs eines Gesetzes zur Aufhebung desesNet 1 Netzwer gsgDrucksachen 19/81, 1914723Für die Aussprache ist eine Dauer von 30 Minuten beschlossen."
"24","Ich eröffne die Aussprache."
"25"," Das Wort hat für Bündnis 90/Die Grünen Tabea Rößner."
"26"," Tabea Rößner:"
"27","Frau Präsidentin! Meine Damen und Herren! Das Netzwerkdurchsetzungsgesetz ist ja in Bundestagsdebatten immer mal wieder Thema und wird mal mehr, mal weniger konstruktiv diskutiert."
"28"," Es ist auch notwendig, dass wir über das Gesetz sprechen; denn es gibt erheblichen Verbesserungsbedarf."
"29"," Die Debatte heute ist aber vor allem eines:"
"30"," ärgerlich."
"31"," Wir debattieren heute leider nicht unseren Antrag und die anderen Vorlagen zum Netzwerkdurchsetzungsgesetz, sondern nur einen Geschäftsordnungsbericht zu unserem Antrag — und das geschicht, weil die Koalition seit Wochen die Befassung in den Ausschüssen immer und immer wieder von der Tagesordnung nimmt."
"32"," Das ist Arbeitsverweigerung und wirft ein ziemlich schlechtes Bild auf Sie; denn hätten Sie gute Argumente und Vorschläge, könnten Sie sich unserem Antrag einfach stellen."
"33"," Ziemlich blamabel, meine Damen und Herren."
"34"," Gestern hat Ministerin Lambrecht gesagt, dass eine Novellierung im Frühjahr kommen soll."
"35"," Dann verstehe ich aber nicht, dass sie vorher einen Neun-Punkte-Plan präsentiert, der auch Änderungen des Netzwerkdurchsetzungsgesetzes vorsieht."
"36"," Das ist der zweite vor dem ersten Schritt."
"37"," Da kommt man schnell ins Stolpern, und das ist bisher noch nie gut gegangen."
"38"," Ja, Hass und Hetze, digitale Gewalt und Rechtsextremismus müssen bekämpft werden."
"39"," Wenn das Internet derTabea RößnerKommunikationsraum ist, in dem sich immer mehr Menschen informieren, wenn im Netz gesellschaftliche Debatten geführt werden und der Meinungsbildungsprozess stattfindet, dann dürfen digitale Gewalt, Hass und Hetze eben nicht dazu führen, dass Menschen sich zurückziehen und nicht mehr an öffentlichen Debatten teilnehmen."
"40"," Dafür muss der Staat Sorge tragen."
"41"," Aber statt ein neues Gesetzespaket anzukündigen, sollten Sie die Mängel des bestehenden Gesetzes erst einmal beheben."
"42"," Jede Woche, die Sie verstreichen lassen, ist eine vertane Woche, in der Verbesserungen für die Betroffenen auf den Weg gebracht werden könnten."
"43"," Das ist das Tragische an der ganzen Sache."
"44","Es liegen ja Konzepte auf dem Tisch."
"45"," Wir haben in unserem Antrag eine ganze Reihe von Vorschlägen gemacht, zum Beispiel die Meldewege für Beschwerden zu vereinfachen, die auf den Plattformen zum Teil sehr schwer zu finden sind; oder ein Put-back-Verfahren, mit dem unrechtmäßig gelöschte Inhalte schnell wieder eingestellt werden können; oder eine Clearingstelle, an die sich Nutzerinnen und Nutzer im Streitfall wenden können."
"46"," All dem verweigern Sie sich."
"47","Stattdessen gehen Sie jetzt mit einem „Maßnahmenpaket zur Bekämpfung von Hasskriminalität und Rechtsextremismus“ deutlich weiter und wollen eine Meldepflicht für Diensteanbieter einführen."
"48"," Die sollen zukünftig entscheiden, ob eine Straftat vorliegt, und dann sämtliche digitalen Identifikationsmerkmale wie zum Beispiel IP-Adressen, Portnummern und sogar Passwörter ans BKA weiterleiten."
"49"," Noch mal zum Mitschreiben:"
"50"," Private Unternehmen bekommen eine Gatekeeper-Funktion für eine massenhafte staatliche Datenerhebung zur Strafverfolgung."
"51"," Es ist völlig unklar, was mit den Hunderttausenden Datensätzen beim BKA passiert; von einer Löschfrist habe ich jedenfalls nichts gelesen."
"52"," Das wäre die Einführung einer Vorratsdatenspeicherung durch die Hintertür, und das können wir nicht zulassen."
"53"," Ich habe auf jeden Fall ein großes Störgefühl und bezweifle, dass dies der Vorstellung eines bürgerrechtskonformen staatlichen R entspricht."
"54"," Ich appelliere daher an Sie:"
"55"," Machen Sie keine halbgaren Vorschläge für Maßnahmenpakete, sondern bringen Sie endlich die dringend notwendigen Nachbesserungen auf den Weg!Vielen Dank.
 Vizepräsidentin Claudia "
