"","V1"
"1",""
"2","Vielen Dank, Herr Kollege Strasser."
"3"," — Als nächste Rednerin hat für die Fraktion Die Linke das Wort die Kollegin Kerstin Kassner."
"4"," Kerstin Kassner:"
"5","Sehr geehrter Herr Präsident! Liebe Kolleginnen und Kollegen! Liebe Gäste! Es gibt vieles, was ich in meiner zehnjährigen Zeit als Landrätin auf der schönen Insel Rügen gelernt habe und was mir auch heute noch nutzt."
"6"," Ich erinnere mich zurück:"
"7"," Eine der Erkenntnisse, die ich in dieser Zeit gewonnen habe, betrifft auch den jetzigen Gegenstand der Tagesordnung, nämlich die Integration."
"8"," Manche denken ja:"
"9"," Das ist etwas Temporäres, was wir jetzt leisten müssen."
"10"," — Nein, das ist ein Trugschluss."
"11"," Die Integration ist eine Daueraufgabe."
"12"," Wenn wir in die Welt blicken, so werden wir auch die Ursachen dafür erkennen."
"13"," Krieg, Verfolgung, sich verschärfende Umweltbedingungen, die es den Menschen nicht mehr möglich machen, in ihrer Heimat zu verbleiben-."
"14","all das sind Ursachen, weswegen sich Menschen auf den Weg machen, auch zu uns."
"15"," Wir müssen damit umgehen."
"16"," Und wenn wir wollen, dass diese Integration tatsächlich erfolgreich ist, dann müssen die Rahmenbedingungen dafür stimmen."
"17"," Solche Rahmenbedingungen schaffen in erster Linie natürlich die Kommunen selbst."
"18"," Erinnern wir uns doch mal zurück an die Jahre 2015/2016."
"19"," Was für eine Herkulesaufgabe wurde damals von den Kommunen gestemmt! Es wurde gezeigt, dass man sehr wohl in der Lage ist, mit sich verändernden Bedingungen wirklich umzugehen."
"20"," Das ist das Ergebnis von Ehrenamtlern, die Großes geleistet haben, die Vorbild sind, die manchmal nicht einmal ein einziges Dankeschön dafür bekommen haben, aber auch von Mitarbeitern in Verwaltungen, ob in der Arbeitsverwaltung, ob in der Gemeindeverwaltung, ob in der Landkreisverwaltung."
"21"," Sie mussten mit sehr viel Fingerspitzengefühl und Ideenreichtum zu Werke gehen und haben es geschafft, diese Herkulesaufgabe zu stemmen."
"22"," Von dieser Stelle dafür noch mal ein Dankeschön! Aber, liebe Kommunalos:"
"23"," Ihr müsst diese Aufgabe auch weiterhin leisten; denn es ist eine dauerhafte Aufgabe."
"24","Kerstin KassnerZweitens müssen natürlich auch die rechtlichen Rahmenbedingungen stimmen; das ist existenziell."
"25"," Ich glaube, auch Sie werden in Ihren Wahlkreisen gehört haben, dass geflüchtete Menschen sehr wohl gut integriert sind, auch gern arbeiten würden bzw."
"26"," sogar Arbeitgeber gefunden haben, die sie einstellen wollen, aber die rechtlichen Bedingungen dagegensprechen."
"27"," Sie dürfen nicht arbeiten."
"28"," Das ist etwas, was die Menschen vor Ort keineswegs verstehen."
"29"," Deshalb müssen wir hier ansetzen und Veränderungen schaffen."
"30","Drittens muss natürlich das Geld stimmen."
"31"," Deshalb stimmt meine Fraktion zu, dass wir diese Integrationskosten tragen:"
"32"," 500 Millionen Euro für 2020."
"33"," Aber wir wünschen uns, dass wegen der Daueraufgabe auch 2021 diese Rahmenbedingungen so gegeben sein werden."
"34"," Darum werden wir kämpfen."
"35","Vielen Dank.
 Vizepräsident Wolfgang "
