"","V1"
"1",""
"2","Vielen Dank, Herr Kollege Oster."
"3"," — Damit schlieBe ich die Aussprache."
"4","Wir kommen zur Abstimmung tiber die Beschlussempfehlung des Ausschusses ftir Inneres und Heimat zu dem Antrag der Fraktion Bündnis 90/Die Grünen mit dem Titel „Ausbau des deutschen Polizeiengagements in internationalen Friedensmissionen voranbringen“."
"5"," Der Ausschuss empfiehlt in seiner Beschlussempfehlung auf Drucksache 19/10678, den Antrag der Fraktion Bündnis 90/Die Grünen auf Drucksache 19/9273 abzulehnen."
"6"," Wer stimmt für diese Beschlussempfehlung? — Wer stimmt dagegen? — Wer enthält sich? — Dann ist diese Beschlussempfehlung gegen die Stimmen von Bündnis 90/ Die Grünen bei Enthaltung der Fraktion der FDP mit den übrigen Stimmen der Fraktionen des Hauses angenommen."
"7","Bevor ich die neuen Tagesordnungspunkte aufrufe, möchte ich eine geschäftsleitende Bemerkung abgeben, die man mir nachsehen muss."
"8"," Sollte es bei der einen Kollegin und dem anderen Kollegen die Neigung geben, angesichts späterer Tagesordnungspunkte nach 0 Uhr die eine oder andere Rede zu Protokoll zu geben, empfehle ich, dieser Neigung nachzugeben; vor allen Dingen angesichts der Tatsache, dass die Parlamentarische Gesellschaft heute ihr Sommerfest feiert und wir selbstverständlich als Mitglied der Parlamentarischen Gesellschaft dort gelegentlich vorbeischauen sollten."
"9"," Ich setze da auch auf die segensreiche Wirkung der Parlamentarischen Geschäftsführer."
"10"," Es ist nur eine Anregung bzw."
"11"," eine Anmerkung, die von Ihnen ernst genommen werden sollte, aber nicht muss."
"12","Ich rufe die Tagesordnungspunkte 11 a und 11 b auf:"
"13","a) Beratung des Antrags der Abgeordneten Matthias W."
"14"," Birkwald, Susanne Ferschl, Katja Kipping, weiterer Abgeordneter und der Fraktion DIE LINKERentenbesteuerung vereinfachen und Doppelbesteuerung vermeidenDrucksache 19/10282Überweisungsvorschlag:"
"15"," FinanzausschussAusschuss für Arbeit und Soziales Federführung strittigVizepräsident Wolfgang Kubickib) Beratung des Antrags der Abgeordneten Ulrike Schielke-Ziesing, Norbert Kleinwächter, Jürgen Pohl, weiterer Abgeordneter und der Fraktion der AfDAbschaffung der Renten-Doppelbesteuerung Drucksache 19/10629Überweisungsvorschlag:"
"16"," FinanzausschussAusschuss für Arbeit und Soziales HaushaltsausschussFederführung strittigNach einer interfraktionellen Vereinbarung sind für die Aussprache 38 Minuten vorgesehen."
"17"," — Ich höre keinen Widerspruch."
"18"," Dann ist das so beschlossen."
"19","Ich eröffne die Aussprache und erteile als erstem Redner für die Fraktion Die Linke dem Kollegen Matthias W."
"20"," Birkwald das Wort."
"21"," Matthias W."
"22"," Birkwald:"
