"","V1"
"1",""
"2"," Vielen Dank."
"3"," — Letzter Redner in der Debatte ist der Kollege Timon Gremmels für die Fraktion der SPD."
"4"," Timon Gremmels:"
"5","Sehr geehrter Herr Prasident! Meine sehr verehrten Damen und Herren! Ich frage mich, warum Frau Petry die AfD verlassen hat."
"6"," Das war eins zu eins der gleiche Quark, den wir von der AfD gehört haben."
"7"," Nur ein Argument, weil mir meine Redezeit dafür eigentlich zu schade ist:"
"8"," Sie haben gesagt, mit dem Atomausstieg würden in Deutschland massenhaft Arbeitsplätze verloren gehen."
"9"," Genau das Gegenteil ist der Fall."
"10"," Die dezentralen erneuerbaren Energien schaffen ein Vielfaches der Arbeitsplätze in der Atomenergie."
"11"," Nehmen Sie das einfach einmal zur Kenntnis."
"12","Frau Skudelny von der FDP, es ist schon eine Chuzpe, sich hierhinzustellen und in einer Debatte um Atomkraft als FDP allen Ernstes das Argument der Entschadigungszahlungen an die Industrie in den Mund zu nehmen."
"13"," Das haben Sie mit Bezug auf die Brennstofflieferungen nach Belgien getan."
"14"," Es war doch Ihre Rolle rückwärts — erst die Laufzeitverlängerung durch Schwarz-Gelb und hinterher die Rückkehr zum Ausstieg —, die dazu geführt hat, dass die Atomenergie entschädigt werden muss."
"15"," Dafür trägt Schwarz-Gelb die Verantwortung, meine sehr verehrten Damen und Herren! Hätten wir den rot-grünen Atomausstieg vorangetrieben, wäre das in dieser Höhe überhaupt nicht notwendig gewesen."
"16"," Insofern müssen wir an dieser Stelle daran erinnern:"
"17"," Die Verantwortung auch hinsichtlich der Kosten trägt maßgeblich die damalige schwarz-gelbe Regierung."
"18"," Auch das muss an dieser Stelle gesagt werden.
 Vizepräsident Thomas "
